fps,true_reward,clipfrac,ep_reward_mean,policy_loss,n_updates,value_loss,total_timesteps,ep_len_mean,explained_variance,serial_timesteps,policy_entropy,time_elapsed,approxkl
3994,1.0272156,0.199168,250.9978198809608,-0.0017975296,1,27.177755,25000,240.92,0.4174925684928894,250,2.783387,0.0006668567657470703,0.017299894
55197,1.023599,0.157888,257.28481338589995,-0.003180661,2,23.663563,50000,247.35,0.4970184564590454,500,2.7831185,6.873757600784302,0.011320422
58092,1.0343099,0.200248,256.2042491161948,-0.0023592506,3,16.992783,75000,245.36,0.5658066272735596,750,2.7876506,7.751638650894165,0.015606689
74230,1.0167404,0.169404,244.2447143454755,-0.001063477,4,50.402164,100000,233.9,0.2751011848449707,1000,2.791609,8.593360900878906,0.012477175
71240,1.0237948,0.105876006,249.39803314264375,-0.0013023891,5,32.359787,125000,239.65,0.3397740125656128,1250,2.7940614,9.331845760345459,0.008027774
71968,1.0360346,0.28003198,255.82989796761132,-0.00010298953,6,16.96175,150000,244.56,0.5408673882484436,1500,2.794907,10.04588532447815,0.025600111
74356,1.0398544,0.18482,260.9538771293548,-0.0022001404,7,7.151021,175000,249.75,0.7281043529510498,1750,2.7943234,10.777753591537476,0.014432048
74424,1.044445,0.16702,250.6111392769591,-0.000589447,8,27.203985,200000,237.33,0.3925384283065796,2000,2.789704,11.49859619140625,0.012268365
73756,1.042031,0.156828,256.14607953278147,-0.002805349,9,17.067408,225000,243.5,0.5269969999790192,2250,2.785875,12.222349643707275,0.012063508
74668,1.0229251,0.109188005,252.782660296252,-0.0019541446,10,31.206173,250000,242.8,0.403290331363678,2500,2.7810645,12.937210321426392,0.0081544835
75881,1.0237513,0.15699601,251.47163553282473,-0.0026088434,11,25.903116,275000,242.29,0.4632343053817749,2750,2.7783868,13.663779258728027,0.012355935
75380,1.0268965,0.160952,247.85025269725185,-0.001859685,12,38.591946,300000,236.41,0.37652385234832764,3000,2.7755191,14.37770962715149,0.011487626
74166,1.0266539,0.102611996,254.0987022627164,-0.0012186721,13,32.34831,325000,243.24,0.36224132776260376,3250,2.7727273,15.067124128341675,0.007529881
73167,1.0257382,0.16172001,252.62394340743268,-0.0023357773,14,14.968847,350000,244.79,0.5475888848304749,3500,2.7692037,15.787497758865356,0.011803487
72030,1.0262918,0.211328,249.23928901697968,-0.0015020861,15,27.722355,375000,239.85,0.3698160648345947,3750,2.768916,16.492653846740723,0.01573355
76673,0.9926003,0.199636,229.7332940177618,0.0012888195,16,92.03453,400000,220.88,0.1981303095817566,4000,2.770483,17.233930826187134,0.015865754
73522,1.0350422,0.19484401,254.68227079744634,-0.0017352535,17,31.645224,425000,242.11,0.35710495710372925,4250,2.7700484,17.927626848220825,0.014305195
71244,1.0066313,0.14959201,234.99919883506809,-0.0010628456,18,83.237656,450000,223.72,0.2062782645225525,4500,2.7683754,18.635904550552368,0.010939973
