serial_timesteps,approxkl,ep_reward_mean,explained_variance,value_loss,n_updates,total_timesteps,ep_len_mean,fps,time_elapsed,true_reward,policy_loss,clipfrac,policy_entropy
250,0.0061951918,-0.301366906121948,0.15644866228103638,335.32098,1,25000,14.02,4152,0.002658843994140625,-1.7856733,-4.675253e-05,0.067255996,5.67776
500,0.02343881,-0.7996904884648984,0.2686903476715088,303.0052,2,50000,14.05,45021,7.61335301399231,-1.7491807,0.014389311,0.15768799,5.6817045
750,0.0037638017,-0.7538179797546763,0.37072038650512695,261.93976,3,75000,15.29,57773,9.453556060791016,-1.6619515,-0.003454221,0.036427997,5.687179
1000,0.0050267,-0.07761164442228619,0.43476855754852295,223.25595,4,100000,16.45,60780,11.168725490570068,-1.5402205,-0.00087155413,0.053944,5.6944017
1250,0.005820076,-0.17885647310700734,0.4400215744972229,203.92537,5,125000,17.22,60247,12.87691044807434,-1.4753616,-0.0016506466,0.059727997,5.6987624
1500,0.004394047,-0.2571055086501292,0.4382894039154053,181.2731,6,150000,18.15,60074,14.60061526298523,-1.3760556,-0.0015996993,0.046616,5.697999
1750,0.009417218,-0.9428541215946098,0.4264703392982483,158.46689,7,175000,16.44,60080,16.276672840118408,-1.2569952,0.00016648362,0.09962,5.6973047
2000,0.008482503,-0.6221825267773238,0.3716071844100952,152.43857,8,200000,21.33,59839,17.97008776664734,-1.1975788,0.002655861,0.077032,5.6964216
2250,0.002173618,-0.4766083772728234,0.27680760622024536,148.53143,9,225000,22.29,59130,19.597111701965332,-1.1128428,-0.0017767407,0.014812,5.6963873
2500,0.0031257644,-0.5964159134437432,0.24551188945770264,141.9493,10,250000,20.75,60146,21.293434619903564,-1.0670996,-0.001664654,0.031127999,5.694171
2750,0.002814751,-0.3605079839388054,0.22944653034210205,131.65387,11,275000,24.08,61213,23.073563814163208,-1.0168159,-0.00059952296,0.023187999,5.6910925
3000,0.0019082132,0.4166100980567626,0.22276145219802856,126.6812,12,300000,27.06,58110,24.895756721496582,-0.98708445,-0.0009764293,0.015104,5.687791
3250,0.0014907527,0.3597479048758396,0.2351384162902832,116.654396,13,325000,24.15,55921,26.672717332839966,-0.94096696,-0.0006251306,0.009092,5.6857147
3500,0.00085658283,-0.157168295997526,0.2431977391242981,105.938034,14,350000,26.93,59825,28.47426176071167,-0.8743274,-0.0010186245,0.004008,5.6843014
3750,0.00056451035,-0.023252529288059806,0.23392653465270996,99.8809,15,375000,30.64,60442,30.26936411857605,-0.8443909,-0.0010736708,0.00104,5.6826234
4000,0.0005517804,0.45689713403789484,0.22050774097442627,99.70139,16,400000,28.68,60367,32.017011880874634,-0.84488815,-0.00072596443,0.00088,5.6805453
4250,0.0007330135,1.0068244913241506,0.23066794872283936,86.95524,17,425000,34.79,59810,33.86052632331848,-0.75442994,-0.0011567876,0.00176,5.678643
4500,0.0010544375,-1.1427390095294323,0.26011550426483154,87.01863,18,450000,28.13,61187,35.62174439430237,-0.7913081,-0.0009069176,0.004276,5.6771884
4750,0.0005279025,0.7699099194204609,0.2521253824234009,77.12189,19,475000,34.24,58622,37.37761974334717,-0.68561065,-0.0005000542,0.000344,5.6764374
5000,0.0011912022,-0.7858249838012489,0.2520732879638672,79.53782,20,500000,33.41,61644,39.16309881210327,-0.7231403,-0.0010765592,0.006868,5.675638
5250,0.00038102703,1.0069891567361628,0.21994996070861816,74.46855,21,525000,34.23,55768,40.93732237815857,-0.635729,-0.0007058085,0.000388,5.6748505
5500,0.0010136499,0.7165408881930488,0.22560089826583862,77.05976,22,550000,37.56,60542,42.73089265823364,-0.6792221,-0.0011680586,0.0055639995,5.67397
5750,0.00033059943,1.6250451518979936,0.22490733861923218,77.370285,23,575000,31.2,58123,44.47171711921692,-0.6784251,-0.00077494513,9.5999996e-05,5.6729536
6000,0.0005233192,0.9485763690482918,0.2790676951408386,67.01378,24,600000,34.85,53998,46.31466221809387,-0.61187315,-0.0010707825,0.0012399999,5.67157
6250,0.0006802095,0.7694337019533123,0.2646828889846802,69.4994,25,625000,38.8,59743,48.158543825149536,-0.62831384,-0.0008808438,0.0015520001,5.670371
6500,0.0008698932,1.0415993158082346,0.3019612431526184,63.514782,26,650000,37.15,58370,50.034533977508545,-0.59830403,-0.0012333953,0.004508,5.6692386
6750,0.0008495428,2.863366011046637,0.2986692190170288,63.737793,27,675000,39.35,61123,51.80885410308838,-0.58952504,-0.0007459858,0.003064,5.668397
7000,0.0007185872,0.3614947797986315,0.3089390993118286,56.378124,28,700000,44.75,61534,53.53297972679138,-0.5405119,-0.0007697078,0.0018040001,5.667826
7250,0.0007010002,2.270446394252622,0.2885761260986328,59.526947,29,725000,39.54,61203,55.272693395614624,-0.56263846,-0.0011570363,0.003728,5.6674194
7500,0.0009908242,0.6149018579402036,0.3477362394332886,51.36202,30,750000,44.55,57978,57.00354361534119,-0.50778186,-0.0006639343,0.004556,5.6668625
7750,0.0010526414,2.887710779065521,0.33218467235565186,52.00831,31,775000,39.96,59075,58.887229681015015,-0.4949783,-0.0008575093,0.0047799996,5.6656675
8000,0.00029976162,3.576171355700644,0.3256215453147888,52.023987,32,800000,39.24,59761,60.67006325721741,-0.49773508,-0.00051035295,0.000124,5.663703
8250,0.000406673,1.1882768508022492,0.3747057318687439,48.21977,33,825000,43.2,58131,62.440088748931885,-0.49183324,-0.0008563444,0.000728,5.6622157
8500,0.0008240019,1.6453708334071506,0.40280330181121826,43.41567,34,850000,42.54,62362,64.20819520950317,-0.4446114,-0.00028210317,0.0028319997,5.661011
8750,0.0011170806,2.253733167401915,0.41000688076019287,45.77485,35,875000,39.59,60777,65.991934299469,-0.48573425,-0.0011809871,0.006352,5.6602454
9000,0.00038935032,2.973779493692273,0.44790148735046387,42.982224,36,900000,40.99,59915,67.80327677726746,-0.43417296,-0.00082464906,0.000528,5.6592393
9250,0.0008410169,4.38204066541246,0.48737412691116333,38.598106,37,925000,44.61,42333,69.5802698135376,-0.4103912,-0.00096189947,0.004276,5.658409
9500,0.0005856987,1.4887370510809705,0.44353312253952026,41.37816,38,950000,43.29,61747,71.49478483200073,-0.4318904,-0.0010775754,0.001016,5.6579294
9750,0.0008070497,1.5569145997671512,0.48170751333236694,36.525703,39,975000,41.81,60919,73.24838042259216,-0.4022013,-0.0008602414,0.0039520003,5.6572857
10000,0.0013853997,3.503294387092901,0.5178792178630829,33.000206,40,1000000,46.99,60628,75.04522705078125,-0.3606311,-0.0012001864,0.01072,5.6563835
10250,0.0019910834,3.1825998267730937,0.5072248578071594,35.662548,41,1025000,42.59,60880,76.85208439826965,-0.38453007,-0.0012436056,0.016436,5.6542063
10500,0.0019347683,5.059156456902874,0.5198617279529572,33.902733,42,1050000,49.98,57380,78.70557928085327,-0.36503822,-0.0010779869,0.015564,5.6525035
10750,0.0024524215,3.4895695655732197,0.5904557406902313,29.585957,43,1075000,48.16,57200,80.51881337165833,-0.34922284,-0.0014894633,0.021672,5.6514425
11000,0.0021420622,5.380394036216785,0.6121306419372559,27.94021,44,1100000,47.88,61464,82.33486413955688,-0.33838645,-0.0015188789,0.020607999,5.6503534
11250,0.0009620643,3.8794463736585247,0.6147216260433197,27.773144,45,1125000,49.58,55199,84.07271981239319,-0.33404988,-0.0010156829,0.0057,5.6490474
11500,0.0009929099,3.591120621262817,0.6918714940547943,23.644775,46,1150000,49.92,59174,85.84758758544922,-0.2992954,-0.0010495526,0.005732,5.6480494
11750,0.0014800418,4.080710008744718,0.6201265454292297,27.366613,47,1175000,54.83,56801,87.78690934181213,-0.3226263,-0.0013701099,0.012084,5.6473293
12000,0.0027207641,7.935669457735603,0.6565553247928619,24.873365,48,1200000,57.77,59159,89.56857061386108,-0.2653785,-0.00084371987,0.024260001,5.646989
12250,0.0020072279,6.268776718286245,0.6686490774154663,23.85706,49,1225000,57.81,57909,91.3353123664856,-0.25490046,-0.001370549,0.015700001,5.6457634
12500,0.0013820104,7.808154090475414,0.6271170079708099,25.841894,50,1250000,56.61,60699,93.07632732391357,-0.25710437,-0.0012828612,0.00734,5.6435843
12750,0.002616801,6.1338657610491625,0.6865609586238861,21.783772,51,1275000,55.81,60601,94.80575275421143,-0.21775563,-0.0018937098,0.025527999,5.6412177
13000,0.0027516007,6.430410181441585,0.6642587780952454,22.082497,52,1300000,69.23,60726,96.580331325531,-0.20947152,-0.0017235661,0.027095998,5.6391115
13250,0.0017006263,6.572879053836493,0.6889026761054993,20.416508,53,1325000,63.83,60979,98.35367321968079,-0.19475608,-0.001516803,0.011568,5.6381783
