serial_timesteps,ep_reward_mean,time_elapsed,approxkl,explained_variance,clipfrac,ep_len_mean,fps,n_updates,true_reward,value_loss,policy_entropy,policy_loss,total_timesteps
250,0.262607181720814,0.001249074935913086,0.004550237,-0.6744396686553955,0.046919998,12.58,4113,1,0.0015589147,0.113531984,5.6758456,-0.0059612473,25000
500,0.24485030217911116,6.672950506210327,0.003688192,-0.054650187492370605,0.037436,12.11,66966,2,0.003219039,0.051650196,5.6738267,-0.0049214615,50000
750,0.3248153108931365,7.473297834396362,0.004537328,0.2550947666168213,0.051839996,15.1,66577,3,0.004634909,0.030519318,5.6696386,-0.004986325,75000
1000,0.38359223497802303,8.261398792266846,0.0047263964,0.3444501757621765,0.054940004,17.08,67221,4,0.007791517,0.029125467,5.6645045,-0.0058704917,100000
1250,0.4203744547859105,9.070008516311646,0.0050668013,0.40998923778533936,0.061004,19.0,69328,5,0.010691441,0.032393817,5.657478,-0.0057160524,125000
1500,0.4562709978989005,9.898839950561523,0.004803135,0.4315725564956665,0.057396002,20.13,65039,6,0.01355712,0.039081566,5.6483383,-0.0047322693,150000
1750,0.4526328008856217,10.688143968582153,0.00429203,0.44994020462036133,0.050200004,18.49,67562,7,0.016323362,0.050507337,5.64008,-0.004530831,175000
2000,0.6287561018898851,11.444682359695435,0.0033025383,0.4426077604293823,0.032975998,22.33,68402,8,0.019056857,0.06408715,5.6331754,-0.003938374,200000
2250,0.482652908247519,12.216770887374878,0.003782434,0.42172324657440186,0.039448,19.45,68198,9,0.022471204,0.07162169,5.626349,-0.0036911492,225000
2500,0.702791476552784,12.987257957458496,0.0021986654,0.396492063999176,0.019407999,24.98,67632,10,0.022762222,0.087398514,5.619557,-0.0027580983,250000
2750,0.5081743703840766,13.746289491653442,0.0021529582,0.37197911739349365,0.01618,19.26,65998,11,0.02345537,0.08504679,5.6134157,-0.0026536316,275000
3000,0.7931207073506085,14.549179553985596,0.0019611462,0.3921930193901062,0.015356,25.71,66608,12,0.028255098,0.087644376,5.609935,-0.00257375,300000
3250,0.8467709205389837,15.306828260421753,0.002777805,0.452440083026886,0.024132002,24.22,69550,13,0.02984275,0.090299405,5.6025777,-0.003258235,325000
3500,0.7728076738094398,16.05506730079651,0.0022655157,0.4706898331642151,0.016852,23.11,68655,14,0.031889986,0.10046114,5.594965,-0.002469177,350000
3750,0.7578272694579209,16.801725387573242,0.0022460711,0.4807809591293335,0.01806,24.13,59636,15,0.033336602,0.10388098,5.5890417,-0.0026145827,375000
4000,0.8512933098934627,17.596572160720825,0.0021920998,0.4789966344833374,0.017336,23.91,57443,16,0.03463812,0.1113168,5.5810194,-0.0028414761,400000
4250,0.8185399354452966,18.407298803329468,0.0022218996,0.5652516782283783,0.019636,24.61,67819,17,0.03427412,0.10336448,5.571827,-0.0026942212,425000
4500,0.9433235994013376,19.172322988510132,0.002902398,0.5482113659381866,0.027408,26.95,67843,18,0.03643802,0.104945734,5.5644712,-0.0027405,450000
4750,1.0471333611221052,19.915422916412354,0.00206571,0.5197227597236633,0.016816,28.26,69005,19,0.037365872,0.12605432,5.555008,-0.0023994187,475000
5000,1.1375504025462577,20.6516854763031,0.0022593797,0.5606656670570374,0.018124,30.58,69359,20,0.03843068,0.11161677,5.5447006,-0.0023967568,500000
5250,1.208827748745025,21.395468950271606,0.002765706,0.5556139051914215,0.023920001,31.69,70545,21,0.037823185,0.12068375,5.539693,-0.0023582021,525000
5500,1.1653060704891505,22.13232731819153,0.0020032532,0.5188142359256744,0.016696,29.92,70141,22,0.03998632,0.12165532,5.537259,-0.0024203758,550000
5750,1.268678276293067,22.87804627418518,0.0022502788,0.5719587206840515,0.0197,31.67,68256,23,0.041491237,0.11883031,5.531742,-0.002471857,575000
6000,1.2685601799750474,23.623432874679565,0.0025087441,0.6085149943828583,0.022632,30.92,69641,24,0.044824354,0.11157026,5.525194,-0.0026025416,600000
6250,0.9158273745604675,24.37072229385376,0.0021809274,0.5915561616420746,0.019304,26.28,70050,25,0.041637436,0.123171724,5.516957,-0.0022841021,625000
