policy_loss,explained_variance,time_elapsed,ep_reward_mean,fps,serial_timesteps,total_timesteps,approxkl,ep_len_mean,value_loss,n_updates,clipfrac,true_reward,policy_entropy
-0.0028483819,0.8221966028213501,0.0005970001220703125,6.768541858366373,4072,250,25000,0.0038470633,128.84,0.09154471,1,0.038507998,0.05448675,4.122574
-0.0026760711,0.8579576313495636,6.674604892730713,7.453073318138786,70806,500,50000,0.0040207305,142.53,0.08436282,2,0.041275997,0.053409617,4.1200743
-0.0023190947,0.8385733366012573,7.44574761390686,7.153912145788491,67506,750,75000,0.0036968582,133.7,0.10414378,3,0.036148,0.055311225,4.1167507
-0.0019423018,0.8351473063230515,8.222435712814331,7.011940990223666,68097,1000,100000,0.0026790227,131.86,0.12650196,4,0.019924,0.054978073,4.1127977
-0.0019196041,0.8416609466075897,8.992554664611816,6.799768795965702,70232,1250,125000,0.0027449368,126.09,0.122374795,5,0.021256,0.05487042,4.1083736
-0.002383018,0.8438383340835571,9.758005142211914,6.291394960849866,66971,1500,150000,0.003846106,120.58,0.12081283,6,0.040919997,0.054857455,4.103944
-0.002160252,0.859152540564537,10.54923963546753,5.141251745800332,68933,1750,175000,0.0036169528,101.57,0.111372426,7,0.036168,0.054618247,4.100713
-0.0019049186,0.8614948987960815,11.320940017700195,5.744737777452683,69103,2000,200000,0.003619111,114.06,0.10105188,8,0.03496,0.05453782,4.099879
-0.0020275337,0.8841236308217049,12.10000491142273,6.239054122607631,67775,2250,225000,0.0037054196,121.09,0.08666589,9,0.037764,0.054293063,4.0977006
-0.0019865327,0.848432332277298,12.899396657943726,6.519457610998398,69115,2500,250000,0.0039172634,123.83,0.10728882,10,0.039832,0.054067384,4.0897465
-0.0026811077,0.8762687891721725,13.659521579742432,5.7475275324005635,70496,2750,275000,0.0046113725,111.84,0.08345164,11,0.053044,0.055382077,4.0839977
-0.0016086167,0.8321662396192551,14.427008867263794,6.393326082826679,67252,3000,300000,0.004436585,126.49,0.112000585,12,0.05002,0.053118847,4.083503
-0.0014711738,0.8710753321647644,15.227121353149414,7.455871598566009,66781,3250,325000,0.0038509548,141.85,0.0764971,13,0.037040003,0.054336727,4.0836897
-0.001766197,0.8255420327186584,16.00844097137451,7.685218735540912,69888,3500,350000,0.0042127995,146.62,0.08899688,14,0.046051998,0.053983375,4.0815763
-0.0017087581,0.7941459268331528,16.76417851448059,7.967395320232099,68894,3750,375000,0.0035695613,148.35,0.10353931,15,0.03436,0.054644015,4.081963
-0.0008034841,0.7604525834321976,17.53236484527588,8.6535416181248,68814,4000,400000,0.006036202,161.49,0.10892779,16,0.07622,0.05449834,4.082067
-0.0015918121,0.7464504241943359,18.302866458892822,8.900273030827957,69087,4250,425000,0.0073571964,169.34,0.10252161,17,0.096632,0.053463086,4.083234
