serial_timesteps,n_updates,ep_reward_mean,approxkl,explained_variance,true_reward,total_timesteps,fps,time_elapsed,value_loss,clipfrac,policy_loss,policy_entropy,ep_len_mean
250,1,0.25111388314799116,0.004468146,-0.7072510719299316,0.003804468,25000,4162,0.0017080307006835938,0.059255667,0.051624,-0.006505602,5.676371,12.16
500,2,0.3046479827717121,0.0034965135,0.03240334987640381,0.0036654102,50000,58947,6.643636703491211,0.03739772,0.035548,-0.005561877,5.675811,14.41
750,3,0.32711234623777274,0.0049752556,0.22344571352005005,0.0043616365,75000,65519,7.549182415008545,0.030909698,0.06128,-0.0060797227,5.6736584,15.22
1000,4,0.3403992247201677,0.004731397,0.31304627656936646,0.0072502885,100000,58837,8.36138367652893,0.037186857,0.058700003,-0.006034029,5.6720076,16.03
1250,5,0.3972381294841762,0.0047139367,0.37553685903549194,0.011892993,125000,65937,9.221315383911133,0.039194744,0.057359993,-0.0054772403,5.6683593,17.47
1500,6,0.4794241847223384,0.0047925864,0.43247735500335693,0.016766822,150000,66943,10.024286985397339,0.040215403,0.057908,-0.006084113,5.6650076,19.05
1750,7,0.5339654041980976,0.0066905795,0.4672400951385498,0.021808222,175000,66054,10.833359956741333,0.053866804,0.081512004,-0.0064803376,5.659232,18.18
2000,8,0.5354610610269447,0.0056640264,0.5044130980968475,0.026127774,200000,68608,11.631016492843628,0.062129,0.071499996,-0.0052916557,5.6497264,18.23
2250,9,0.5616548486892134,0.0059040217,0.49894219636917114,0.029913401,225000,66239,12.417152643203735,0.07910196,0.073755994,-0.00432044,5.6385055,18.79
2500,10,0.6338639640575274,0.004286454,0.46301382780075073,0.03517433,250000,67284,13.22965121269226,0.12291632,0.050848,-0.0037781247,5.629386,19.83
2750,11,0.7757386334985494,0.005583919,0.49180102348327637,0.03691072,275000,66496,14.014111042022705,0.11636354,0.066988006,-0.0042157583,5.622832,20.58
3000,12,0.884805647348985,0.004121711,0.43323183059692383,0.038509503,300000,65577,14.804432392120361,0.1310931,0.049207997,-0.0029604663,5.616384,22.83
3250,13,0.896257585826097,0.003709125,0.4734245538711548,0.042335477,325000,59181,15.59928584098816,0.1422157,0.04562,-0.0026512714,5.6103635,24.03
