policy_entropy,ep_reward_mean,time_elapsed,true_reward,n_updates,clipfrac,policy_loss,fps,total_timesteps,explained_variance,serial_timesteps,value_loss,approxkl,ep_len_mean
1.5551087,6.416983305396811,0.0007622241973876953,0.03881561,1,0.296288,0.0059048827,3221,25000,0.9724506679922342,250,0.027488086,0.030065168,172.61
1.5571184,7.1974414907966455,8.374027729034424,0.039935526,2,0.131284,0.0006748388,44594,50000,0.9757659677416086,500,0.021323385,0.0099890875,180.82
1.556112,7.288188941385179,9.404659748077393,0.04027101,3,0.063504,-0.0027542335,51166,75000,0.972326809540391,750,0.02303947,0.0053397315,186.79
1.5525309,6.9806085665514725,10.369601726531982,0.039765716,4,0.06602,-0.0024428426,53993,100000,0.9739229287952185,1000,0.020988952,0.0056393053,182.62
1.5474353,6.487789418351024,11.248957395553589,0.04030212,5,0.05814,-0.0023901449,54555,125000,0.980274548754096,1250,0.0151211275,0.005131406,171.42
1.5447266,6.479568126658997,12.192912817001343,0.038443077,6,0.061451994,-0.0025799144,51149,150000,0.9575508199632168,1500,0.0361167,0.005247592,170.41
1.5446094,6.266765049296444,13.133948802947998,0.038360428,7,0.063644,-0.0017936483,50525,175000,0.9759753346443176,1750,0.019423548,0.0054302537,173.09
1.5447822,6.4399972556173815,14.08226203918457,0.038780946,8,0.0681,-0.0024820685,52345,200000,0.9780841283500195,2000,0.019561423,0.005730391,171.24
1.542061,7.337669779910794,14.998402118682861,0.03996825,9,0.081984,-0.0011526537,54404,225000,0.9705753941088915,2250,0.025794912,0.0064468808,186.82
1.5386252,6.394274837798003,15.914635419845581,0.040868886,10,0.052548,-0.001592223,51754,250000,0.9771562553942204,2500,0.018601973,0.0047845873,167.79
1.5366353,6.83657364914834,16.860248804092407,0.040029887,11,0.070264,-0.0018854884,52342,275000,0.9715958815068007,2750,0.022159966,0.005838329,177.43
1.5355775,7.410999088100325,17.794842004776,0.03990789,12,0.06904,-0.0018444629,55017,300000,0.955638226121664,3000,0.033477254,0.005657036,188.92
1.5302222,6.8389972110394135,18.682631254196167,0.040602792,13,0.059860002,-0.0019386702,53492,325000,0.9791888613253832,3250,0.016331563,0.005170301,175.9
1.524777,7.46326846610329,19.571611642837524,0.040213175,14,0.053267997,-0.0021481025,55016,350000,0.9859038926661015,3500,0.011223785,0.0047402973,193.55
1.5208633,7.095754301856378,20.45913028717041,0.040003534,15,0.057832003,-0.0017599941,53222,375000,0.9785513281822205,3750,0.01649693,0.005003567,186.35
1.512516,7.055982300372707,21.365710973739624,0.04091743,16,0.088139996,-0.0016588509,51460,400000,0.9768059179186821,4000,0.01855531,0.0069714785,177.61
1.5062926,7.57546425876717,22.2911958694458,0.040275417,17,0.081532,-0.0016644429,52073,425000,0.9902009824290872,4250,0.008627387,0.006556342,188.68
1.503551,6.627730230923407,23.225169897079468,0.039961122,18,0.08022799,-0.0015312542,54536,450000,0.9741479102522135,4500,0.021610755,0.0065919743,175.91
1.503361,7.3740389255555785,24.097464084625244,0.03984743,19,0.077092,-0.0014198797,51570,475000,0.9879401903599501,4750,0.009085504,0.0061658374,192.07
1.5004349,6.621035808780362,25.00426459312439,0.039307714,20,0.089532,-0.0016403354,52082,500000,0.9792885277420282,5000,0.017911252,0.007039225,174.51
1.4939998,6.562825458583429,25.89853835105896,0.04045922,21,0.044100005,-0.002126816,55210,525000,0.9757699817419052,5250,0.017921481,0.0041373563,171.88
1.4911855,6.714388237016319,26.796565532684326,0.040085845,22,0.065872,-0.0017489117,52476,550000,0.9849685747176409,5500,0.012561348,0.0054958984,171.64
1.4855697,7.2225660602658355,27.712368726730347,0.039601825,23,0.06318401,-0.0015972002,53312,575000,0.9828189518302679,5750,0.012912719,0.0054754876,187.9
1.4787031,7.239672119933002,28.614441633224487,0.04026372,24,0.07654,-0.0021112608,53337,600000,0.9822729993611574,6000,0.014692287,0.0062305285,182.01
1.4731162,6.850483521728747,29.525394201278687,0.04058103,25,0.053048003,-0.002319447,53770,625000,0.9825592413544655,6250,0.01420024,0.004769318,174.73
1.4652797,6.792738001536036,30.40876340866089,0.039885275,26,0.060332,-0.0017677204,54929,650000,0.9856447167694569,6500,0.011474946,0.005300207,179.92
1.4624567,6.932877488398081,31.295325756072998,0.04054855,27,0.10153999,-0.0012115892,51624,675000,0.9729820135980844,6750,0.023671279,0.007923176,178.31
1.4645545,7.7090390563592885,32.21874213218689,0.040924408,28,0.096684,-0.0017855465,50609,700000,0.9795777276158333,7000,0.01849425,0.0075143324,190.31
