n_updates,fps,ep_reward_mean,total_timesteps,true_reward,policy_entropy,ep_len_mean,clipfrac,time_elapsed,approxkl,explained_variance,value_loss,serial_timesteps,policy_loss
1,3649,9.045379734381077,25000,0.043675464,-2.4360383,209.79,0.640504,0.0005981922149658203,0.43681368,0.9871210912242532,0.011317971,250,0.08130395
2,56048,9.257152829014158,50000,0.0438379,-2.4316592,209.43,0.465144,7.347269058227539,0.065036885,0.9797639399766922,0.016500473,500,0.0177737
3,55190,8.44754077456826,75000,0.042103242,-2.4307158,204.58,0.27934402,8.166045188903809,0.023370266,0.9830680079758167,0.0126486365,750,0.005021327
4,55873,9.097078830820173,100000,0.042725448,-2.4329286,214.33,0.23333602,8.977702379226685,0.019736724,0.9879416469484568,0.008829309,1000,0.004552904
5,55506,9.374747843351633,125000,0.043125913,-2.434784,215.02,0.18134001,9.79962682723999,0.013298215,0.9660290144383907,0.027314713,1250,0.0015662143
6,55743,8.417138553502282,150000,0.041027643,-2.4362311,207.3,0.219872,10.627046346664429,0.017311584,0.978557176887989,0.017210873,1500,0.0025689916
7,55294,9.460318353759076,175000,0.04378381,-2.4371545,219.34,0.204212,11.453124523162842,0.01569425,0.9841060508042574,0.0098498175,1750,0.0022151968
8,56097,8.839839084160557,200000,0.04281183,-2.4375923,210.85,0.12306801,12.292268514633179,0.009063454,0.9888673182576895,0.007493682,2000,-0.0006282348
9,54994,8.939069791422407,225000,0.04396613,-2.4384694,206.61,0.151616,13.120343446731567,0.0113751,0.9883510153740644,0.008661098,2250,0.0013754532
10,57010,9.035313808198053,250000,0.040467486,-2.440116,222.17,0.18027599,13.947585821151733,0.013404223,0.9675232917070389,0.024630936,2500,0.0017684937
11,50240,9.434564848625005,275000,0.043982394,-2.4435835,215.07,0.18518,14.751208782196045,0.013904499,0.9872321300208569,0.008522188,2750,0.0017480546
12,54965,8.902503413139584,300000,0.042113394,-2.4479895,210.21,0.18323201,15.614659547805786,0.015226996,0.9759937506169081,0.019911328,3000,0.0010833162
