n_updates,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,true_reward,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,value_loss,approxkl
1,250,3632,0.5139878577669151,-0.0029377805,25000,0.010669732,5.675815,-0.18408203125,0.0014843940734863281,0.041844003,25.95,0.033916626,0.004014565
2,500,57715,0.5273861859519821,-0.0020225286,50000,0.011095271,5.6771502,0.2255050539970398,7.465069532394409,0.022512,26.03,0.024314556,0.0023707598
3,750,58133,0.6140434967794499,-0.0037159647,75000,0.011804984,5.6808405,0.48559099435806274,8.321940422058105,0.068264,30.83,0.01932631,0.005261139
4,1000,55180,0.8115441555218422,-0.0035866662,100000,0.014684759,5.6834774,0.5860070586204529,9.165035963058472,0.038916,41.24,0.025488917,0.0034085563
5,1250,55036,1.1608954289905886,-0.003998355,125000,0.014796516,5.6886444,0.5549783408641815,10.015365362167358,0.070176,59.67,0.034019567,0.0054463814
6,1500,54719,0.9497473692844869,-0.0027727038,150000,0.014848288,5.692938,0.3934362530708313,10.874841213226318,0.02474,52.94,0.057698153,0.0024646944
7,1750,56616,1.0449614270639858,-0.0015788644,175000,0.0152464025,5.694734,0.1850031614303589,11.752837419509888,0.019407999,53.59,0.07142304,0.0023492915
8,2000,56795,0.9951818050800102,-0.0015430276,200000,0.015190058,5.6949263,0.16240793466567993,12.601835012435913,0.0218,46.3,0.07719086,0.00245453
9,2250,58123,1.1263868190156792,-0.00167186,225000,0.015236273,5.694701,0.3704953193664551,13.449664831161499,0.012564001,58.18,0.06111791,0.0017076578
10,2500,39502,1.2524625253295971,-0.0020197304,250000,0.017105186,5.694882,0.5604283809661865,14.284106492996216,0.016076,59.35,0.056313347,0.0021609853
11,2750,56338,1.5542588983584391,-0.0021519302,275000,0.017999671,5.6914506,0.6633428633213043,15.32256293296814,0.019948,75.21,0.049207248,0.002272455
12,3000,56189,1.483269869313899,-0.002012014,300000,0.01748192,5.6873403,0.7279333174228668,16.161956787109375,0.019068,75.13,0.041299943,0.0022551138
13,3250,56861,1.5174630543828425,-0.0020719352,325000,0.017713744,5.6818757,0.706072598695755,17.01016640663147,0.018816,70.82,0.046172902,0.0022349379
14,3500,56601,1.6481413819270807,-0.0015294595,350000,0.01856846,5.681463,0.724403977394104,17.845795154571533,0.008372,80.4,0.045902934,0.0014089978
15,3750,57004,1.8945313573992462,-0.0017097499,375000,0.019252563,5.6829357,0.6991805732250214,18.679559469223022,0.0124,87.55,0.057320952,0.0016888103
16,4000,57279,2.1406748070999106,-0.0016607868,400000,0.019722825,5.6790514,0.7686447352170944,19.503910064697266,0.007456,92.6,0.056813575,0.0013257345
17,4250,54536,1.6465496831031532,-0.0019525106,425000,0.018414767,5.6763606,0.7526978254318237,20.34768509864807,0.014019999,81.78,0.057177983,0.001928705
18,4500,57128,1.8259219624721845,-0.0020126572,450000,0.01915296,5.676544,0.7936798632144928,21.215511322021484,0.024032,86.57,0.053188056,0.0026565115
19,4750,57368,1.8481196470018637,-0.001967645,475000,0.019391496,5.675004,0.8210971355438232,22.053863286972046,0.021720001,88.71,0.054701187,0.0023641544
20,5000,57253,1.7726625503571358,-0.00174105,500000,0.01765253,5.671273,0.8323500901460648,22.88290047645569,0.009184,84.54,0.051318966,0.001557973
