value_loss,policy_entropy,policy_loss,serial_timesteps,ep_len_mean,fps,n_updates,time_elapsed,approxkl,total_timesteps,explained_variance,clipfrac,true_reward,ep_reward_mean
2.1896708,5.679349,-0.0043716137,250,22.18,3430,1,0.0015673637390136719,0.0041774632,25000,0.0017777681350708008,0.047484,-0.097072996,0.4581727019404934
1.5799264,5.6856976,-0.0015568786,500,27.26,56725,2,7.898809432983398,0.0008633452,50000,0.028376638889312744,0.004608,-0.078449756,0.5443051580214524
1.1046937,5.693113,-0.003267637,750,31.35,54940,3,8.78353500366211,0.005367299,75000,0.045598506927490234,0.068844005,-0.060791474,0.6397085301502011
0.7578896,5.695065,-0.0005435524,1000,38.75,55289,4,9.683857440948486,0.0011039015,100000,0.1121983528137207,0.0031440002,-0.04557452,0.7520900902633002
0.61359864,5.695818,-0.0023355915,1250,52.0,55271,5,10.567501068115234,0.0027660828,125000,0.15039408206939697,0.027884,-0.040724818,0.9589000117463092
0.49129844,5.6930814,-0.0016217169,1500,42.7,54811,6,11.435882329940796,0.0010525242,150000,0.23791003227233887,0.0050959997,-0.037742704,0.923981326433568
0.4138956,5.6937933,-0.0019101091,1750,45.93,55513,7,12.31666088104248,0.0011799283,175000,0.3079468607902527,0.006544,-0.036681034,0.9170226351245583
0.37316418,5.694745,-0.002154032,2000,44.32,54864,8,13.19813323020935,0.0017721243,200000,0.3475150465965271,0.013944,-0.03371771,1.018957445971064
0.3144262,5.694552,-0.001901042,2250,55.51,55538,9,14.076951503753662,0.0016299871,225000,0.42777031660079956,0.010808,-0.02939546,1.1312788332549917
0.27787924,5.691686,-0.0021022435,2500,49.78,55523,10,14.952499151229858,0.0029696603,250000,0.49130719900131226,0.029676,-0.025226517,1.018982507615292
0.25042167,5.6891136,-0.0018117062,2750,56.17,55682,11,15.808773756027222,0.0032222332,275000,0.5544933080673218,0.030264,-0.021554884,1.1744513269210801
0.25934994,5.685588,-0.002347029,3000,58.04,56088,12,16.667327880859375,0.0041893143,300000,0.5533511340618134,0.046328,-0.02168771,1.1208295623882714
0.23175606,5.6802206,-0.0014586367,3250,66.68,53406,13,17.5369873046875,0.0030239497,325000,0.6181743741035461,0.027288,-0.019314576,1.3198068650134156
0.19808309,5.6747127,-0.0014327355,3500,57.19,53616,14,18.42294955253601,0.002384061,350000,0.6859660148620605,0.018832002,-0.017870061,1.1381604649110069
0.19960754,5.667517,-0.0015729029,3750,59.49,53826,15,19.308252096176147,0.0024841689,375000,0.7139651775360107,0.019012,-0.018619312,1.112624244167291
0.1889887,5.659907,-0.0016591491,4000,69.75,53748,16,20.188411235809326,0.0029373963,400000,0.7314185202121735,0.026132002,-0.015717309,1.1718278334041998
0.20739153,5.65634,-0.0012178125,4250,71.29,55960,17,21.065550327301025,0.00221971,425000,0.7072792649269104,0.015488001,-0.015438279,1.4910186512390646
0.15884045,5.6561327,-0.0013690031,4500,70.22,53609,18,21.927558183670044,0.001598244,450000,0.8055608868598938,0.010067999,-0.011974825,1.5169060759241437
0.16060716,5.6576896,-0.0011454301,4750,85.09,53150,19,22.81690549850464,0.0012732992,475000,0.8070767521858215,0.0067000003,-0.011374434,1.763682940715123
0.17783901,5.6540527,-0.0023878163,5000,71.31,56385,20,23.699315309524536,0.0032734047,500000,0.8038444817066193,0.032268,-0.013624256,1.4652910285015788
0.14955345,5.6481495,-0.0020438295,5250,65.97,55760,21,24.539886236190796,0.0030948832,525000,0.8422593176364899,0.031832002,-0.0160746,1.2293198413856476
0.14050624,5.639613,-0.0012421298,5500,81.27,56604,22,25.399974822998047,0.0012728812,550000,0.8656240105628967,0.0063999994,-0.011824493,1.5743260685446767
0.14574972,5.6333942,-0.0016027412,5750,67.84,55588,23,26.266437292099,0.0025448245,575000,0.8587470948696136,0.020452,-0.0119403135,1.3071186435538038
0.13615172,5.6302767,-0.0015448834,6000,73.69,55091,24,27.125038862228394,0.002297323,600000,0.8772125989198685,0.017916,-0.013353715,1.4264232109976864
0.118755236,5.6278667,-0.0015619389,6250,68.04,54363,25,28.01895260810852,0.0026313285,625000,0.8875752687454224,0.023184001,-0.010938407,1.3764582125632114
0.12309136,5.622761,-0.0013229672,6500,83.69,53562,26,28.90057921409607,0.0022576111,650000,0.88148532807827,0.015551999,-0.0092114955,1.4717203337895535
0.13041899,5.6198893,-0.001172464,6750,74.97,53871,27,29.787352323532104,0.0014716395,675000,0.888426348567009,0.0095,-0.011368266,1.3451576539383832
0.13951705,5.618577,-0.0014450931,7000,75.66,57503,28,30.658694744110107,0.0015363052,700000,0.8807887956500053,0.011212,-0.011221437,1.474712468518819
0.12064846,5.616868,-0.0016347028,7250,84.86,57568,29,31.51416516304016,0.00294824,725000,0.8930832296609879,0.026692,-0.008433142,1.5352347249469813
0.10875706,5.6114407,-0.0012186834,7500,80.67,55670,30,32.375229835510254,0.0015043316,750000,0.9047506973147392,0.007232,-0.007425564,1.4998063448712309
0.12040003,5.611767,-0.0014057808,7750,80.99,55002,31,33.25515055656433,0.0023677046,775000,0.8938892036676407,0.016188,-0.008433563,1.397054945955765
0.12558976,5.615326,-0.0015675407,8000,82.36,56087,32,34.13730525970459,0.0017232873,800000,0.9048627838492393,0.010588,-0.008390526,1.741915611698969
0.13652675,5.6161356,-0.0014021196,8250,83.68,52331,33,34.98819303512573,0.001503871,825000,0.8891649022698402,0.00814,-0.009221888,1.6427929615646826
0.12129621,5.6144395,-0.0011957006,8500,74.6,55072,34,35.87939643859863,0.0014430664,850000,0.9002692326903343,0.009175999,-0.009665902,1.3724166363091377
0.131707,5.6142693,-0.0018272887,8750,71.16,55130,35,36.744901180267334,0.0026300675,875000,0.8958921879529953,0.022984,-0.010618659,1.3278152441668316
0.12731166,5.61343,-0.0022440138,9000,86.12,56231,36,37.62216281890869,0.0032093506,900000,0.8883232399821281,0.033384,-0.009204919,1.5205890968520543
0.09604876,5.6126256,-0.0012580861,9250,84.95,54467,37,38.50261473655701,0.0015935199,925000,0.9158681854605675,0.011292,-0.011689156,1.3339054349374875
0.10215515,5.6108847,-0.0013430873,9500,83.37,55165,38,39.38939881324768,0.0023290634,950000,0.9150328040122986,0.018984001,-0.006348035,1.634222909718601
0.09625939,5.6066527,-0.0013146283,9750,83.28,53558,39,40.29081845283508,0.0017571596,975000,0.9213308468461037,0.01134,-0.007853845,1.7110475537966088
0.1055151,5.603028,-0.00091827323,10000,75.09,54061,40,41.199554204940796,0.0016103953,1000000,0.915575236082077,0.007852,-0.009412964,1.5416215269981695
0.10103573,5.5995536,-0.0017535519,10250,77.0,54587,41,42.106149673461914,0.0028016113,1025000,0.9188409969210625,0.025152002,-0.008501171,1.428875579445729
0.103465065,5.594238,-0.0016997174,10500,81.44,54919,42,42.99919867515564,0.0029512092,1050000,0.9081487134099007,0.026688,-0.006253584,1.5563753148768273
0.08845176,5.587673,-0.0009972646,10750,81.83,56301,43,43.8712272644043,0.0022983965,1075000,0.9261218309402466,0.014684001,-0.008319442,1.6386319659119
0.103854515,5.5831065,-0.0013680256,11000,88.7,54644,44,44.737887382507324,0.0018975331,1100000,0.9080730602145195,0.011324001,-0.0043158582,1.7030311421398892
0.10622875,5.5848985,-0.0016021191,11250,70.4,55269,45,45.6672306060791,0.0027073098,1125000,0.9155573844909668,0.0216,-0.0087621035,1.3763784045866556
0.0925633,5.5858984,-0.0015509396,11500,82.05,54188,46,46.54443955421448,0.0023564338,1150000,0.9194946587085724,0.019327998,-0.008373035,1.4550346263583935
0.110961474,5.582293,-0.0017400745,11750,73.68,55317,47,47.44152235984802,0.0015912987,1175000,0.9114735797047615,0.010196,-0.0068050963,1.5123711731123604
0.09060263,5.578964,-0.0017005492,12000,95.86,53932,48,48.316030979156494,0.0027444365,1200000,0.919305607676506,0.02336,-0.0039657317,1.798787663280673
0.08917251,5.5771985,-0.0014041896,12250,89.84,55212,49,49.20619225502014,0.0023341621,1225000,0.926071010529995,0.017487999,-0.0048786015,1.6492030773400028
0.0930563,5.573318,-0.0016860462,12500,72.99,56026,50,50.08857560157776,0.0019639477,1250000,0.9248733967542648,0.015568,-0.0075073047,1.5029685596861975
0.08289833,5.5659513,-0.0015152587,12750,70.07,55379,51,50.958853006362915,0.0023504267,1275000,0.9382255561649799,0.016615998,-0.008016925,1.1782048790095632
0.084584236,5.5590944,-0.0014018741,13000,74.74,55075,52,51.838186264038086,0.002217723,1300000,0.9338299781084061,0.013792001,-0.005990978,1.4552998548339746
0.08154211,5.5544367,-0.0018232869,13250,82.75,46604,53,52.729825496673584,0.0026423398,1325000,0.9333366602659225,0.021676,-0.0045661237,1.3597859681040927
0.07723749,5.550629,-0.0016019295,13500,76.29,56586,54,53.723265171051025,0.0021499041,1350000,0.9391003847122192,0.016676,-0.0070782,1.393434211221329
0.093306474,5.5439653,-0.0020531998,13750,74.17,54749,55,54.57031011581421,0.0031192794,1375000,0.9282503202557564,0.030652002,-0.0060137846,1.4160994977747305
0.0724588,5.536766,-0.0016140959,14000,78.15,54334,56,55.445069551467896,0.0022245715,1400000,0.9418440870940685,0.017552,-0.0041016005,1.6695708238275528
0.07990512,5.5310264,-0.0016542829,14250,82.66,52960,57,56.319488286972046,0.0030366238,1425000,0.9374805316329002,0.024648001,-0.004792823,1.649551964799066
0.08753626,5.5262384,-0.0018924109,14500,76.98,53606,58,57.22029662132263,0.0021297303,1450000,0.934272825717926,0.016912,-0.00337162,1.611974766645435
0.08670433,5.520614,-0.0019665784,14750,73.93,52919,59,58.10177183151245,0.002692395,1475000,0.9325784519314766,0.02484,-0.007489893,1.4351761892532886
0.08198198,5.5139823,-0.0014078913,15000,75.3,53730,60,58.99608039855957,0.0023052916,1500000,0.9368607178330421,0.017956,-0.0076743895,1.4739728655958606
0.09333592,5.5056696,-0.0020040679,15250,75.61,55336,61,59.873387575149536,0.0025217286,1525000,0.9284097328782082,0.019876,-0.007281709,1.626451002892645
0.08022718,5.4993486,-0.0015393173,15500,79.19,55435,62,60.754011392593384,0.002096637,1550000,0.9384562820196152,0.015068,-0.006046328,1.6060325442622343
0.074403554,5.492815,-0.001790946,15750,84.34,56411,63,61.62523412704468,0.0021424806,1575000,0.940753947943449,0.01706,-0.0047514336,1.6066493468787644
0.057919364,5.486168,-0.0016070011,16000,81.08,53884,64,62.52475881576538,0.0016636268,1600000,0.9563691765069962,0.0110760005,-0.0049231285,1.745378204687313
0.075349286,5.4788904,-0.0018399535,16250,80.36,55728,65,63.406436920166016,0.0019793015,1625000,0.9423206709325314,0.015056001,-0.004546483,1.5769658068584613
0.07427197,5.47195,-0.0018131646,16500,77.14,56483,66,64.28197431564331,0.0027437657,1650000,0.9445171318948269,0.021308,-0.005202286,1.4738062362691198
0.06530074,5.4639525,-0.001693435,16750,82.7,50253,67,65.14235353469849,0.001803106,1675000,0.9507055915892124,0.0141,-0.0033629965,1.5716658539437833
0.06463128,5.4585485,-0.0018993557,17000,80.18,54435,68,66.04327940940857,0.0021004162,1700000,0.9495046585798264,0.014563998,-0.003411539,1.5379681484044705
0.07144883,5.450923,-0.0018502062,17250,85.43,54675,69,66.90878319740295,0.0031534664,1725000,0.9419431574642658,0.027776,-0.00502592,1.677392741196636
0.06317021,5.439958,-0.0014872849,17500,76.94,54978,70,67.77816390991211,0.0018411825,1750000,0.9520291537046432,0.013368,-0.004452932,1.498041327956762
0.084594056,5.437777,-0.001916891,17750,84.47,55703,71,68.64697551727295,0.002787786,1775000,0.9296375140547752,0.025379997,-0.0052189515,1.446713173305434
0.07625274,5.4354506,-0.0015134373,18000,78.68,55255,72,69.49342465400696,0.0022338307,1800000,0.9422620609402657,0.013456,-0.0032676556,1.5525963762615902
0.06800507,5.4266677,-0.0012863264,18250,78.44,54983,73,70.37000799179077,0.0019830607,1825000,0.9502379782497883,0.012020001,-0.0063688005,1.5546533947307761
0.074910305,5.4177694,-0.0019652261,18500,81.84,51951,74,71.24069929122925,0.002560761,1850000,0.9382086843252182,0.023708,-0.004526499,1.7179942039918614
0.057730444,5.4090242,-0.0014400219,18750,86.14,53277,75,72.15340805053711,0.0023488193,1875000,0.9505077637732029,0.017328,-0.0022095896,1.721973156052759
0.054773428,5.400651,-0.0019027656,19000,85.17,51648,76,73.06704425811768,0.002766212,1900000,0.9560818709433079,0.023372,-0.0026410888,1.6170675284332447
0.08318265,5.3907156,-0.0018132208,19250,74.06,52998,77,73.98093938827515,0.0025771023,1925000,0.9353992491960526,0.020644,-0.005556491,1.5127558991162915
0.080341026,5.3807526,-0.0019243648,19500,87.63,55548,78,74.87933254241943,0.0031037878,1950000,0.9327414408326149,0.028156001,-0.0023966678,1.805945761403568
0.065712914,5.3752956,-0.0014391586,19750,76.61,56916,79,75.74994111061096,0.0023238068,1975000,0.9472887292504311,0.015128,-0.004392168,1.4709719545242115
0.061779164,5.36894,-0.0014573014,20000,78.25,56110,80,76.5993869304657,0.0022476353,2000000,0.9491310380399227,0.014951999,-0.0030932047,1.551780945221435
0.05082407,5.3643436,-0.0017969466,20250,82.9,56390,81,77.47429633140564,0.0025579513,2025000,0.9593367800116539,0.023723999,-0.0029726776,1.6095799983147707
0.059016496,5.361397,-0.0012477932,20500,81.71,54682,82,78.33691787719727,0.002350626,2050000,0.9511232785880566,0.015656,-0.0024429366,1.6656419903415463
0.05064884,5.356375,-0.0016835646,20750,73.85,54966,83,79.2085325717926,0.002341919,2075000,0.9590829685330391,0.018636,-0.0037226472,1.5175641531970496
0.059028495,5.345119,-0.0014579018,21000,75.89,56995,84,80.08103823661804,0.0017784976,2100000,0.9528127200901508,0.010404,-0.00577965,1.5332852893891504
0.050620764,5.3346605,-0.0014843515,21250,88.21,56161,85,80.94016766548157,0.0020988348,2125000,0.9576526395976543,0.015619999,-0.0019118744,1.6721035134735711
0.066987224,5.3262115,-0.0023645065,21500,78.9,56557,86,81.81694555282593,0.0028356893,2150000,0.9476582929491997,0.02352,-0.0032866723,1.5685500680243967
0.047310434,5.3189917,-0.0012737159,21750,70.67,53415,87,82.67931509017944,0.0023696763,2175000,0.962147481739521,0.017132,-0.0040012063,1.4836651146710893
0.05064872,5.3099794,-0.0019775196,22000,76.9,54178,88,83.5799777507782,0.0029762618,2200000,0.9616902284324169,0.028272,-0.004233072,1.6451839176435987
0.05389563,5.301877,-0.0020564152,22250,82.8,54186,89,84.47329878807068,0.0033536325,2225000,0.9589286632835865,0.029747998,-0.0028576897,1.6164682162225654
0.06759751,5.29519,-0.0017895093,22500,71.46,56309,90,85.38111329078674,0.0032573224,2250000,0.9474092051386833,0.031708002,-0.004097466,1.5094703364688757
0.06394325,5.2885256,-0.0016209614,22750,80.5,56708,91,86.25383710861206,0.003336051,2275000,0.9512887038290501,0.029436002,-0.0037644077,1.6944235540959562
0.044287894,5.282997,-0.0016610961,23000,92.47,57193,92,87.11980938911438,0.0023651887,2300000,0.9646269455552101,0.019547999,6.06775e-05,1.993718059912427
0.053529162,5.2776957,-0.0017165787,23250,81.37,55297,93,87.9702160358429,0.0026822756,2325000,0.9588217064738274,0.021184001,-0.0024645724,1.6009196061736657
0.048797853,5.275687,-0.002239688,23500,85.5,56086,94,88.85842156410217,0.0034223304,2350000,0.9595205672085285,0.030708004,-0.0043224753,1.6867613784068636
0.048514485,5.2728677,-0.001984549,23750,75.28,56563,95,89.72330284118652,0.003187346,2375000,0.9619287848472595,0.028596003,-0.0034370916,1.4449987306341427
0.041070126,5.2660666,-0.0025462774,24000,78.05,57743,96,90.59070563316345,0.0028763276,2400000,0.9680088385939598,0.0247,-0.003359183,1.5852636968710794
0.041959066,5.2617536,-0.001084906,24250,80.96,57224,97,91.44024586677551,0.0020595782,2425000,0.9660062827169895,0.012036,-0.0023606343,1.5876026105185337
0.048790164,5.2584076,-0.0019860882,24500,77.81,56016,98,92.30842161178589,0.0029964284,2450000,0.9624064825475216,0.027320001,-0.003595733,1.6762305559965172
0.046926446,5.2553816,-0.002377899,24750,84.02,55625,99,93.16823887825012,0.0029557175,2475000,0.9630499742925167,0.027339999,-0.0021366517,1.8463535763285472
0.046935834,5.2485685,-0.0016122159,25000,85.53,56403,100,94.04578042030334,0.0026527096,2500000,0.963567465543747,0.019828001,-0.0017054853,1.8276738483477857
0.042623762,5.2387185,-0.0018003735,25250,73.08,52832,101,94.9131977558136,0.0029673497,2525000,0.9664187543094158,0.024372,-0.0022825634,1.5006213575332321
0.05056703,5.226285,-0.0021356896,25500,82.3,56306,102,95.83050417900085,0.00337569,2550000,0.9594140127301216,0.030619998,-0.0017007259,1.7240631445098642
0.04093031,5.215022,-0.0017873757,25750,87.53,55578,103,96.6883533000946,0.0027071184,2575000,0.9679837450385094,0.02282,-0.0010396637,1.9172042329171517
0.050776135,5.210162,-0.0019062927,26000,79.92,56737,104,97.55814743041992,0.003087693,2600000,0.9593555219471455,0.026036,-0.0018782789,1.8403605398236642
0.046286315,5.202134,-0.0018897302,26250,88.35,55706,105,98.41250824928284,0.00370759,2625000,0.9623778760433197,0.035208,-0.001846697,1.7862364611648354
0.058599763,5.1943564,-0.002217903,26500,75.17,53912,106,99.28806161880493,0.003430752,2650000,0.953335665166378,0.032387998,-0.0018092382,1.5632218995360245
0.042607624,5.1863832,-0.0016304597,26750,76.06,53659,107,100.16743040084839,0.0026840917,2675000,0.9671725705265999,0.019908,-0.0027620285,1.585501214440685
0.051719368,5.178343,-0.0019615951,27000,81.61,56065,108,101.05256700515747,0.0027141601,2700000,0.9580864831805229,0.021644,-9.434051e-06,1.977785195869619
0.052399267,5.1723847,-0.0020103827,27250,86.66,56091,109,101.9266140460968,0.0031043328,2725000,0.9560025446116924,0.027399998,0.00074383937,1.8525404164522479
0.054265033,5.1638594,-0.0020506517,27500,81.23,55915,110,102.78777003288269,0.0030988748,2750000,0.956713330000639,0.028171998,-0.0011948561,1.7141530408806285
0.05148834,5.1551943,-0.0019279144,27750,83.52,50160,111,103.67263770103455,0.0029764236,2775000,0.958774745464325,0.0252,-0.00019699849,1.6335466485118832
0.0554507,5.148313,-0.0017844534,28000,89.49,54820,112,104.60358619689941,0.0026557227,2800000,0.9556378424167633,0.023388002,0.00057488657,1.7299681584192512
0.05608862,5.142823,-0.0018193576,28250,84.83,51862,113,105.49241924285889,0.00262693,2825000,0.9531920775771141,0.019415999,0.0012316027,1.8626081154554959
0.05961197,5.1340275,-0.0016767172,28500,90.54,56328,114,106.41516494750977,0.002854683,2850000,0.9532227218151093,0.023111999,0.0003556781,1.9417147789794216
0.04909417,5.1249094,-0.0019027723,28750,80.45,56468,115,107.29586434364319,0.0031022478,2875000,0.9642863795161247,0.028703999,-0.0004826009,1.6649011459788563
0.050539088,5.116969,-0.0016838519,29000,74.88,55156,116,108.17268252372742,0.0034303423,2900000,0.9556614458560944,0.03152,0.00018426043,1.6782892391271889
0.044476256,5.1083064,-0.0015896198,29250,81.93,55657,117,109.05003380775452,0.0027474547,2925000,0.9645290039479733,0.021332,0.0011752195,1.7287832562082621
0.049949914,5.0981555,-0.002068505,29500,81.96,54410,118,109.93578696250916,0.0031354658,2950000,0.9592532925307751,0.028876001,0.0010325316,1.7153911254817433
0.056148537,5.089343,-0.0017831525,29750,81.19,56154,119,110.81234073638916,0.0029498334,2975000,0.9562686569988728,0.025092002,0.001095761,1.817774921042744
0.049229134,5.0848336,-0.001663914,30000,73.81,57176,120,111.67153811454773,0.0020188184,3000000,0.9608189389109612,0.012792001,-0.0014382474,1.5709014793779534
0.06009365,5.0821514,-0.0022221578,30250,76.82,55126,121,112.5330662727356,0.0035163914,3025000,0.9562847055494785,0.036932,-0.0005696682,1.659439354323913
0.05430458,5.07951,-0.0017379664,30500,78.66,56058,122,113.44568729400635,0.0025051846,3050000,0.9575860537588596,0.018892001,0.0028463888,1.6925069625012565
0.055902027,5.077292,-0.0022778115,30750,86.31,55256,123,114.2983283996582,0.00355529,3075000,0.9569518938660622,0.033152003,-0.0005338635,1.732878953280865
0.0429902,5.072721,-0.0023442819,31000,82.37,55000,124,115.16516709327698,0.0036008477,3100000,0.9651877284049988,0.034052,0.003685503,1.7303585033798026
0.061417215,5.067127,-0.0013451836,31250,89.53,56831,125,116.04054808616638,0.0031553216,3125000,0.9518014676868916,0.026332,0.0025434066,1.9735847182187536
0.056766503,5.0634766,-0.0015375927,31500,79.46,56419,126,116.90992856025696,0.0023172537,3150000,0.9572977162897587,0.017088,0.0012369754,1.8292576323903562
0.05221889,5.057252,-0.0023308927,31750,80.0,55524,127,117.76589155197144,0.003666976,3175000,0.9589043892920017,0.036099996,0.0025200436,1.7614243069525763
0.056173593,5.0498176,-0.0016810864,32000,79.2,56195,128,118.63086414337158,0.0030168768,3200000,0.9570299498736858,0.025924003,0.0012461161,1.8278278684973248
0.046189405,5.041605,-0.0019164216,32250,83.2,56291,129,119.48372888565063,0.0030503315,3225000,0.9666547365486622,0.028155997,0.003072127,1.939320406953484
0.051562417,5.0360065,-0.0018732001,32500,80.02,55033,130,120.39415836334229,0.003111199,3250000,0.9615238420665264,0.029676,0.00081057684,1.7045583643159898
0.04522326,5.02767,-0.0019491116,32750,83.74,52609,131,121.27282476425171,0.0031919603,3275000,0.9665342979133129,0.028560001,0.0018126838,1.8213225387257808
0.042090736,5.01532,-0.0020067715,33000,86.53,56518,132,122.15868377685547,0.0031536533,3300000,0.9667178466916084,0.028560001,0.0040674293,1.901897585602028
0.04169445,5.003266,-0.0012689971,33250,82.01,54769,133,123.00869250297546,0.002259767,3325000,0.9668821692466736,0.015536,0.003787671,1.9293125840196625
0.04363076,4.997543,-0.001897235,33500,83.78,57009,134,123.89767956733704,0.0033603334,3350000,0.9677188992500305,0.030768001,0.0028515817,1.9400720880468725
0.055061508,4.9940047,-0.0017306289,33750,76.34,54869,135,124.76483631134033,0.00251221,3375000,0.9591048657894135,0.021616,0.0010429281,1.6693316197009063
0.04511466,4.9908223,-0.0023775254,34000,80.79,53916,136,125.71567487716675,0.003415885,3400000,0.9663733877241611,0.035648,0.004210116,1.8754819598308767
0.038322903,4.9860945,-0.0022077074,34250,90.31,56784,137,126.5950756072998,0.003331089,3425000,0.9697474669665098,0.032952003,0.00524478,2.077095916866615
0.05648101,4.9806743,-0.0019204088,34500,78.09,51979,138,127.45449781417847,0.0031719864,3450000,0.956405658274889,0.030244002,0.0024097706,1.575516900078801
0.060578864,4.973521,-0.002145484,34750,79.61,54071,139,128.35592126846313,0.0033029623,3475000,0.955754466354847,0.029612001,0.0018044728,1.7231673041193154
0.044428945,4.9652796,-0.0016550133,35000,77.75,54243,140,129.22139763832092,0.002903873,3500000,0.9671737253665924,0.021912,0.004118076,1.8092432269148413
0.045386557,4.9575243,-0.0018672332,35250,81.24,53281,141,130.0888614654541,0.0032697893,3525000,0.964409202337265,0.028439999,0.0018622618,1.6869663848352252
0.044252284,4.955098,-0.0018407304,35500,93.47,54464,142,130.97907161712646,0.0029203368,3550000,0.9664705842733383,0.024160001,0.004777363,2.0083111554758353
0.051293027,4.9554224,-0.0019932054,35750,90.73,53137,143,131.8442404270172,0.002828716,3575000,0.96385732665658,0.024868,0.0030288605,1.9313922195628037
0.046274863,4.9529486,-0.0017762824,36000,82.75,54584,144,132.74524235725403,0.0032580998,3600000,0.9662689939141273,0.028344,0.004255096,2.0649951288981994
0.059452992,4.947503,-0.0018031072,36250,85.58,53455,145,133.61580777168274,0.0024926811,3625000,0.9574961625039577,0.020296002,0.0042391606,1.8889956135729882
0.047171257,4.9436693,-0.0022549112,36500,91.14,54014,146,134.5165057182312,0.003458485,3650000,0.9652363061904907,0.034740005,0.003020491,1.8108990536013017
0.049156558,4.94463,-0.0018968899,36750,79.31,55111,147,135.39984273910522,0.0027296578,3675000,0.962986633181572,0.023319999,0.0047718706,1.878956472098871
0.048401866,4.945714,-0.0019169817,37000,81.63,51084,148,136.27338647842407,0.0026843506,3700000,0.9628343693912029,0.020888,0.0013859806,1.6594784384419063
0.0557682,4.941676,-0.0020302762,37250,80.3,53400,149,137.2005650997162,0.0030189997,3725000,0.958096269518137,0.026692,0.003595696,1.838004777573242
0.046377458,4.935828,-0.0020092526,37500,83.2,52950,150,138.09068250656128,0.003704992,3750000,0.9640114568173885,0.036663998,0.0019024432,1.7388286072273695
0.046009168,4.9320025,-0.001857476,37750,84.85,54199,151,138.97756004333496,0.0034733317,3775000,0.9639578014612198,0.032264,0.0049961293,2.000294891878966
0.038422875,4.9276667,-0.0015157392,38000,84.7,56722,152,139.85786890983582,0.0026068692,3800000,0.9728772416710854,0.017059999,0.0048848027,1.811133894672239
0.041946,4.921908,-0.0022899504,38250,77.74,56218,153,140.71251940727234,0.0034749233,3825000,0.9698005989193916,0.031132001,0.0057560266,1.7656656371302233
