value_loss,true_reward,policy_loss,ep_len_mean,explained_variance,policy_entropy,n_updates,clipfrac,fps,serial_timesteps,total_timesteps,approxkl,time_elapsed,ep_reward_mean
2.3139634,-0.12968528,-0.0049145636,22.23,0.002612292766571045,5.678491,1,0.07043201,3575,250,25000,0.005519244,0.001668691635131836,-0.0923273287780603
1.768,-0.114484705,-0.00023992988,26.42,0.02234417200088501,5.681034,2,0.000416,63311,500,50000,0.00043233056,7.599684000015259,-0.14694793387319804
1.2473036,-0.096225254,-0.0044276025,30.27,0.054120779037475586,5.6854486,3,0.10468,60710,750,75000,0.0075528873,8.427273988723755,-0.10562330351237677
0.79208124,-0.077311516,0.0002682622,34.65,0.12250405550003052,5.6887903,4,0.015332001,61341,1000,100000,0.0021792476,9.256529092788696,-0.22849602498827834
0.6716931,-0.07989528,-0.001892201,36.35,0.16928285360336304,5.692195,5,0.03234,61747,1250,125000,0.0032329846,10.075610399246216,-0.1499526810048185
0.44697776,-0.07024347,-0.0016387742,42.01,0.2841775417327881,5.6899633,6,0.008788,63182,1500,150000,0.0014409372,10.908909559249878,-0.25644962164866947
0.3014136,-0.062175415,-0.0018185157,46.63,0.39579957723617554,5.686315,7,0.018992001,60431,1750,175000,0.0021387162,11.725618124008179,-0.24772634469049534
0.2369734,-0.060837343,-0.0018357281,43.01,0.49928098917007446,5.68296,8,0.020492,61790,2000,200000,0.002360669,12.550072431564331,-0.11720489130495253
0.19892709,-0.05911195,-0.0019202072,41.32,0.5365084707736969,5.6814275,9,0.012615999,61877,2250,225000,0.0018622477,13.411745309829712,-0.13407990254089783
0.15917377,-0.05723855,-0.0018683735,46.66,0.6012867093086243,5.6769457,10,0.005744,61693,2500,250000,0.0011632233,14.220736503601074,-0.20272832394906232
0.12566961,-0.051383708,-0.0016982695,53.89,0.6506025195121765,5.67469,11,0.0048040003,62563,2750,275000,0.0010336818,15.05160403251648,-0.29200370210614435
0.11768223,-0.051192038,-0.0021777102,45.92,0.6960825622081757,5.666566,12,0.016371999,62195,3000,300000,0.0021887023,15.868989706039429,-0.21922037757593388
0.09721829,-0.047863886,-0.0020951754,60.19,0.769396960735321,5.6529365,13,0.01652,62049,3250,325000,0.002015187,16.69574236869812,-0.3944107900661459
0.1019726,-0.04646389,-0.0016686193,54.12,0.7335536181926727,5.6398063,14,0.024108,62292,3500,350000,0.0027242124,17.520122289657593,-0.25022128527747556
0.09370503,-0.04343248,-0.0021636917,62.49,0.760559469461441,5.6291656,15,0.031836,63051,3750,375000,0.0032614302,18.329298734664917,-0.20918445395735033
0.08043572,-0.039897714,-0.0013474647,68.3,0.7948522865772247,5.6227465,16,0.012844001,62454,4000,400000,0.0021800927,19.114622116088867,-0.2872560655732876
0.0812617,-0.043359287,-0.0019463437,55.22,0.8191812336444855,5.6246405,17,0.023396,62985,4250,425000,0.0027529674,19.911707878112793,-0.4019448206994048
0.09351387,-0.041614942,-0.0021101958,58.49,0.8038563281297684,5.629395,18,0.031260002,60407,4500,450000,0.0032387592,20.704046487808228,-0.23863263578947483
0.09751187,-0.040075213,-0.0013805797,55.94,0.797509029507637,5.627514,19,0.004176,60999,4750,475000,0.00089821283,21.529864072799683,-0.3054746695198628
0.092477575,-0.03873268,-0.0010860454,63.26,0.8141830414533615,5.62421,20,0.0058599995,62750,5000,500000,0.0012410182,22.33595848083496,-0.1953351771904181
0.08233103,-0.0356494,-0.001252944,73.76,0.8317106813192368,5.6232576,21,0.008339999,62594,5250,525000,0.0014795868,23.130320072174072,-0.3925700362068676
0.09018396,-0.036289435,-0.0020367384,67.38,0.8365365713834763,5.6229043,22,0.022492,62585,5500,550000,0.0024084866,23.932971715927124,-0.13012812279740843
0.07183859,-0.036675,-0.001562676,62.52,0.8509657382965088,5.619001,23,0.015184,62802,5750,575000,0.0020455276,24.73651385307312,-0.09124525979308146
0.080694005,-0.034770895,-0.001414932,70.74,0.8386057764291763,5.6097503,24,0.011740001,63052,6000,600000,0.0018064078,25.520671367645264,-0.012513430889848678
0.080527246,-0.040182438,-0.0016766305,62.32,0.8467380106449127,5.59834,25,0.019488001,62566,6250,625000,0.002486369,26.312243938446045,-0.20639209314768778
0.07335521,-0.03810902,-0.0010743394,67.47,0.8698091208934784,5.587997,26,0.008708,63476,6500,650000,0.001810584,27.110276222229004,-0.20642424212868035
0.066359326,-0.0356409,-0.0017109573,68.69,0.8774977624416351,5.5786514,27,0.023487998,63200,6750,675000,0.002638702,27.903989553451538,-0.33142208283346763
0.065188184,-0.033612985,-0.0012926275,73.22,0.8802658841013908,5.573427,28,0.009976,63275,7000,700000,0.0016039535,28.70169949531555,-0.2901697224045995
0.06593413,-0.036279052,-0.0015166772,76.11,0.8753582686185837,5.572082,29,0.016344,62851,7250,725000,0.0023114728,29.47444772720337,-0.2744295443800297
0.07183169,-0.037113234,-0.0017807226,62.77,0.8757498636841774,5.567933,30,0.018948,60367,7500,750000,0.0021776005,30.26400876045227,-0.2226731469118522
0.071463384,-0.035548743,-0.0012888734,61.55,0.8794254809617996,5.5597997,31,0.01848,61481,7750,775000,0.0022681518,31.069095611572266,-0.3041813466922349
