serial_timesteps,explained_variance,time_elapsed,policy_loss,clipfrac,value_loss,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,approxkl,total_timesteps,n_updates,fps
250,-0.0713353157043457,0.0011014938354492188,-0.0023329228,0.014175999,0.028550494,-0.0630813862460127,35.75,-0.010386336,5.6767187,0.0023038236,25000,1,3630
500,0.08757758140563965,7.450360536575317,-0.0013141634,0.012656,0.020080378,-0.18306913499345712,41.27,-0.010185964,5.67657,0.0018359881,50000,2,60181
750,0.18797582387924194,8.30036449432373,-0.0011849457,0.012428001,0.018129855,-0.17784475224131482,42.98,-0.00983321,5.6752157,0.0019600415,75000,3,61711
1000,0.16344040632247925,9.13605546951294,-0.0012917279,0.016660001,0.017164016,-0.13427890829449096,39.4,-0.00957211,5.670457,0.002367584,100000,4,61167
1250,0.3376557230949402,9.969289779663086,-0.0007972217,0.005588,0.019469311,-0.24465501193965225,44.93,-0.009461978,5.662051,0.0013830019,125000,5,61657
1500,0.3956737518310547,10.789661884307861,-0.0010209798,0.011824,0.018421916,-0.16819278835670728,43.37,-0.009456491,5.6538715,0.0018246847,150000,6,59542
1750,0.468342125415802,11.625063180923462,-0.0014790766,0.017424,0.01882573,-0.16873310586363913,45.04,-0.008314521,5.6516347,0.0023507518,175000,7,60395
2000,0.5008416175842285,12.47413682937622,-0.0012015,0.014432,0.017386716,-0.25543090779362276,48.0,-0.009491092,5.646241,0.0021461763,200000,8,59719
2250,0.5771130621433258,13.317691564559937,-0.0014432494,0.020491999,0.019434271,-0.13700516118886127,49.85,-0.008044056,5.6399775,0.0025940107,225000,9,61043
2500,0.6024035811424255,14.1622953414917,-0.0009105619,0.0029,0.020188885,-0.1475450357621412,46.3,-0.009347793,5.638864,0.0007106493,250000,10,60353
2750,0.6403927505016327,15.035616874694824,-0.0013473844,0.01798,0.017896706,-0.057353599385420465,44.14,-0.008695989,5.6409216,0.0024368698,275000,11,61198
3000,0.6697879433631897,15.879185676574707,-0.0012494345,0.016891997,0.017276162,-0.21242742729492478,47.33,-0.008147422,5.641281,0.002329298,300000,12,62359
3250,0.670238733291626,16.695751428604126,-0.0013623098,0.01852,0.020791372,-0.09770731580420716,43.0,-0.008824598,5.6352797,0.002489218,325000,13,62296
3500,0.7337341606616974,17.54463028907776,-0.0009926802,0.006476,0.019864054,-0.1390703781678485,49.42,-0.0072578746,5.626775,0.0015004072,350000,14,63475
3750,0.7392028272151947,18.36360192298889,-0.0014191581,0.011632,0.022226749,-0.11006173790799266,43.61,-0.0064628273,5.61802,0.0019806488,375000,15,62346
4000,0.7492700815200806,19.1955349445343,-0.0013653184,0.013996,0.021824779,-0.11722046281465737,40.49,-0.0068148,5.608869,0.0019673686,400000,16,61039
4250,0.78400819003582,20.02550196647644,-0.0007972508,0.007843999,0.023803234,-0.053421554274282246,51.68,-0.0061722295,5.6009016,0.0017063553,425000,17,62204
4500,0.7927213609218597,20.855653047561646,-0.0011496703,0.015200001,0.019876666,-0.1123256329489186,49.94,-0.006026853,5.599884,0.0022186944,450000,18,62017
4750,0.7959014475345612,21.66983461380005,-0.001330769,0.009264001,0.026238456,-0.09940411408247656,47.52,-0.007063211,5.5961094,0.0015304245,475000,19,63033
5000,0.7916522175073624,22.489373445510864,-0.000982971,0.008492,0.028107518,-0.17326496007181957,42.8,-0.0066681127,5.5899825,0.0014497347,500000,20,62826
5250,0.7871021628379822,23.30844259262085,-0.0011724373,0.0113,0.026824817,-0.2513364776463277,44.45,-0.007957175,5.5847473,0.0017540369,525000,21,63381
