policy_loss,fps,n_updates,approxkl,time_elapsed,clipfrac,total_timesteps,ep_len_mean,policy_entropy,serial_timesteps,ep_reward_mean,true_reward,explained_variance,value_loss
0.01676714,3425,1,0.055277564,0.0006010532379150391,0.367344,25000,231.5,0.894808,250,10.157373650038616,0.0439328,0.9718863945454359,0.032715805
-0.0026157168,45859,2,0.005798851,7.858194828033447,0.068992004,50000,236.93,0.8953144,500,10.156766772270512,0.042929813,0.9790135212242603,0.01778545
-0.0023996686,59026,3,0.0063727484,8.836237668991089,0.0818,75000,240.53,0.8884344,750,9.937181603455242,0.041506197,0.9866533074527979,0.014147319
-0.0031248275,55486,4,0.0057604574,9.682155847549438,0.071476,100000,226.21,0.8853384,1000,9.704023606632617,0.04174753,0.9616512916982174,0.044812586
-0.0017587334,55340,5,0.0066255913,10.5597984790802,0.087188005,125000,227.98,0.8880261,1250,9.889572358138091,0.043814942,0.9728105701506138,0.025565889
-0.0016938727,56162,6,0.007868972,11.402600288391113,0.103984,150000,238.89,0.8884754,1500,10.36662017579285,0.043089896,0.9688041303306818,0.026034325
-0.0019523468,57727,7,0.004898356,12.279452800750732,0.05774399,175000,231.71,0.88425016,1750,10.14647481796561,0.043252677,0.9789973236620426,0.01671791
-0.0024405343,55042,8,0.006065012,13.13257122039795,0.072864,200000,239.46,0.8779014,2000,10.108190557334492,0.041794717,0.9822872057557106,0.01817507
-0.0027490328,55189,9,0.0066014766,14.008411169052124,0.08046,225000,229.07,0.8735509,2250,9.789321244926905,0.042705204,0.9737773276865482,0.026955757
-0.002131027,58169,10,0.00541216,14.865286111831665,0.061891995,250000,238.74,0.86812437,2500,10.301632152484526,0.042983416,0.9748698137700558,0.02483556
-0.002580157,56153,11,0.005918541,15.693694114685059,0.070868,275000,240.79,0.86164033,2750,10.331811895427945,0.04228863,0.9715441595762968,0.024973912
-0.0025998072,55439,12,0.006823371,16.537874221801758,0.0854,300000,238.97,0.8560616,3000,10.02983394058041,0.04195692,0.9719927255064249,0.025450895
-0.001979379,55804,13,0.00589744,17.39088010787964,0.073212005,325000,233.45,0.8502331,3250,10.116367016156437,0.043361895,0.9563019499182701,0.035599243
-0.0013275652,58700,14,0.007919383,18.24629497528076,0.102932,350000,230.79,0.84505045,3500,10.087531068624195,0.04358484,0.980185478925705,0.017347498
-0.0030399584,55468,15,0.004468843,19.08491015434265,0.047563996,375000,233.88,0.83760965,3750,9.987353607252299,0.042182323,0.9719924461096525,0.025989484
-0.0021336845,55612,16,0.0058686445,19.929758310317993,0.07166,400000,241.71,0.82469463,4000,10.549408154115653,0.043360807,0.9698141142725945,0.023665417
