total_timesteps,approxkl,fps,value_loss,serial_timesteps,time_elapsed,true_reward,explained_variance,policy_loss,clipfrac,n_updates,ep_reward_mean,ep_len_mean,policy_entropy
25000,0.04020063,3493,0.016025985,250,0.0005915164947509766,0.040936135,0.9790779836475849,0.010720077,0.33695602,1,9.042089877218023,221.89,0.8941704
50000,0.0077380612,57622,0.021019721,500,7.735128164291382,0.041060273,0.9730348456650972,-0.001274362,0.104304,2,9.240196035088438,224.49,0.89155614
75000,0.0053171394,57161,0.020578925,750,8.58085036277771,0.042432655,0.9723296109586954,-0.0026557203,0.063172,3,9.14294002970897,215.17,0.88491476
100000,0.0057682693,57672,0.012340972,1000,9.435391664505005,0.043180175,0.9842268731445074,-0.0023717377,0.070208,4,9.672723463204548,223.15,0.88285124
125000,0.00611955,54998,0.022163391,1250,10.27491044998169,0.04102454,0.9732638709247112,-0.0029599578,0.075724006,5,9.015873114704496,219.27,0.87875766
150000,0.004997924,53943,0.021191817,1500,11.128445625305176,0.042027168,0.9753742292523384,-0.0017253446,0.058948,6,9.064783437064834,212.65,0.87587106
175000,0.0051695397,55410,0.012698097,1750,11.99148178100586,0.04454502,0.9834111034870148,-0.0026627176,0.0592,7,9.330952541186925,209.17,0.8728533
200000,0.010043573,57453,0.02551255,2000,12.847388744354248,0.04147889,0.9693249836564064,-0.0009536721,0.13168801,8,9.672723712413381,231.56,0.86661863
225000,0.0069425404,57145,0.011124006,2250,13.692913293838501,0.04200311,0.9859236953780055,-0.0020034637,0.089312,9,9.510984896717382,224.51,0.8617898
250000,0.006133935,57315,0.0147400005,2500,14.529650926589966,0.041620236,0.9835797660052776,-0.0023025328,0.07638,10,9.49275689400882,226.37,0.85963774
275000,0.007297124,57064,0.015378493,2750,15.361954689025879,0.042259056,0.9786370452493429,-0.0016158549,0.08856801,11,9.681398532786625,228.04,0.8574444
300000,0.0064151348,50578,0.010607427,3000,16.241029262542725,0.042382784,0.9885860309004784,-0.0021903622,0.0824,12,9.577257673421117,226.96,0.8548406
325000,0.0060644406,56065,0.009285258,3250,17.122584581375122,0.042314194,0.9896053215488791,-0.0037069484,0.074228,13,9.349923774208145,220.23,0.8508458
350000,0.0067387284,54787,0.024134303,3500,17.95716953277588,0.041516606,0.9717253874987364,-0.004014174,0.091076,14,8.675534628266178,208.42,0.84723425
375000,0.0074493,56919,0.031165471,3750,18.798290491104126,0.041071724,0.9606183357536793,-0.0023142183,0.09597199,15,9.071786408398639,219.33,0.8482822
400000,0.006014173,56354,0.02448828,4000,19.628407955169678,0.04135446,0.9711992423981428,-0.0022959046,0.074540004,16,8.935753330168154,216.11,0.8552891
425000,0.0060022487,57741,0.009622699,4250,20.459176063537598,0.042313155,0.9876828324049711,-0.0015360588,0.077104,17,10.028697333923192,234.38,0.86257774
450000,0.0059711416,57777,0.019634128,4500,21.2859206199646,0.041388426,0.9779085498303175,-0.0028170696,0.07344,18,8.699603205258754,210.65,0.8646725
475000,0.0058479356,55870,0.010498836,4750,22.102155685424805,0.041696504,0.9864440532401204,-0.0023780272,0.070632,19,9.395055456956324,225.77,0.8656834
500000,0.0053613987,56809,0.015438299,5000,22.964529275894165,0.04032975,0.982277937233448,-0.002264447,0.06315199,20,8.71806478057846,216.92,0.86798686
525000,0.006292532,57164,0.023744557,5250,23.805551767349243,0.040950675,0.972807252779603,-0.0018917217,0.078692,21,8.678915758841494,213.01,0.8666849
550000,0.006967733,55417,0.037647393,5500,24.632786750793457,0.0397342,0.9587160311639309,-0.0027496708,0.08970799,22,8.701461956742168,215.16,0.86440897
575000,0.005991315,56085,0.023212772,5750,25.477641820907593,0.041649606,0.9733922574669123,-0.0021481335,0.074527994,23,9.052627749877114,217.59,0.86335963
600000,0.0055154944,54346,0.013120289,6000,26.313851833343506,0.04218728,0.9830314423888922,-0.0025271843,0.068064004,24,9.968716343907545,234.73,0.85854596
625000,0.006723953,53327,0.02102022,6250,27.177323818206787,0.042262837,0.97633389942348,-0.0015041345,0.08502401,25,8.952884378731468,212.31,0.85495484
650000,0.0076035657,53979,0.01589514,6500,28.069084882736206,0.041512426,0.9804587457329035,-0.0019942839,0.09466,26,9.285663959977482,224.38,0.85471857
675000,0.008133315,55256,0.03706904,6750,28.930969953536987,0.040810075,0.9587712660431862,-0.0026706099,0.110759996,27,9.199137042453785,221.55,0.85228807
