total_timesteps,serial_timesteps,value_loss,time_elapsed,true_reward,explained_variance,ep_len_mean,fps,n_updates,approxkl,policy_loss,clipfrac,ep_reward_mean,policy_entropy
25000,250,0.0512862,0.0010976791381835938,-0.007574967,0.003925144672393799,12.61,3448,1,0.0032311492,-0.0040309816,0.030116001,0.182709688296236,5.6746492
50000,500,0.042712208,7.896256923675537,-0.005709553,-0.0004476308822631836,11.95,54599,2,0.0012964882,-0.002883051,0.0057559996,0.27087871957977766,5.6686153
75000,750,0.045879133,8.832973003387451,-0.006426467,0.08203321695327759,13.46,53689,3,0.0029561492,-0.002853634,0.028736,0.25183053726308574,5.6632805
100000,1000,0.0416613,9.766386985778809,-0.0042841895,0.145751953125,12.31,53720,4,0.002294172,-0.00221056,0.019824,0.2561360032704579,5.6560125
125000,1250,0.043172978,10.717731714248657,-0.0038273504,0.18183618783950806,13.81,54664,5,0.0022980452,-0.002268903,0.018964,0.2809211930611491,5.6476417
150000,1500,0.04932332,11.627644777297974,-0.0006947965,0.24142855405807495,14.67,55318,6,0.0029451244,-0.0026962534,0.027144,0.2783585566655984,5.6400976
175000,1750,0.06433852,12.548767805099487,0.0018942475,0.28363656997680664,18.82,55211,7,0.0027464111,-0.0023927125,0.023496,0.37984342446456426,5.635048
200000,2000,0.058663793,13.4487144947052,0.0032563503,0.3120877146720886,18.36,55091,8,0.0029551818,-0.002873766,0.026460001,0.5059723296675293,5.627758
225000,2250,0.071591794,14.358837604522705,0.0031213567,0.3602412939071655,19.02,56440,9,0.001522029,-0.0018460397,0.0062519996,0.20894826131112496,5.6185374
250000,2500,0.06541664,15.240909814834595,0.003210811,0.419022798538208,19.38,55292,10,0.0031091853,-0.003204272,0.030043999,0.39396417570450376,5.608508
275000,2750,0.08762867,16.132325410842896,0.007999083,0.4502997398376465,21.49,56387,11,0.0021229777,-0.0022285015,0.014664,0.5152364998950361,5.598634
300000,3000,0.07833652,17.02504301071167,0.0072325347,0.43078356981277466,18.1,55936,12,0.0031996637,-0.0028417553,0.032176,0.42893815528157575,5.5882907
325000,3250,0.095830314,17.92757272720337,0.00906971,0.4914860725402832,21.68,53728,13,0.0015879686,-0.0016702513,0.0104519995,0.3991638877771038,5.581532
350000,3500,0.08527557,18.86017417907715,0.008435366,0.5491504073143005,20.12,56264,14,0.003530807,-0.0024935894,0.035628,0.39978986458268084,5.575127
375000,3750,0.094405465,19.728184938430786,0.012547003,0.5577330589294434,20.26,55108,15,0.002737463,-0.0025845314,0.027412001,0.4952113338610616,5.5638795
400000,4000,0.11232672,20.626764059066772,0.015736332,0.5830499231815338,23.65,53882,16,0.002553301,-0.0019473874,0.022264,0.5530130202910277,5.550759
425000,4250,0.112016484,21.51110577583313,0.013890252,0.5970607399940491,24.06,55032,17,0.0028489851,-0.0017374502,0.024072,0.5403627742644312,5.539406
450000,4500,0.118936166,22.38197922706604,0.015117527,0.6163869202136993,23.83,54822,18,0.0033426962,-0.0023104523,0.031492002,0.6134271466450809,5.5275497
475000,4750,0.11784418,23.265735149383545,0.015102199,0.6378452777862549,26.2,55048,19,0.0033279113,-0.0024329217,0.032024004,0.42812365837509786,5.5187407
500000,5000,0.12597427,24.141330242156982,0.017239222,0.651554673910141,24.39,54548,20,0.0034150626,-0.0022952845,0.036036003,0.4996794097028578,5.5111103
525000,5250,0.114673115,25.028915882110596,0.017018318,0.658540666103363,25.02,55982,21,0.0025839391,-0.0019760586,0.020876,0.6378660383513034,5.5016146
550000,5500,0.12252458,25.899589776992798,0.016478138,0.6771246790885925,25.95,54378,22,0.002676747,-0.0017731229,0.022296,0.569942228508462,5.4934053
575000,5750,0.12297654,26.78086233139038,0.01955541,0.665351539850235,24.24,55041,23,0.0028415318,-0.0021384773,0.025736,0.5787620610415343,5.4879494
600000,6000,0.11088111,27.65147066116333,0.019980136,0.6747173964977264,25.08,56407,24,0.0026008233,-0.0019632985,0.020532,0.5682124249680146,5.480274
625000,6250,0.114662826,28.52392554283142,0.020636097,0.6992228031158447,28.38,55447,25,0.0015064667,-0.0013507986,0.009288,0.6345269440026278,5.473044
650000,6500,0.12403394,29.396300792694092,0.018744022,0.7128797173500061,26.78,56577,26,0.002351033,-0.0015470365,0.020119999,0.4692987746654262,5.466176
675000,6750,0.11961882,30.275269031524658,0.022829445,0.6925008594989777,23.9,55671,27,0.00241579,-0.0019557774,0.01816,0.5825936447413005,5.459125
700000,7000,0.12885067,31.132663249969482,0.02371119,0.7292782962322235,27.15,55132,28,0.0026974466,-0.0016001395,0.021531997,0.8184816175778178,5.4551854
725000,7250,0.135039,31.984564065933228,0.027364453,0.7022318542003632,28.17,56440,29,0.002161393,-0.0015128714,0.014016,0.8475719192356337,5.453601
750000,7500,0.121453345,32.83788824081421,0.024041712,0.7282999753952026,25.89,55637,30,0.0020449115,-0.0014682685,0.0130239995,0.599712124012949,5.453999
775000,7750,0.13018699,33.70803356170654,0.027461411,0.7314786016941071,25.58,55694,31,0.0017609646,-0.0012005412,0.01096,0.6419315626221396,5.450563
800000,8000,0.12026413,34.566394567489624,0.02658275,0.755852073431015,29.08,56400,32,0.0028776743,-0.002015859,0.0246,0.9569628697205189,5.441535
825000,8250,0.123226166,35.41143441200256,0.026948193,0.7368715405464172,27.16,54689,33,0.0019494023,-0.0015816123,0.014475999,0.6642191479561006,5.429317
850000,8500,0.115186274,36.30881857872009,0.030395074,0.7687145918607712,25.86,55390,34,0.0020883128,-0.0012184917,0.015292001,0.7819953519340924,5.4269276
875000,8750,0.12635054,37.187158823013306,0.029113479,0.7460711896419525,27.73,55717,35,0.0027174416,-0.0019363981,0.023276001,0.7690133933599463,5.4264755
900000,9000,0.11888971,38.07552790641785,0.028282017,0.7804609388113022,26.89,55354,36,0.0028638043,-0.0017660717,0.022788,0.7473161678334554,5.4221992
925000,9250,0.1193822,38.96351194381714,0.03013166,0.7812614887952805,28.86,55624,37,0.001948032,-0.0015299625,0.013192001,0.8995985759269933,5.415204
