serial_timesteps,fps,time_elapsed,ep_reward_mean,explained_variance,total_timesteps,ep_len_mean,true_reward,clipfrac,approxkl,policy_entropy,n_updates,policy_loss,value_loss
250,3444,0.0011260509490966797,2.3526297704991883,-0.019220948219299316,25000,10.98,-0.09428946,0.026316002,0.002746076,5.676172,1,-0.0033023811,6.032434
500,54366,7.900310754776001,2.6237039681136958,-0.00927579402923584,50000,11.64,-0.071651965,0.001252,0.00072987436,5.674838,2,-0.0019865388,6.018723
750,53263,8.841803789138794,2.7511466240559823,-0.005583047866821289,75000,12.81,-0.049043603,0.01184,0.0016612692,5.6699376,3,-0.0026666666,5.6323557
1000,54481,9.78448486328125,2.2726393074076623,-0.008188009262084961,100000,11.77,-0.05028923,0.0112000005,0.0016672185,5.664804,4,-0.0025500932,5.3993
1250,54709,10.714983940124512,2.1217863024689723,-0.00113677978515625,125000,12.77,-0.026027929,0.008284,0.0013900613,5.6574306,5,-0.0028175563,5.9098544
1500,55624,11.653246641159058,3.384239362037333,0.009353697299957275,150000,15.91,0.003801108,0.027048001,0.0027454328,5.64774,6,-0.0037963155,6.696597
1750,55199,12.584649085998535,2.9952051009051504,0.020649194717407227,175000,16.42,0.0056611635,0.023456002,0.0025937492,5.6376276,7,-0.003447127,6.159215
2000,54191,13.510085344314575,3.824473726793949,0.038156986236572266,200000,18.05,0.03469865,0.013528,0.0022113104,5.621251,8,-0.0024408263,7.855868
2250,54943,14.42771863937378,4.352983389749425,0.05358356237411499,225000,18.52,0.055591572,0.023335999,0.0027651119,5.6062965,9,-0.0029763246,8.171779
2500,55938,15.329214096069336,3.136388068554952,0.06323552131652832,250000,16.98,0.08296466,0.010336,0.0017541393,5.5944586,10,-0.0014253634,9.928981
2750,54808,16.2088360786438,4.533204226889065,0.08687591552734375,275000,19.38,0.07574657,0.013764,0.0019810062,5.5865126,11,-0.0019495853,8.864809
3000,55444,17.108792543411255,3.841233166883467,0.09999644756317139,300000,19.51,0.06975228,0.024208,0.0026722066,5.5814657,12,-0.0022724236,9.6014
3250,54977,18.009007930755615,5.230560129127116,0.11265033483505249,325000,23.79,0.089142285,0.004736,0.0011925029,5.577703,13,-0.0012435501,10.327153
3500,56128,18.889374494552612,5.292018072327119,0.14311105012893677,350000,22.89,0.11040454,0.003884,0.0010662223,5.5725026,14,-0.0013860944,9.825869
3750,56002,19.78051519393921,3.8497549158969195,0.16914767026901245,375000,21.97,0.11185256,0.0043079997,0.0013069741,5.568572,15,-0.00084322796,10.581018
