serial_timesteps,true_reward,value_loss,ep_reward_mean,explained_variance,approxkl,ep_len_mean,policy_entropy,policy_loss,total_timesteps,time_elapsed,n_updates,fps,clipfrac
250,-0.26242462,10.66709,0.3995168095524423,0.011508524417877197,0.006921659,19.38,5.6758213,-0.0070110583,25000,0.0011560916900634766,1,3491,0.095424004
500,-0.20604385,8.083361,0.4834696981598972,0.017939507961273193,0.00050582277,23.57,5.672529,0.00024125418,50000,7.7511444091796875,2,56348,0.00030400002
750,-0.1882687,6.949871,0.5244886492478145,0.028489291667938232,0.0071608005,27.65,5.662838,-0.002607122,75000,8.65327525138855,3,56348,0.098115996
1000,-0.13775209,4.976532,0.8309985018386215,0.017735958099365234,0.0026824824,40.55,5.6524324,0.0017257329,100000,9.533028602600098,4,55767,0.021452
1250,-0.1377888,4.5650625,0.8704996269196272,0.04426854848861694,0.0046070176,38.41,5.642939,-0.0022461647,125000,10.40935492515564,5,56875,0.0547
1500,-0.13633808,4.1978617,0.7604860285260656,0.0348849892616272,0.0023230487,34.81,5.6358976,-0.00032016294,150000,11.275249719619751,6,55154,0.018408
1750,-0.11960351,3.3798633,1.0183710959887684,0.0786171555519104,0.0020514645,43.27,5.6339726,-0.0023747855,175000,12.160967826843262,7,55426,0.01728
2000,-0.12871777,3.3339622,0.7879558929157656,0.06209862232208252,0.0011920945,38.5,5.6304116,-0.00063513423,200000,13.031687259674072,8,56437,0.003844
2250,-0.11391069,2.7281039,0.9459390740812523,0.09247899055480957,0.002004169,45.09,5.628258,-0.0016052322,225000,13.903115510940552,9,55336,0.013971999
2500,-0.10857966,2.3541913,0.9708358838756248,0.13478058576583862,0.000891086,46.88,5.62643,-0.0012503407,250000,14.785248279571533,10,55711,0.0030120001
2750,-0.107756145,2.0932395,0.8179955289461396,0.1887063980102539,0.0012671202,40.85,5.623418,-0.0010844577,275000,15.66459321975708,11,55761,0.005032
3000,-0.099390745,1.8263127,0.9562253471914665,0.17186230421066284,0.0024043948,44.97,5.6234083,-0.0023963775,300000,16.528247594833374,12,56404,0.021528
3250,-0.09218806,1.5305122,0.9859854817434643,0.25903981924057007,0.00042279335,49.86,5.6284666,-0.0010574448,325000,17.386813163757324,13,56104,0.000988
3500,-0.096737325,1.3794162,0.9423694517374952,0.3015848994255066,0.0018280607,44.45,5.6313004,-0.0014548986,350000,18.248809337615967,14,54467,0.0106999995
3750,-0.08527277,1.2041053,1.0488758762768884,0.3159787058830261,0.0037940391,51.61,5.6335516,-0.0028361282,375000,19.1326904296875,15,55157,0.042719997
4000,-0.07861735,1.0356777,1.1398128237902165,0.3692541718482971,0.0022766269,58.43,5.6313434,-0.0022834449,400000,20.005860328674316,16,56051,0.016924
4250,-0.070712805,0.8939044,1.2931524554104907,0.4603918790817261,0.0028057448,59.34,5.628394,-0.0023710947,425000,20.870537996292114,17,54402,0.023488
4500,-0.06855355,0.8382217,1.1929457010264195,0.4812926650047302,0.0030008333,60.13,5.6211143,-0.0026466784,450000,21.763566732406616,18,56703,0.027548
4750,-0.060203075,0.7024886,1.1056569914991814,0.5836953222751617,0.0029522856,59.19,5.612759,-0.002629562,475000,22.614004373550415,19,54695,0.025551999
5000,-0.0568921,0.61908334,1.3776546945071277,0.6410995125770569,0.0021874863,59.86,5.5999537,-0.00234351,500000,23.49455952644348,20,55966,0.015192
5250,-0.050823268,0.54516697,1.3009038963183912,0.6925805807113647,0.002793463,65.75,5.5894585,-0.002187594,525000,24.347782135009766,21,54672,0.023148
5500,-0.045042276,0.4873641,1.5971958969378328,0.736135721206665,0.0014240002,75.99,5.5904245,-0.0018378474,550000,25.21265482902527,22,54076,0.0077359998
5750,-0.04865351,0.4910764,1.3517494814522433,0.7564811557531357,0.002842498,65.95,5.596334,-0.0017131453,575000,26.089133262634277,23,55543,0.021728
6000,-0.044951234,0.41209498,1.264281799001784,0.8019926846027374,0.0032364626,65.49,5.594354,-0.0024915796,600000,26.944925546646118,24,56397,0.030063998
6250,-0.04232969,0.3764162,1.446386135495286,0.8264183849096298,0.0024115131,67.26,5.5932446,-0.0015873788,625000,27.80280613899231,25,55648,0.020736
6500,-0.039383814,0.43288508,1.9331164298343264,0.8106696009635925,0.0027086227,85.47,5.59277,-0.0022379984,650000,28.651376247406006,26,56618,0.024368
