total_timesteps,n_updates,clipfrac,policy_entropy,approxkl,true_reward,explained_variance,ep_len_mean,policy_loss,time_elapsed,fps,ep_reward_mean,serial_timesteps,value_loss
25000,1,0.101696,2.591763,0.007994623,0.008961752,0.9169708490371704,244.53,-0.0009198956,0.0006144046783447266,3502,2.8942308907432697,250,0.121776305
50000,2,0.055872,2.5933604,0.0049613817,0.011199811,0.9732417799532413,246.77,-0.0017220278,7.700143814086914,52606,3.1847901887935017,500,0.042944077
75000,3,0.057036005,2.5904145,0.0048938533,0.012845525,0.9664204306900501,247.05,-0.0018452844,8.575154066085815,58556,3.3700203786716076,750,0.031106204
100000,4,0.031224001,2.5885854,0.003256625,0.010536262,0.9766706507652998,243.43,-0.0016160092,9.408546209335327,58852,3.2827205152220813,1000,0.043234263
125000,5,0.080607995,2.58645,0.0063275434,0.010286659,0.9756063167005777,240.02,-0.0019933067,10.221276998519897,57761,3.0883955493497215,1250,0.04400099
150000,6,0.07542,2.5880105,0.0060340674,0.012760399,0.9160582572221756,244.9,-0.00087022426,11.050879955291748,57468,3.4054914393108318,1500,0.055092484
175000,7,0.037392,2.5893002,0.003596936,0.011927652,0.932558000087738,244.63,-0.0014517596,11.89252758026123,58720,3.4624600365180824,1750,0.056260902
200000,8,0.067751996,2.5915496,0.005604573,0.011758106,0.9552627429366112,247.83,-0.0016089607,12.711034536361694,56300,3.1397646188677233,2000,0.044796534
225000,9,0.030096,2.5949254,0.003234091,0.012918462,0.9882148616015911,248.53,-0.00166829,13.554030656814575,57717,3.4290512392660673,2250,0.0108051365
250000,10,0.081984006,2.5951355,0.0065415045,0.01137396,0.9360040873289108,245.4,-0.0023115159,14.36320447921753,55967,3.2801719177449082,2500,0.05450551
275000,11,0.05748,2.5974057,0.0048794597,0.012177393,0.9863767102360725,246.89,-0.0018755489,15.195459127426147,56967,3.243515275852705,2750,0.010281083
300000,12,0.092476,2.5987306,0.0070231496,0.008966851,0.9296611472964287,242.01,-0.002384922,16.051453113555908,58333,2.9048023231630946,3000,0.07558768
325000,13,0.083588004,2.6015089,0.006798865,0.0075496067,0.9114284291863441,234.3,-0.0022067956,16.866851329803467,57057,2.844461624093895,3250,0.106392786
350000,14,0.076184,2.6021292,0.0058777137,0.011923911,0.9433255307376385,245.57,-0.0018704723,17.70162343978882,56348,3.1238975061113523,3500,0.040884264
375000,15,0.069175996,2.6034465,0.0057484573,0.011866377,0.9890489811077714,248.66,-0.0010157401,18.526925086975098,57552,3.16878764404133,3750,0.009540174
400000,16,0.044028,2.604974,0.0041629006,0.012840681,0.95811702683568,247.65,-0.0014787938,19.35177707672119,57521,3.3878446216618583,4000,0.022520065
425000,17,0.128076,2.605174,0.009852533,0.012112883,0.9209597408771515,248.58,-0.0011308368,20.164872407913208,58120,3.235874869963294,4250,0.038389053
450000,18,0.058224004,2.6025338,0.0051390445,0.013589644,0.9836506210267544,248.57,-0.0019320709,20.983474016189575,57632,3.5927001242544487,4500,0.0099392105
475000,19,0.069107994,2.5982685,0.0057547498,0.011808568,0.885651633143425,243.13,-0.0016965496,21.798168420791626,55971,3.2412845876091536,4750,0.074885026
500000,20,0.070875995,2.5921712,0.0057648392,0.011283064,0.9698966518044472,243.86,-0.0016838178,22.64188814163208,58545,3.1534951464855863,5000,0.034063205
525000,21,0.09741199,2.5893598,0.007219934,0.00921761,0.8840600326657295,239.62,-0.0016633678,23.450114965438843,57444,3.10393854816426,5250,0.11785229
550000,22,0.063692,2.5899699,0.0052668713,0.011961374,0.9743573423475027,245.63,-0.0028512687,24.28210139274597,56799,3.3679470689642796,5500,0.019875068
575000,23,0.115652,2.5933633,0.00875563,0.01071534,0.9477468021214008,241.64,-0.0022697833,25.149869441986084,57208,3.2121869120708944,5750,0.056870025
600000,24,0.059203994,2.5981984,0.005036141,0.010853893,0.9367375746369362,242.94,-0.0011663723,25.967870950698853,55014,3.1472097399049517,6000,0.046214443
625000,25,0.055852003,2.6004167,0.0049853353,0.00899333,0.899969682097435,234.95,-0.0018570299,26.81386661529541,56507,2.9497619395507946,6250,0.0978964
650000,26,0.074416,2.600692,0.0060516046,0.010649968,0.9148296415805817,237.47,-0.0016032482,27.647939443588257,57995,3.182388578801137,6500,0.068928234
675000,27,0.056287996,2.6004179,0.004959104,0.011248119,0.9742503333836794,243.71,-0.0015379415,28.46768307685852,54565,3.1041949014639374,6750,0.02223095
700000,28,0.060596,2.5966883,0.0051156553,0.010074756,0.9384819641709328,240.52,-0.0019014515,29.317979097366333,57219,3.087400717694134,7000,0.074038036
725000,29,0.062192,2.5879865,0.0053639626,0.011396858,0.9531595483422279,247.26,-0.003269624,30.152413368225098,57710,3.2453444025365035,7250,0.032267146
750000,30,0.063424,2.580385,0.005356663,0.011767297,0.9795161578804255,245.47,-0.0024686616,30.986840963363647,54918,3.3362659948131546,7500,0.013296293
775000,31,0.119792,2.5718474,0.009012475,0.010949164,0.9806718491017818,244.34,-0.00044737762,31.821407556533813,56044,3.0935852034414095,7750,0.014987986
800000,32,0.071832,2.56677,0.0057835034,0.010132497,0.9624282494187355,244.15,-0.0014549218,32.647974491119385,56958,3.114517699216014,8000,0.039491363
825000,33,0.071715996,2.569087,0.005817237,0.012272339,0.9208611771464348,243.26,-0.00147656,33.48658323287964,57905,3.522145045456382,8250,0.052307874
850000,34,0.083316,2.5693033,0.0064149746,0.012291567,0.9413130208849907,243.73,-0.0026375144,34.31607270240784,57530,3.4167613605453253,8500,0.03901868
875000,35,0.065968,2.5638576,0.0055320696,0.010980198,0.9883475052192807,246.85,-0.0020036187,35.18850350379944,57918,3.0433059858579123,8750,0.008959582
900000,36,0.07365201,2.5572827,0.0062081288,0.011451132,0.959830965846777,241.98,-0.0021019112,36.0082733631134,57968,3.3781184696208277,9000,0.033467017
925000,37,0.078131996,2.555923,0.0062372005,0.011476873,0.8773421421647072,244.89,-0.0025258036,36.83006191253662,56291,3.3663835313321386,9250,0.07635234
950000,38,0.076763995,2.5624385,0.0059840777,0.010114278,0.9488698169589043,245.24,-0.002326245,37.68850517272949,54257,3.2492362059803757,9500,0.046994783
975000,39,0.083372,2.5674846,0.006766119,0.01216657,0.9589363187551498,244.04,-0.001570826,38.54407548904419,56663,3.530023452609671,9750,0.03390065
1000000,40,0.08078001,2.5692096,0.0064737657,0.008529082,0.9118917286396027,236.39,-0.0014660134,39.40981888771057,55901,3.0843234585451196,10000,0.113687776
1025000,41,0.080728,2.569187,0.0063714683,0.010906694,0.9309519827365875,242.45,-0.0019958266,40.260210275650024,56308,3.166926051662881,10250,0.07280608
1050000,42,0.07978,2.5663333,0.006370493,0.012457079,0.9772066529840231,247.13,-0.001991002,41.139201402664185,50099,3.285822847951965,10500,0.013096544
1075000,43,0.070596,2.5635827,0.0057674507,0.012164916,0.9811297915875912,249.09,-0.0017173555,42.03624486923218,55552,3.1504068126113727,10750,0.009123409
1100000,44,0.088819996,2.5625606,0.0069361143,0.009211997,0.9475526809692383,239.49,-0.0021281685,42.863983392715454,51869,3.0350648516002106,11000,0.053323675
1125000,45,0.052543998,2.559442,0.004651797,0.00848737,0.9108615815639496,239.99,-0.0017294412,43.7390410900116,52704,3.2172311574793184,11250,0.098725155
1150000,46,0.071380004,2.5520313,0.005797884,0.009776452,0.9154795780777931,237.14,-0.0018229962,44.61369824409485,57237,3.106922267997873,11500,0.08249951
1175000,47,0.089316,2.5476224,0.007171467,0.010492751,0.8920576348900795,241.73,-0.0020672723,45.45995831489563,56179,3.020070573006237,11750,0.07781495
1200000,48,0.092792,2.5444646,0.007032306,0.011161562,0.9860917776823044,244.2,-0.0019831532,46.29023838043213,53406,3.2764197980824723,12000,0.011884212
1225000,49,0.07004401,2.5399995,0.0056947065,0.010967136,0.9210426956415176,242.17,-0.001918071,47.132521629333496,57667,3.1986715568578203,12250,0.052365255
1250000,50,0.067604,2.535089,0.005626778,0.010813374,0.9532650411128998,246.26,-0.0028177202,47.951030254364014,56253,3.0002265819229046,12500,0.026628634
1275000,51,0.069968,2.5306497,0.0056657847,0.011524727,0.9207443669438362,240.16,-0.001985561,48.79379081726074,55775,3.270748659571776,12750,0.05401091
1300000,52,0.05884,2.5297818,0.005521848,0.011156038,0.9231749102473259,242.45,-0.0029464136,49.619882106781006,57188,3.1817365224021534,13000,0.05286301
1325000,53,0.093940005,2.5286367,0.0072333263,0.010374212,0.9542448855936527,243.44,-0.0023209585,50.462486743927,54136,3.1462743443281944,13250,0.04557255
1350000,54,0.091012,2.525637,0.007214398,0.010992483,0.8560783714056015,237.66,-0.0026012033,51.33033084869385,56295,3.1895885104337798,13500,0.09347299
1375000,55,0.092764005,2.5260863,0.0070534027,0.011688433,0.8849821463227272,241.04,-0.0024065245,52.168373584747314,53744,3.4737866882389867,13750,0.074437216
1400000,56,0.06906,2.5282693,0.005642152,0.012090913,0.9058961868286133,245.48,-0.0016606196,53.035104513168335,57644,3.268720449890161,14000,0.044879712
1425000,57,0.067132,2.5281234,0.0056408644,0.010378655,0.9663910791277885,244.52,-0.0018531162,53.84248733520508,54341,3.0373216369503426,14250,0.030930806
1450000,58,0.08161999,2.528791,0.006454557,0.011250033,0.9023869782686234,243.78,-0.0021580607,54.667290449142456,54921,3.2261978101635007,14500,0.05486105
1475000,59,0.090332,2.534123,0.0069539733,0.011693317,0.9656420536339283,245.68,-0.001310639,55.50572872161865,53942,3.301032147877892,14750,0.022497753
1500000,60,0.069744006,2.537293,0.0056221196,0.012258897,0.8953322619199753,246.23,-0.0016800553,56.3534779548645,51981,3.481115821794924,15000,0.06091856
1525000,61,0.059704,2.5407085,0.0049597356,0.008669397,0.8848544135689735,235.05,-0.002108146,57.24566149711609,56092,3.2896335469727562,15250,0.14453235
1550000,62,0.076484,2.5413723,0.0060480502,0.008308493,0.8798900172114372,232.63,-0.0018605457,58.09208297729492,56985,3.130837299404578,15500,0.13485377
1575000,63,0.095956005,2.536669,0.0073143365,0.009689028,0.9883939679712057,243.37,-0.0016221087,58.92254877090454,53413,3.22017124984181,15750,0.015588733
1600000,64,0.071708,2.530425,0.0058216937,0.00872441,0.8567340970039368,238.6,-0.0023520265,59.77067852020264,56628,2.8622814430500365,16000,0.11782714
1625000,65,0.058327995,2.5280952,0.005038173,0.0079986965,0.8399131596088409,231.68,-0.0015837951,60.61913299560547,55982,3.050729388816428,16250,0.16531447
1650000,66,0.069919996,2.526127,0.005673825,0.0121027455,0.9406027309596539,247.38,-0.0018989162,61.45382332801819,56166,3.2205397225478283,16500,0.03074694
1675000,67,0.062456,2.5269287,0.005236053,0.011438521,0.9901287583634257,248.8,-0.0021163556,62.316585063934326,56590,3.0588911571810926,16750,0.006448989
1700000,68,0.091768004,2.5287294,0.0070503578,0.010404605,0.9159533753991127,244.46,-0.0023395938,63.1602303981781,55836,3.318292820717894,17000,0.068715736
1725000,69,0.054823995,2.528291,0.004896275,0.0110283205,0.9353706911206245,241.47,-0.0026898766,63.99679756164551,55598,3.2216202527080737,17250,0.04812092
1750000,70,0.066688,2.527165,0.005532744,0.009386164,0.899317167699337,239.7,-0.0013699431,64.83324432373047,56266,2.9251013397918304,17500,0.087007254
1775000,71,0.103468,2.5242546,0.00785532,0.011521913,0.9712718930095434,243.35,-0.0006948608,65.66296482086182,55146,3.3339281307572493,17750,0.023494268
1800000,72,0.056356,2.5228446,0.004912348,0.0112073915,0.9053415805101395,242.27,-0.0019669184,66.50977969169617,56942,3.101623864404485,18000,0.053367168
1825000,73,0.15097198,2.5269473,0.011266542,0.0113962535,0.7904995977878571,242.61,-0.002226763,67.32651901245117,56801,3.2830480215413704,18250,0.10694327
1850000,74,0.079852,2.5323117,0.0063837366,0.010038151,0.9513468407094479,243.03,-0.0014519998,68.16824388504028,49722,3.1962143145466824,18500,0.051884137
1875000,75,0.07980001,2.5331264,0.0064292997,0.011243626,0.9373052269220352,246.26,-0.0023592995,69.06519484519958,57488,3.3306585171617327,18750,0.045630354
1900000,76,0.067404,2.533049,0.0055578253,0.010991971,0.8548925220966339,237.66,-0.00093861856,69.9014585018158,54501,3.2412393360295293,19000,0.086828865
1925000,77,0.056692004,2.5335333,0.004869677,0.008742749,0.8861718699336052,235.18,-0.001599239,70.76670837402344,52439,2.9976543426625297,19250,0.10642165
1950000,78,0.113228,2.5335279,0.008437732,0.009826678,0.9132034406065941,242.82,-0.0013847204,71.64538598060608,55828,3.135003547349086,19500,0.077214964
1975000,79,0.102295995,2.5374343,0.007812521,0.011230437,0.9037623926997185,241.83,-0.0024729322,72.48734307289124,56766,3.37256856635275,19750,0.08180056
2000000,80,0.056332003,2.5416896,0.004847246,0.010098915,0.967709694057703,241.79,-0.0022150795,73.33146977424622,57421,3.1477843227192324,20000,0.028071832
2025000,81,0.123363994,2.5430565,0.009015195,0.009203001,0.9211366772651672,240.95,-0.0022107249,74.1568512916565,55334,3.080599912935554,20250,0.07703191
2050000,82,0.069,2.5450802,0.005631021,0.010755011,0.9187096431851387,242.27,-0.0019219972,74.98832607269287,54880,3.3350871362240224,20500,0.07947768
2075000,83,0.077916004,2.5430381,0.006113628,0.010584911,0.9711823631078005,245.61,-0.0016793128,75.83891439437866,48270,3.047483975691696,20750,0.02184065
2100000,84,0.10222801,2.540153,0.007669686,0.0108354455,0.8176401555538177,240.68,-0.002031683,76.76163148880005,53672,3.247927626790232,21000,0.10748402
2125000,85,0.064296,2.5369627,0.0052839117,0.013143315,0.942801721394062,244.67,-0.0023174263,77.61238765716553,54757,3.542217014365907,21250,0.035140153
2150000,86,0.071736,2.5339146,0.005769249,0.009327694,0.9656531885266304,244.09,-0.0024203581,78.44931674003601,55690,3.0428722230273126,21500,0.03434374
2175000,87,0.073668,2.5333726,0.00582311,0.010091627,0.9152731448411942,244.59,-0.0026030405,79.28096127510071,54363,3.22012961155384,21750,0.07728346
2200000,88,0.045796,2.5338063,0.0043414566,0.010701374,0.8661664575338364,238.48,-0.001838295,80.12538123130798,53927,3.0806748912826287,22000,0.100867525
2225000,89,0.071076,2.5392709,0.0058267782,0.011943905,0.9484307542443275,247.31,-0.0022636026,80.98233008384705,54742,3.254392860401828,22250,0.028341893
2250000,90,0.088428006,2.544777,0.0069007734,0.0116276145,0.9430062733590603,242.59,-0.0019961612,81.82863569259644,54280,3.3421860162865396,22500,0.043711297
2275000,91,0.061176002,2.546696,0.0051142564,0.011656186,0.8487462252378464,241.16,-0.0017693331,82.67286968231201,54184,3.326851764681745,22750,0.095687695
2300000,92,0.052108,2.5433319,0.0047374894,0.011883517,0.9079852849245071,246.55,-0.0012599442,83.50715565681458,55284,3.3897305041094294,23000,0.054719575
2325000,93,0.09358,2.5438113,0.0071029714,0.011732866,0.9295762926340103,245.31,-0.0018706139,84.36975359916687,56830,3.3270609521705294,23250,0.040243257
2350000,94,0.07393201,2.5457015,0.005940824,0.010262406,0.9435566067695618,237.86,-0.0018047675,85.18331384658813,57409,3.219862508277813,23500,0.06731041
2375000,95,0.059807997,2.5445778,0.0050711264,0.011450526,0.9518597312271595,242.29,-0.0010307311,86.02744126319885,56429,3.277639113215696,23750,0.03531701
2400000,96,0.095412,2.5450878,0.0074464367,0.012216551,0.8893984109163284,245.92,-0.0018736848,86.88193821907043,55843,3.4247822074094656,24000,0.069327995
2425000,97,0.11206801,2.5453277,0.008181899,0.011516178,0.9207079187035561,244.44,-0.0016239242,87.72210621833801,56782,3.3268491738966603,24250,0.056093782
2450000,98,0.082168,2.5446038,0.006494225,0.0111799305,0.8614507019519806,239.51,-0.0020049147,88.5522665977478,55410,3.364568186744982,24500,0.09462205
2475000,99,0.078772,2.5452523,0.006235777,0.0096908305,0.923956461250782,235.19,-0.002188494,89.38559889793396,56842,3.259313345481327,24750,0.084773235
2500000,100,0.054215997,2.5480037,0.0048152283,0.010950228,0.9364619180560112,242.17,-0.0019782067,90.23655366897583,55906,3.2618964630863845,25000,0.058908068
2525000,101,0.06336401,2.5457332,0.005288399,0.012114923,0.964420959353447,245.88,-0.001854467,91.07605123519897,56554,3.4053352468159757,25250,0.025294667
2550000,102,0.06283601,2.5438466,0.005280737,0.00665919,0.9173048734664917,237.9,-0.0020070507,91.90733361244202,57233,3.0434389623472806,25500,0.12214871
2575000,103,0.076572,2.5465155,0.0062177465,0.008447863,0.9015892744064331,232.7,-0.0023790293,92.71801280975342,55947,3.08858662311188,25750,0.1346876
2600000,104,0.093592,2.5456605,0.0071867304,0.009594361,0.9376324638724327,239.43,-0.0021082468,93.5557816028595,56834,3.177372596066176,26000,0.0699964
2625000,105,0.08062799,2.5455678,0.0062923357,0.007246343,0.9313274770975113,234.35,-0.0021550625,94.37672185897827,55526,3.0988729838853803,26250,0.1044078
2650000,106,0.064632,2.54743,0.005361988,0.012453757,0.9630011320114136,246.78,-0.001433383,95.23978734016418,55765,3.27627726212068,26500,0.019632038
2675000,107,0.064008,2.5483634,0.0053818403,0.011789893,0.8773167133331299,242.91,-0.001703877,96.07059288024902,57321,3.192288933431938,26750,0.06406033
2700000,108,0.068207994,2.550431,0.0056263483,0.011721847,0.924148790538311,247.14,-0.002269734,96.9011332988739,56239,3.2078965403276563,27000,0.038063485
2725000,109,0.090336,2.5553215,0.0068257027,0.010446676,0.8443449139595032,238.16,-0.002334404,97.72109842300415,54934,3.3910916268696294,27250,0.12458392
2750000,110,0.096164,2.5547504,0.007472592,0.011847384,0.9735503625124693,244.52,-0.0027242862,98.55286717414856,55430,3.514224335043083,27500,0.025986439
2775000,111,0.079500005,2.5518699,0.006310762,0.006748875,0.9321776852011681,239.73,-0.0020261223,99.39033842086792,56950,2.7676864809535675,27750,0.092960216
2800000,112,0.052595995,2.5516038,0.0047901953,0.011561121,0.9326372444629669,245.31,-0.001631717,100.22251844406128,57566,3.3786918040629725,28000,0.050976295
2825000,113,0.074304,2.5466917,0.006015128,0.011562411,0.9349263906478882,243.23,-0.0016570122,101.0625684261322,56173,3.315130395795612,28250,0.05624379
2850000,114,0.050528,2.5414963,0.00452268,0.011346058,0.9519834108650684,245.67,-0.001243731,101.90796160697937,56425,3.193293468794567,28500,0.029836947
2875000,115,0.04286,2.5392737,0.0040684342,0.013230829,0.9430043622851372,245.75,-0.0016547639,102.74706196784973,55048,3.5858580432324514,28750,0.036328673
