ep_len_mean,time_elapsed,explained_variance,fps,policy_entropy,approxkl,total_timesteps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,value_loss,true_reward,policy_loss
28.77,0.001798391342163086,-0.0019309520721435547,3514,5.677975,0.004786854,25000,0.059319995,0.5187590768689552,1,250,8.552301,-0.19789822,-0.0053249355
33.05,7.729111909866333,-0.00461578369140625,55551,5.6785216,0.00064945425,50000,0.0016039999,0.6031488398903911,2,500,6.5572257,-0.158048,0.00016623849
44.07,8.60469675064087,-0.0037910938262939453,49733,5.6800823,0.0032497651,75000,0.033344,0.8130149528924084,3,750,5.320449,-0.13510433,-0.002598074
37.93,9.551178693771362,0.017645955085754395,56646,5.6844597,0.001062246,100000,0.00328,0.6864162441527515,4,1000,4.7514734,-0.12973411,-0.00079677615
36.37,10.412477731704712,0.021138668060302734,57537,5.683208,0.0006511813,125000,0.001296,0.6651432414614123,5,1250,4.4156146,-0.1294986,-0.0009603101
43.5,11.270819664001465,0.026295959949493408,56707,5.679942,0.0007741078,150000,0.0028160003,0.8105856977691656,6,1500,3.8302727,-0.121968366,-0.0012708859
45.87,12.165329217910767,0.05288618803024292,44955,5.678026,0.00040704836,175000,0.000504,0.9606120152696894,7,1750,3.3205552,-0.113421984,-0.0011811074
48.7,13.353835821151733,0.10406732559204102,48560,5.6775904,0.0016500216,200000,0.011572,1.04418744619913,8,2000,2.6971488,-0.10102828,-0.0019906003
54.95,14.36488127708435,0.14783072471618652,54304,5.6775217,0.001685169,225000,0.009044,1.0460400644181846,9,2250,2.2229776,-0.089762844,-0.0017731205
56.65,15.311288833618164,0.15861934423446655,48222,5.6781936,0.0014609994,250000,0.008384,1.106096554135447,10,2500,1.990288,-0.08592173,-0.0016740554
54.82,16.309214115142822,0.18855494260787964,49375,5.6774836,0.0030619875,275000,0.033664,1.0238405195222686,11,2750,1.7612789,-0.08312672,-0.0028346959
52.07,17.30016827583313,0.24280411005020142,52845,5.6749463,0.0037185953,300000,0.041220002,1.0594578324593023,12,3000,1.6014385,-0.08065699,-0.0032812352
53.02,18.234666109085083,0.3332620859146118,49615,5.6651707,0.002266779,325000,0.020104002,1.0391321710447847,13,3250,1.2916968,-0.07022105,-0.0023139608
71.96,19.212817668914795,0.3322073817253113,50076,5.655133,0.0030130544,350000,0.02958,1.4958533569754786,14,3500,1.1535169,-0.062129986,-0.0026922848
61.36,20.15384316444397,0.4718360900878906,56211,5.6448827,0.0031305836,375000,0.030384,1.2023340633418502,15,3750,0.96058416,-0.057127614,-0.0027941228
72.56,21.012427806854248,0.5390077233314514,56358,5.631942,0.0023753662,400000,0.019512001,1.560167558397934,16,4000,0.7996538,-0.050281346,-0.0023214014
