approxkl,serial_timesteps,ep_reward_mean,fps,ep_len_mean,explained_variance,policy_entropy,time_elapsed,value_loss,clipfrac,n_updates,total_timesteps,policy_loss,true_reward
0.0028409828,250,-0.03766901614474591,3050,31.24,-0.02727651596069336,5.6717463,0.0022237300872802734,7.739408,0.024148,1,25000,-0.002984501,-0.19395225
0.0011514524,500,-0.08235003317805735,46776,39.5,-0.01608908176422119,5.6635737,8.754509925842285,6.530969,0.009244,2,50000,-0.0018945688,-0.1780187
0.0013750261,750,-0.049812056143785526,47345,41.72,0.008261919021606445,5.6611733,9.693033456802368,5.2362247,0.007112,3,75000,-0.0015870135,-0.15522996
0.0021033231,1000,-0.10636862860415931,54904,45.1,0.02385765314102173,5.6602507,10.619060039520264,4.1611395,0.017372001,4,100000,-0.0015359682,-0.13642772
0.0018244053,1250,-0.09040483019580052,54246,41.08,0.029281318187713623,5.653604,11.466100454330444,3.9586425,0.011928,5,125000,-0.0016098486,-0.14381865
0.0022403374,1500,-0.02510276878616878,53292,38.44,0.07483440637588501,5.648299,12.309187173843384,3.2686973,0.016708,6,150000,-0.0017415977,-0.1322889
0.0028193374,1750,-0.20634670286765414,52998,47.32,0.07747286558151245,5.6413326,13.17255187034607,2.7318969,0.0301,7,175000,-0.002606209,-0.12278918
0.0020285067,2000,-0.09916666782226458,46685,45.23,0.1257888674736023,5.6359463,14.031566381454468,2.2467523,0.01502,8,200000,-0.0011229801,-0.11413063
0.0017103081,2250,-0.22408865288302537,56071,53.65,0.17084985971450806,5.6321125,14.949748754501343,1.8767484,0.011332,9,225000,-0.0011083444,-0.10878796
0.0015318642,2500,-0.14650331603080302,55992,60.73,0.19534075260162354,5.6299324,15.778780937194824,1.5641983,0.010552,10,250000,-0.0013099385,-0.098883115
0.0011011763,2750,-0.24988520363306635,42264,55.06,0.269919753074646,5.6274033,16.615911960601807,1.3788807,0.0072839996,11,275000,-0.0015016174,-0.09847212
0.0023052122,3000,-0.15387740330237648,53263,60.25,0.35576415061950684,5.624844,17.60892391204834,1.0853899,0.018676002,12,300000,-0.0020942457,-0.08748123
0.0028544068,3250,-0.10285986678412655,54940,64.12,0.3394355773925781,5.6189737,18.474225282669067,0.9830848,0.026967999,13,325000,-0.0029781545,-0.084362976
0.0019998397,3500,-0.20815849966472796,54080,67.49,0.5211043357849121,5.6134853,19.31507396697998,0.71949464,0.016792,14,350000,-0.0017770635,-0.07806558
0.003029702,3750,0.0373094360453365,49512,63.92,0.5533662736415863,5.6145,20.17519235610962,0.63860404,0.027252,15,375000,-0.0027900976,-0.072923854
0.0027487914,4000,-0.2490259255893352,53488,70.91,0.640975147485733,5.6182513,21.071815490722656,0.49747348,0.025311997,16,400000,-0.0021589631,-0.06485036
0.003639435,4250,0.007634123060061029,54182,75.74,0.6821102201938629,5.614659,21.920429944992065,0.46717754,0.038868003,17,425000,-0.003171965,-0.06270636
0.0030335123,4500,-0.10866457972265607,47915,74.3,0.7851735949516296,5.6065583,22.762929439544678,0.34153894,0.03038,18,450000,-0.0026270146,-0.056614053
0.003103091,4750,-0.4445523320248049,56289,94.19,0.8031083792448044,5.598414,23.658642530441284,0.3272283,0.030436,19,475000,-0.0023428495,-0.052424278
0.0034978904,5000,-0.23409718168476815,55252,83.13,0.8085506111383438,5.5944543,24.488107204437256,0.31333488,0.034444,20,500000,-0.0027133685,-0.05190209
0.0034603025,5250,-0.1016714203608467,42880,91.65,0.8560764044523239,5.588182,25.309296131134033,0.27129614,0.03434,21,525000,-0.0018138004,-0.050841454
0.0029479163,5500,-0.21361634492346412,53807,82.53,0.8431840389966965,5.5832705,26.271395444869995,0.29464877,0.028103998,22,550000,-0.0021785425,-0.05007237
0.0018350768,5750,-0.1432509178234227,47928,90.78,0.8507427275180817,5.576722,27.112443923950195,0.29628026,0.012308,23,575000,-0.0018643433,-0.0508604
0.0028515346,6000,-0.1836714077686338,50525,83.14,0.8998114392161369,5.5756807,28.011619091033936,0.21476388,0.024868,24,600000,-0.0023761042,-0.05214885
0.0032074624,6250,-0.08131796684316214,47246,96.4,0.8941018953919411,5.571027,28.88807988166809,0.22956595,0.028595999,25,625000,-0.0021243277,-0.044451825
0.0022503333,6500,-0.3190842372538373,45379,83.72,0.9013035967946053,5.5683393,29.787020683288574,0.23405628,0.020608,26,650000,-0.0022766502,-0.046334945
0.0030572508,6750,-0.036168932982675414,55132,100.01,0.9006965756416321,5.5647635,30.693892002105713,0.2447867,0.027459998,27,675000,-0.0016696982,-0.043480195
0.002376936,7000,-0.4039674573487673,55117,83.28,0.909466102719307,5.559287,31.527193784713745,0.1965583,0.017892,28,700000,-0.0019343976,-0.04939895
0.0016130718,7250,-0.07481874459003905,55202,90.01,0.895207941532135,5.554021,32.36278057098389,0.23495583,0.011608,29,725000,-0.002165602,-0.041349538
