true_reward,total_timesteps,clipfrac,policy_entropy,serial_timesteps,explained_variance,approxkl,value_loss,fps,n_updates,ep_reward_mean,policy_loss,time_elapsed,ep_len_mean
-0.80857134,25000,2e-05,5.6761417,250,0.0009902119636535645,0.00016840703,168.19904,2999,1,-0.17714340696208183,-0.0007127783,0.0017871856689453125,35.11
-0.75410837,50000,0.0009999999,5.6781807,500,0.0018636584281921387,0.00059076864,154.3179,55575,2,-0.1819844583068698,-0.0009534398,8.889212369918823,43.02
-0.7173691,75000,0.00068,5.676642,750,-0.0003069639205932617,0.00046940325,144.69344,35331,3,-0.21401348271754614,-0.0008946373,9.742611408233643,44.1
-0.71283257,100000,0.0016040001,5.6732836,1000,0.004697918891906738,0.0008315967,141.15456,55719,4,-0.1913605318508303,-0.0005390067,10.860859632492065,43.84
-0.65863764,125000,0.003252,5.670391,1250,0.00918424129486084,0.0010104852,127.68713,48833,5,-0.23050279239416796,-0.0008216149,11.711144924163818,48.28
-0.66184634,150000,0.004228,5.6728816,1500,0.011154353618621826,0.001177291,125.86426,54428,6,-0.16726922165903318,-0.0010217841,12.614827871322632,42.76
-0.6450645,175000,0.001992,5.6730742,1750,0.011855363845825195,0.0009348857,120.65458,42206,7,-0.12586471789537995,-0.0006063555,13.475088119506836,48.88
-0.5991477,200000,0.01074,5.6729445,2000,0.016548097133636475,0.0018526074,108.85303,55377,8,-0.2944661396215622,-0.0007212803,14.462037801742554,52.37
-0.58607745,225000,0.013468,5.671226,2250,0.030631422996520996,0.0019450949,103.78497,54966,9,-0.2569691599628186,-0.0013274986,15.307451725006104,52.44
-0.55146885,250000,0.0132720005,5.667967,2500,0.026563405990600586,0.0020320707,96.86012,50909,10,-0.17598880324782926,-0.0008943109,16.17117142677307,50.71
-0.49910927,275000,0.009123999,5.669433,2750,0.03175753355026245,0.0015020275,85.290344,54430,11,-0.15018535463396346,-0.0011463834,17.080336332321167,57.18
-0.52043724,300000,0.00072400004,5.671448,3000,0.045603036880493164,0.0004059081,86.793945,56491,12,-0.2724523635594005,-0.00036528584,17.9316143989563,55.74
-0.5003043,325000,0.001196,5.672228,3250,0.0657615065574646,0.00047576037,80.864136,55581,13,-0.31207179667197127,-0.0009789309,18.76851177215576,52.82
-0.49301958,350000,0.0010960001,5.669299,3500,0.060768306255340576,0.0005886724,78.144,56194,14,-0.31773117321065913,-0.0006959239,19.61111283302307,56.14
-0.4268423,375000,0.000408,5.6669683,3750,0.07296246290206909,0.00044201236,65.98739,56273,15,-0.1951716937237461,-0.00078413385,20.436872482299805,58.33
-0.47426242,400000,0.0021560001,5.664201,4000,0.08585536479949951,0.00061650545,71.04325,54749,16,-0.186696869763216,-0.00079365075,21.277541399002075,57.11
-0.41614318,425000,0.008463999,5.661427,4250,0.11221402883529663,0.0017607205,60.3224,55508,17,-0.15993564768491297,-0.00018194113,22.129753351211548,62.54
-0.4276869,450000,0.009184,5.660069,4500,0.09638375043869019,0.001457949,61.46756,51374,18,-0.2351110175833628,-0.0014914133,22.949727773666382,62.62
-0.40409827,475000,0.00061999995,5.6597314,4750,0.13369792699813843,0.00064099685,54.97517,56825,19,-0.25072157243449994,0.0001972232,23.806747436523438,68.53
-0.41969323,500000,0.0063800006,5.6598,5000,0.11337476968765259,0.001321092,57.70686,54736,20,-0.20701783860834014,-0.0008301167,24.636553525924683,61.14
-0.37623656,525000,0.00016000001,5.6595383,5250,0.11725884675979614,0.000244729,50.151543,55732,21,-0.1369412777719026,-0.0006149677,25.496480464935303,72.09
-0.38222876,550000,0.0052320003,5.6600847,5500,0.16660428047180176,0.001265456,48.750355,56306,22,-0.3614197493360473,-0.0009772629,26.33179473876953,66.4
-0.39277202,575000,0.001408,5.6605515,5750,0.1680595874786377,0.00049287325,49.514687,54611,23,-0.2799928095338404,-0.0006622863,27.156772136688232,65.27
-0.37195796,600000,0.016551998,5.6608095,6000,0.19584619998931885,0.0023860305,44.72939,38690,24,-0.36251073885163576,-0.0004026369,28.012365102767944,76.74
-0.40131402,625000,0.014712,5.6622124,6250,0.1734142303466797,0.0017478268,48.661873,50765,25,-0.15580196108237487,-0.0022503068,29.060346364974976,65.84
-0.352712,650000,0.001332,5.662653,6500,0.255079448223114,0.00077124964,39.12998,56660,26,-0.2025304630492701,0.00014569222,29.947943210601807,71.24
-0.3266934,675000,0.015303999,5.6599913,6750,0.28878140449523926,0.0020100405,34.893833,47102,27,-0.44067387259224344,-0.0013725522,30.779630184173584,77.42
-0.36734837,700000,0.0015240001,5.6561627,7000,0.23654836416244507,0.0005421395,40.342495,55047,28,-0.21459044546865472,-0.0006064441,31.698313236236572,59.91
-0.33388656,725000,0.0075120004,5.6549745,7250,0.3152496814727783,0.001522208,33.912025,48458,29,-0.4674086246666457,-0.000788931,32.54460382461548,76.68
-0.33325613,750000,0.000492,5.6543055,7500,0.2921319007873535,0.00043475782,33.70683,50744,30,-0.2743605359881838,-0.00028692087,33.44691252708435,76.07
-0.32633483,775000,0.010388,5.6534305,7750,0.39027589559555054,0.0015582272,29.457632,54560,31,-0.171122309081627,-0.0014371129,34.33701968193054,72.28
-0.33012956,800000,0.0025479998,5.6507225,8000,0.3346823453903198,0.00054947875,31.451504,54576,32,-0.2887976128659136,-0.00059886853,35.19681453704834,75.38
-0.30158404,825000,0.0077080005,5.649769,8250,0.39580726623535156,0.0017761678,26.013071,53542,33,-0.41919979303188826,0.000654519,36.054749727249146,77.56
-0.3214954,850000,0.014815999,5.6477346,8500,0.42999267578125,0.0019170521,26.6887,51692,34,-0.12768016760874615,-0.0016538628,36.901317834854126,64.34
-0.31509492,875000,0.0036799996,5.646117,8750,0.4523405432701111,0.0006765475,25.1631,49945,35,-0.08914088477269161,-0.00084241293,37.78943586349487,75.19
-0.28792557,900000,0.00274,5.643491,9000,0.49658626317977905,0.00090917887,21.521906,36595,36,-0.5497735300483504,-0.0005658233,38.68356204032898,78.29
-0.2971985,925000,0.015452,5.638692,9250,0.48117882013320923,0.002288761,22.35561,56349,37,-0.18648202145310136,-0.00070098526,39.7622766494751,77.04
-0.29852438,950000,0.01932,5.636388,9500,0.4735237956047058,0.0022238407,22.8335,55080,38,-0.20804743661794092,-0.0014278744,40.57513356208801,81.92
-0.3201415,975000,0.0063480004,5.6353707,9750,0.4974963665008545,0.0009908795,23.439014,46205,39,-0.2850898700957964,-0.0011055891,41.421225786209106,72.34
-0.27508944,1000000,0.01716,5.6334476,10000,0.6350482106208801,0.0023901681,16.039066,38138,40,-0.19585331934235456,-0.0008305061,42.36386680603027,74.24
-0.30897132,1025000,0.017716,5.632643,10250,0.5510201156139374,0.0018709823,20.691658,55030,41,-0.27550758760882216,-0.0018014893,43.40311861038208,70.95
-0.2725035,1050000,0.004684,5.6319532,10500,0.6515991389751434,0.001153875,15.360402,55578,42,-0.45491770882405946,-0.0007809971,44.255263566970825,77.2
-0.2627944,1075000,0.017776001,5.6308575,10750,0.6708455085754395,0.0019756895,13.964178,57067,43,-0.36369507305218846,-0.0014526909,45.07773208618164,77.79
-0.29986614,1100000,0.03282,5.628972,11000,0.6157520711421967,0.0027709424,18.208536,56796,44,-0.17339349001848403,-0.0014510978,45.90573501586914,68.2
-0.29715616,1125000,0.022324,5.6270914,11250,0.6466590762138367,0.0022715523,16.89482,56035,45,-0.31896649708209224,-0.00083131884,46.736989974975586,66.51
-0.2703255,1150000,0.005652,5.623909,11500,0.6902833580970764,0.0013618185,13.9829,52667,46,-0.47446847089887,0.0010712368,47.587751388549805,79.83
-0.23814648,1175000,0.034420002,5.6233263,11750,0.6966464817523956,0.0034490868,12.501427,55597,47,-0.16255529111233272,0.00036060638,48.45900297164917,89.67
-0.25885347,1200000,0.009856,5.622937,12000,0.7373544871807098,0.0018652782,11.840889,55682,48,-0.34691996443145284,-0.0008047676,49.303306341171265,84.0
-0.24871299,1225000,0.0149679985,5.6228514,12250,0.6958089172840118,0.0019589046,12.954756,55518,49,-0.5345755473081578,-0.0010184633,50.148205041885376,98.49
-0.27544543,1250000,0.021908,5.6223283,12500,0.7793999016284943,0.0021297697,10.842029,55168,50,-0.4732874128401636,-0.0013059642,50.98235893249512,74.23
-0.26323035,1275000,0.010468001,5.624685,12750,0.7611531615257263,0.0013061432,11.24489,45097,51,-0.23425830305636736,-0.001279398,51.82091426849365,78.84
-0.24736007,1300000,0.015172,5.6257467,13000,0.8051184862852097,0.0017094172,9.061798,57177,52,-0.5402468253395284,-0.0014845284,52.761908292770386,84.21
-0.23347422,1325000,0.003664,5.6241746,13250,0.8264321088790894,0.0008384481,8.001923,55690,53,-0.3893880561480046,-0.0009232842,53.581462144851685,90.29
