fps,n_updates,total_timesteps,ep_reward_mean,clipfrac,ep_len_mean,policy_loss,value_loss,approxkl,time_elapsed,explained_variance,true_reward,policy_entropy,serial_timesteps
3207,1,25000,4.4793619572749614,0.326868,248.69,0.0024752659,0.53114516,0.03394951,0.0006399154663085938,0.5250568091869354,0.015997706,-0.2545058,250
58407,2,50000,4.465233664474956,0.084664,245.91,-0.0020300015,1.0324407,0.00678448,8.299125909805298,0.6536851227283478,0.011677661,-0.24735527,500
56642,3,75000,4.020265563323582,0.128108,247.98,-0.0009524645,0.36485633,0.010419184,9.097898483276367,0.7087966799736023,0.014252987,-0.24295291,750
56539,4,100000,4.312270741605321,0.145408,248.3,-0.0019270082,0.9095001,0.011086888,9.903273105621338,0.46746450662612915,0.01321641,-0.24016419,1000
58443,5,125000,4.641861653949564,0.09305199,248.67,-0.0012960219,0.40540212,0.0071514635,10.707948923110962,0.6474673449993134,0.016614147,-0.23527487,1250
50349,6,150000,4.409816480881169,0.098152004,247.41,-0.0019169297,0.75254446,0.0074616997,11.499479293823242,0.5823479294776917,0.013841628,-0.22941343,1500
54384,7,175000,4.350214387313387,0.075744,250.0,-0.002146143,0.01211242,0.0060189595,12.372870922088623,0.9781642965972424,0.017400857,-0.22487473,1750
56591,8,200000,4.381407090544249,0.096216,245.64,-0.0016239589,1.7592264,0.007625432,13.208482265472412,0.36574000120162964,0.009403503,-0.22602892,2000
57333,9,225000,4.449503266568911,0.08476799,247.72,-0.0014628841,0.6030973,0.0066591515,14.022148132324219,0.7109168469905853,0.014027935,-0.22657335,2250
48314,10,250000,4.378168283595987,0.1133,247.54,-0.0018748187,0.49223542,0.009714259,14.83047866821289,0.5446262657642365,0.015769942,-0.22724488,2500
50571,11,275000,4.373267848408252,0.119096,246.78,-0.002041139,0.804694,0.009111804,15.721624851226807,0.5215498208999634,0.013759048,-0.22712453,2750
57116,12,300000,4.214373239462165,0.051568,249.32,-0.0009283161,0.44187206,0.0044653458,16.57172465324402,0.6019719243049622,0.014883598,-0.22733364,3000
56998,13,325000,4.5401133799295454,0.06878801,250.0,-0.0020038604,0.013615301,0.005691132,17.377336263656616,0.9784878138452768,0.018160455,-0.22577247,3250
57916,14,350000,4.5866289232892585,0.165116,243.85,-0.0017803025,1.6811985,0.012165263,18.193085193634033,0.37406104803085327,0.011033164,-0.2268888,3500
57594,15,375000,4.3718412484245155,0.076708004,248.24,-0.0015333449,0.45805258,0.006312996,18.981278657913208,0.5797229707241058,0.01567871,-0.22867112,3750
57095,16,400000,4.443972764563838,0.066860005,247.91,-0.001420271,0.42562237,0.005594183,19.766910314559937,0.6100414991378784,0.016000155,-0.2302723,4000
57987,17,425000,4.374901036003539,0.053500004,249.14,-0.0014700351,0.43774557,0.004606896,20.559985160827637,0.5911760330200195,0.015498103,-0.23431209,4250
55813,18,450000,4.474446229544477,0.1069,249.17,-0.0019319564,0.44493803,0.008116207,21.353281497955322,0.6019993722438812,0.01591037,-0.23638365,4500
57678,19,475000,4.443540841998905,0.078424,250.0,-0.0017457763,0.0113784345,0.0062095397,22.164310216903687,0.9810037687420845,0.017774165,-0.23650077,4750
57234,20,500000,4.665667833407246,0.155808,246.26,-0.0014734017,0.9885546,0.012571183,22.946911573410034,0.6171481907367706,0.012899302,-0.23932727,5000
