serial_timesteps,total_timesteps,n_updates,clipfrac,explained_variance,value_loss,policy_entropy,ep_reward_mean,fps,time_elapsed,true_reward,ep_len_mean,approxkl,policy_loss
250,25000,1,0.03662,-0.005938410758972168,48.07012,5.67873,-0.09636947062726904,3012,0.0014603137969970703,-0.57775897,21.67,0.0033577576,-0.0048988825
500,50000,2,0.000120000004,-0.007133126258850098,38.863777,5.681255,-0.1364362358408971,38736,8.86632251739502,-0.4806669,27.91,0.0003830879,8.339225e-06
750,75000,3,0.045676,-0.0028859376907348633,33.82121,5.6831117,-0.0800173205019587,54109,9.921826601028442,-0.43345538,25.07,0.004015886,-0.0041762935
1000,100000,4,0.0026480001,-0.0034193992614746094,26.442379,5.685027,-0.011695399850079866,49297,10.80079460144043,-0.35007703,35.29,0.0009747806,-0.00028795187
1250,125000,5,0.01772,0.0035976171493530273,24.606365,5.6878405,0.07577359975916806,54706,11.72377061843872,-0.34020594,35.54,0.0019894135,-0.002658528
1500,150000,6,0.002236,0.013532519340515137,21.0276,5.688361,-0.02531936935475187,50353,12.587353706359863,-0.30754322,38.18,0.00079528673,-0.0013045564
1750,175000,7,0.00598,0.024192988872528076,19.061527,5.684792,-0.11954305397736903,54763,13.490222215652466,-0.29425555,40.82,0.0012285716,-0.00051603996
2000,200000,8,0.018248001,0.04140663146972656,16.420216,5.677232,-0.02587869103228968,42030,14.352043390274048,-0.26471755,45.55,0.0024749096,-0.0005289596
2250,225000,9,0.018232,0.04376107454299927,15.917025,5.66917,-0.0037427751323366467,51066,15.339664936065674,-0.26599213,51.54,0.0024800026,-0.00081075996
2500,250000,10,0.005408,0.07127213478088379,13.404444,5.6632314,-0.22398814299889636,54613,16.231088161468506,-0.24407725,52.91,0.0014479428,-0.00051057467
2750,275000,11,0.00596,0.05160343647003174,12.044722,5.6609015,0.34440705228998697,50162,17.10215950012207,-0.22714478,55.52,0.0013056236,-0.0009848133
3000,300000,12,0.000204,0.09167462587356567,11.9375925,5.6602864,-0.2097369127097238,44590,18.008890867233276,-0.23671736,45.29,0.0004227377,-0.00054833794
3250,325000,13,0.001508,0.09013170003890991,10.495442,5.660515,-0.014449511032862574,56226,18.963027000427246,-0.21873611,55.57,0.00078836957,-0.00091675296
3500,350000,14,0.00046,0.11412632465362549,10.012419,5.659798,-0.12005894523691268,55332,19.80061149597168,-0.22637326,52.89,0.00035456978,-0.0007315006
3750,375000,15,0.00096000003,0.14634764194488525,8.945333,5.659624,0.12996802460883672,39532,20.668137311935425,-0.20881225,51.89,0.00060602406,-0.0006030401
4000,400000,16,0.0073760003,0.17977005243301392,7.8681197,5.6586933,0.17811920582113544,56856,21.693289756774902,-0.20140204,61.16,0.0013914278,-0.0011978073
4250,425000,17,0.000128,0.1642920970916748,7.950587,5.6582594,0.18785100385999612,40343,22.53505039215088,-0.20629147,53.36,0.00040166694,-0.0005123946
4500,450000,18,0.023567999,0.2379397749900818,6.5487456,5.659398,0.11555772358756258,57272,23.55439591407776,-0.19443505,57.62,0.0027271763,-0.00164143
4750,475000,19,0.004972,0.2980208396911621,5.9999294,5.660082,0.011237691104963688,45231,24.40648579597473,-0.19003136,59.18,0.00087596924,-0.0016765592
5000,500000,20,0.0069,0.2699873447418213,5.668109,5.658651,0.32845790317015144,56470,25.352633476257324,-0.17943513,61.31,0.0016175888,5.0819923e-05
5250,525000,21,0.034780003,0.22215968370437622,5.862582,5.6562443,-0.3198900158755964,55205,26.177070379257202,-0.19158377,61.24,0.003142065,-0.0036071956
5500,550000,22,0.000976,0.3549058437347412,5.205542,5.6552973,-0.19430729618857867,53955,27.016822338104248,-0.1954687,52.88,0.00051782944,-0.00064867234
5750,575000,23,0.020296,0.3752286434173584,4.0874667,5.6548676,0.003818603070099016,56623,27.867592096328735,-0.1495013,74.55,0.0026702248,-0.0013450965
6000,600000,24,0.027959999,0.3473493456840515,4.182264,5.6508656,0.21780978790097877,55622,28.695728302001953,-0.15470164,70.47,0.002683433,-0.0020624306
6250,625000,25,0.023155998,0.45724040269851685,3.478122,5.64785,-0.16185963166147757,54293,29.54673457145691,-0.15503295,66.83,0.002205634,-0.0019641716
6500,650000,26,0.011916,0.4593241214752197,3.60817,5.6426783,0.0920247027199298,54691,30.40091896057129,-0.15452589,61.68,0.0013422619,-0.0013179958
6750,675000,27,0.0061399997,0.4829646348953247,3.4653106,5.6396284,-0.05987706781301313,50185,31.24976921081543,-0.16726539,65.33,0.001269135,-0.0008982896
7000,700000,28,0.048575997,0.6029707193374634,2.494077,5.635995,0.03686962217989276,50948,32.14046931266785,-0.1337428,63.75,0.0042720693,-0.001963001
7250,725000,29,0.029492,0.5631794035434723,2.7204895,5.633448,-0.047444332531015335,55135,33.01069974899292,-0.148878,65.45,0.0029306784,-0.0026186765
7500,750000,30,0.034095995,0.6408129036426544,2.1606116,5.6290083,-0.22401062425329654,55337,33.865187644958496,-0.1202083,77.65,0.0034146719,-0.0026179277
