fps,ep_reward_mean,clipfrac,policy_entropy,n_updates,total_timesteps,value_loss,approxkl,explained_variance,serial_timesteps,policy_loss,ep_len_mean,true_reward,time_elapsed
3047,30.824207399211218,0.558276,-3.751927,1,25000,7.2803917,0.15764552,0.6847918033599854,250,0.051845036,246.33,0.12215717,0.0006053447723388672
50344,37.84582359094024,0.23242402,-3.7478364,2,50000,9.169488,0.019466441,0.6663405299186707,500,0.008677701,248.5,0.150808,8.710654258728027
55486,33.76877287080344,0.174912,-3.7475574,3,75000,8.036374,0.013227759,0.6962707936763763,750,0.0040959595,246.03,0.13321015,9.577106714248657
50521,33.716653181910516,0.14415601,-3.7530663,4,100000,7.9026976,0.01212308,0.6838691830635071,1000,0.0030533322,249.35,0.13412182,10.392858266830444
55286,27.504878739401626,0.11171999,-3.7566266,5,125000,5.8552995,0.00846013,0.7180420160293579,1250,0.0016256087,249.12,0.109301955,11.262845516204834
56370,32.71814174084046,0.15408799,-3.7579956,6,150000,7.2427263,0.012964731,0.7253583073616028,1500,0.0041927486,250.0,0.13087256,12.08091688156128
55853,33.51710854100518,0.056848,-3.7582436,7,175000,7.46239,0.00497726,0.7381686568260193,1750,-0.0006424598,248.94,0.13336627,12.896949052810669
56240,31.301423637154183,0.076628,-3.7620265,8,200000,7.0762863,0.0061787264,0.7247061431407928,2000,-0.00040609663,247.94,0.12603155,13.726282119750977
36421,29.924709099009632,0.096976005,-3.7670772,9,225000,6.5108123,0.0074311853,0.7453799843788147,2250,0.0005893309,248.47,0.119113505,14.556994199752808
49257,35.82609224770606,0.09094,-3.7709744,10,250000,7.540187,0.0071749846,0.7455496788024902,2500,0.0011136192,250.0,0.14330438,15.61760926246643
45612,31.16912944023643,0.128976,-3.7748647,11,275000,6.836798,0.009512919,0.7405543327331543,2750,0.0016724427,247.18,0.12348059,16.48572087287903
55489,34.12171231885609,0.116536,-3.779248,12,300000,7.3516746,0.008651691,0.7439176440238953,3000,0.0014523196,250.0,0.13648684,17.400518655776978
56907,31.765511936903867,0.22959201,-3.7834263,13,325000,6.737249,0.01779972,0.7529857009649277,3250,0.007337103,250.0,0.12706205,18.220038652420044
47512,32.237083512609786,0.084712006,-3.7855067,14,350000,6.7448053,0.0066820444,0.7746105641126633,3500,-0.00015286487,248.88,0.1282963,19.029804944992065
55666,30.42641223944025,0.110644005,-3.7860603,15,375000,6.369239,0.008659685,0.7729682773351669,3750,0.0007658049,248.41,0.121115126,19.918330430984497
54579,33.94639343109547,0.083124,-3.7876964,16,400000,7.1801085,0.006664901,0.7712571024894714,4000,0.0005631558,248.87,0.13512698,20.742690563201904
55308,28.939568343551255,0.097872,-3.790913,17,425000,5.8659406,0.0076569817,0.7723252922296524,4250,-0.00016208386,250.0,0.11575827,21.572277307510376
