serial_timesteps,policy_entropy,ep_reward_mean,fps,policy_loss,value_loss,explained_variance,clipfrac,approxkl,true_reward,n_updates,total_timesteps,time_elapsed,ep_len_mean
1000,5.6769314,0.778918432960636,9641,-0.0009013931,27.216526,-0.004750967025756836,0.001484,0.0006099156,-0.31786063,1,100000,0.001049041748046875,38.14
2000,5.6779046,0.9249532218495733,54324,-0.0013359942,24.895235,0.0019491314888000488,0.001221,0.00063961,-0.3021241,2,200000,12.333822250366211,36.39
3000,5.6765823,1.1008906912814609,54562,-0.0009368753,22.758453,0.007047057151794434,0.001169,0.00068884774,-0.2872814,3,300000,15.935807228088379,43.62
4000,5.6724286,0.865634270669907,52300,-0.0011575643,19.543707,0.014258146286010742,0.0018109999,0.0007980865,-0.25681907,4,400000,19.53933072090149,42.61
5000,5.6670103,1.0465065189952112,56289,-0.0007736192,17.951786,0.019972562789916992,0.0071010003,0.0012659037,-0.24474727,5,500000,23.204100131988525,47.09
6000,5.6612906,0.7997647727664849,56451,-0.0009808751,16.116135,0.03489243984222412,0.017056,0.0020697587,-0.22904457,6,600000,26.771730661392212,43.89
7000,5.6575217,0.9025827159393702,56220,-0.00057039165,14.81911,0.05015873908996582,0.023833001,0.0028352153,-0.22458482,7,700000,30.308593273162842,45.81
8000,5.6555057,0.9749476602622326,51991,-0.0008081097,13.143789,0.07745063304901123,0.024425002,0.002820156,-0.20718914,8,800000,33.84330344200134,52.9
9000,5.650717,1.3204224601767054,55351,-0.00049997045,12.438618,0.07799774408340454,0.017903998,0.0022809613,-0.20281105,9,900000,37.53731632232666,53.3
10000,5.64583,1.1686024920725322,52886,-0.0005517043,11.603181,0.11491799354553223,0.013001,0.0018759432,-0.20285596,10,1000000,41.09978485107422,53.74
11000,5.641602,1.2531179388903275,47790,-0.00062865845,10.395147,0.13127559423446655,0.010372,0.001836176,-0.19086598,11,1100000,44.75320506095886,56.07
12000,5.637553,1.7371730313429907,56161,-0.0008655796,9.480326,0.15001732110977173,0.00261,0.00074230897,-0.18064393,12,1200000,48.61082887649536,57.26
13000,5.6354494,1.8589040137257689,49546,-0.00055402255,8.493953,0.19166195392608643,0.000619,0.00044953404,-0.17244788,13,1300000,52.213077545166016,62.21
14000,5.6342587,1.3068230822846818,50187,-0.0006949108,7.873876,0.22105586528778076,0.0049289996,0.0011474863,-0.16867739,14,1400000,56.01040601730347,62.1
15000,5.633102,1.5384400887830225,44809,-0.0012639153,7.2972274,0.23203003406524658,0.008959999,0.001413212,-0.16585883,15,1500000,59.75924015045166,61.73
16000,5.6294355,1.7724704260392172,57224,-0.0010537955,6.655754,0.29728811979293823,0.0060630003,0.00086844515,-0.1621026,16,1600000,63.75869083404541,64.77
17000,5.6251593,1.5037559131954004,55751,-0.00022321698,5.756954,0.3255637288093567,0.0029199999,0.001134395,-0.14970006,17,1700000,67.32778549194336,65.88
18000,5.6218176,1.36427134651507,49926,-0.00054628577,5.009459,0.3978327512741089,0.007671,0.0015383136,-0.1382828,18,1800000,70.903724193573,67.88
19000,5.6150055,1.3483463347076212,54179,-0.0014357069,4.2961264,0.4782133102416992,0.013522001,0.001836371,-0.13892275,19,1900000,74.64241814613342,69.3
20000,5.6077914,1.2388888484714828,57051,-0.0012177775,3.9483647,0.5049827992916107,0.013076,0.0017555051,-0.12946825,20,2000000,78.23823285102844,67.06
21000,5.6003656,1.4031060019314099,57540,-0.0017657112,3.5074418,0.563516229391098,0.016291,0.0020378814,-0.12498591,21,2100000,81.74978542327881,66.64
22000,5.5954275,2.057051248364096,53170,-0.000920826,3.1408446,0.6097405254840851,0.00452,0.0010222055,-0.11984545,22,2200000,85.26678919792175,75.07
23000,5.5893207,2.0067413973088875,57214,-0.0012860683,2.7538457,0.6588118076324463,0.010605,0.0017742697,-0.11112963,23,2300000,88.9323832988739,79.26
24000,5.5830364,1.8394322984388338,50190,-0.0010004935,2.2652824,0.7310201823711395,0.010821,0.001420258,-0.10593208,24,2400000,92.4574842453003,77.89
25000,5.5793962,2.0358736603595027,53147,-0.0016080698,2.085502,0.7670075595378876,0.017357,0.002017265,-0.103179894,25,2500000,96.2118444442749,82.05
26000,5.577186,2.0042879990087386,55300,-0.00089043286,1.7458315,0.8113551884889603,0.008927,0.0013687718,-0.100472234,26,2600000,99.85691499710083,87.39
27000,5.5760813,2.199777331290761,43636,-0.001069651,1.5214727,0.8464138954877853,0.0097590005,0.0014921561,-0.0947099,27,2700000,103.43803763389587,84.05
28000,5.574309,1.7952906412848915,57443,-0.0008324009,1.4330443,0.8572493195533752,0.008847999,0.0016024776,-0.0937236,28,2800000,107.46252250671387,89.05
29000,5.573423,2.101010066314984,49226,-0.0012095841,1.4015777,0.8659579306840897,0.012405,0.0018835922,-0.09227249,29,2900000,110.95385599136353,83.81
30000,5.568599,1.8648766367698681,49805,-0.00096088566,1.3080369,0.8800376802682877,0.016425,0.002398531,-0.08886094,30,3000000,114.75979471206665,91.01
31000,5.5627813,2.1951616269880105,58590,-0.00092548004,1.1350993,0.9015762954950333,0.012816,0.0018212544,-0.0856889,31,3100000,118.50168347358704,93.99
32000,5.55312,2.496012369688369,57297,-0.0011426231,1.0404487,0.9094293862581253,0.012941999,0.0019378923,-0.08431496,32,3200000,122.03386640548706,83.47
33000,5.5453296,2.1444595515042604,54595,-0.0010692122,1.0116647,0.9149265289306641,0.009218,0.0016835354,-0.08168992,33,3300000,125.53451371192932,87.61
34000,5.5424967,2.164532840553984,56910,-0.0010223575,1.1368636,0.9103432670235634,0.011247,0.0018429313,-0.082253024,34,3400000,129.08082151412964,89.33
35000,5.534432,1.9450481787584977,53024,-0.0009409279,1.0331856,0.9193587452173233,0.009663,0.0014310564,-0.08583853,35,3500000,132.57755708694458,84.74
36000,5.5232124,1.9100516663942426,47292,-0.0011349171,0.99601614,0.9233615025877953,0.013983001,0.0020255127,-0.08367757,36,3600000,136.200293302536,84.58
37000,5.5152197,2.245157073764491,55520,-0.0009752324,1.0151818,0.9235293939709663,0.010794,0.0016907047,-0.08357488,37,3700000,140.0587601661682,87.56
38000,5.5076547,1.8669847560159816,56973,-0.0012734082,1.004182,0.9241084530949593,0.012038001,0.0018824404,-0.082253285,38,3800000,143.5911066532135,86.9
39000,5.496298,1.9283219796899267,50097,-0.001146437,0.94853,0.9287229105830193,0.014132999,0.0020057778,-0.080093086,39,3900000,147.0803644657135,85.95
40000,5.4839373,2.076097288278552,51930,-0.0011575641,0.9735273,0.9278910681605339,0.015849,0.0023502214,-0.07955927,40,4000000,150.8464629650116,86.71
41000,5.472361,1.9017639261274006,56942,-0.0009810589,0.8244175,0.9394841268658638,0.0077309995,0.0014971873,-0.07786273,41,4100000,154.54003882408142,89.28
42000,5.46803,2.7161808695534635,53330,-0.0013761172,0.9264351,0.9311604350805283,0.019063,0.0025232525,-0.07384937,42,4200000,158.06835770606995,97.32
43000,5.466066,1.7934848768040774,51579,-0.00084501057,0.88482726,0.9372322112321854,0.011331,0.0019000949,-0.076295115,43,4300000,161.69633769989014,90.55
44000,5.464644,2.424714197216799,52596,-0.0008342876,0.882246,0.9365594759583473,0.011767,0.0018841655,-0.07302669,44,4400000,165.40214443206787,99.29
45000,5.4610786,3.309286677965974,58031,-0.00079108885,0.9018286,0.938130896538496,0.015061001,0.0019822696,-0.07548852,45,4500000,169.05541229248047,105.41
46000,5.4552774,2.1228070992052563,57074,-0.0007620356,0.79132086,0.9447376057505608,0.013434,0.0021926325,-0.074927785,46,4600000,172.53104329109192,95.28
47000,5.449777,2.217442550319786,55546,-0.001329914,0.8111498,0.9435365907847881,0.017765,0.002414129,-0.07125969,47,4700000,176.0288827419281,99.06
48000,5.4479313,2.6216528176147857,52386,-0.001155772,0.8476275,0.9402972832322121,0.015109001,0.002090001,-0.074256524,48,4800000,179.58026885986328,93.81
49000,5.44846,1.918632941303848,58586,-0.000439821,0.84105796,0.9415275678038597,0.0120790005,0.001789915,-0.07628287,49,4900000,183.2271077632904,83.13
50000,5.447812,2.5896206302025164,57529,-0.0008126812,0.80926067,0.9457918591797352,0.015464,0.0022111614,-0.072547644,50,5000000,186.70145630836487,99.44
51000,5.4425116,2.1991139044521515,51651,-0.00065201975,0.8048437,0.9453569576144218,0.0120560005,0.0018129668,-0.07413069,51,5100000,190.21069192886353,94.24
52000,5.4345536,2.070581037049897,54996,-0.00033765944,0.86694527,0.941109374165535,0.01986,0.00243065,-0.07700329,52,5200000,193.89853596687317,85.33
53000,5.4251595,1.926923887728899,57848,-0.0006490909,0.86845684,0.9400144480168819,0.023270998,0.0026283704,-0.07727649,53,5300000,197.4641466140747,84.2
54000,5.42113,3.161629061712879,57201,-0.0008545386,0.83517474,0.9412926062941551,0.011952999,0.001994567,-0.07061499,54,5400000,200.96631407737732,106.86
55000,5.41652,2.895612679506667,49674,-0.0008565934,0.83127576,0.9414660818874836,0.010323001,0.0018786412,-0.07321034,55,5500000,204.4548261165619,99.27
56000,5.4096093,2.8604157101666896,58349,-0.0010498322,0.84846866,0.943039033561945,0.01165,0.0020481688,-0.06944146,56,5600000,208.19815731048584,103.52
57000,5.400392,2.722467632171483,55127,-0.0010921734,0.8120187,0.9440102837979794,0.012248,0.0018923316,-0.06965514,57,5700000,211.6744306087494,103.64
58000,5.388802,2.2741869477999352,56588,-0.0009822369,0.77634203,0.9464803822338581,0.012601,0.00220645,-0.06978073,58,5800000,215.24263167381287,100.31
59000,5.3743043,3.2949979355402137,49480,-0.0012358387,0.823413,0.9432401992380619,0.015536999,0.0023299593,-0.06603255,59,5900000,218.77635073661804,104.23
60000,5.363555,3.4758373265101365,56013,-0.00080753595,0.7957146,0.9454105459153652,0.00995,0.00186454,-0.065360785,60,6000000,222.52873420715332,105.7
61000,5.3536634,2.668148692466955,55422,-0.0010435248,0.71847117,0.9509854577481747,0.014185001,0.00219537,-0.06419957,61,6100000,226.07396364212036,109.8
62000,5.346343,2.3555431519990613,47299,-0.0011451364,0.88585967,0.941793292760849,0.019545,0.0025299795,-0.06902032,62,6200000,229.62532377243042,95.44
63000,5.3378234,2.976546472921973,53102,-0.0012977838,0.7180544,0.9526468068361282,0.018558,0.0025658307,-0.06544062,63,6300000,233.47062015533447,104.03
64000,5.328665,2.6300388408934556,54923,-0.0009658185,0.7903813,0.9483868293464184,0.01663,0.0023424055,-0.06495063,64,6400000,237.09082221984863,99.56
65000,5.3231835,3.73252043661954,56102,-0.0010047787,0.6994829,0.9535263404250145,0.014529,0.0023780314,-0.06685412,65,6500000,240.66330790519714,107.04
66000,5.31406,3.3320097806315654,50552,-0.0009061373,0.77496624,0.9497030824422836,0.012736,0.0019905088,-0.06231755,66,6600000,244.20620203018188,110.38
67000,5.3050194,2.9734720867940814,54526,-0.0008806023,0.7143902,0.9537053257226944,0.008164,0.001534452,-0.06605294,67,6700000,247.9375319480896,106.92
68000,5.2964416,3.0981774582100274,57579,-0.000941542,0.73353684,0.9526860490441322,0.010901,0.0018889302,-0.062960096,68,6800000,251.50719380378723,105.59
69000,5.288905,2.4873152831109837,52970,-0.0006337938,0.6424478,0.9592671655118465,0.009889999,0.0015872559,-0.06983328,69,6900000,255.0101158618927,93.87
70000,5.2788815,2.7725477737009077,55003,-0.00084680197,0.71514547,0.9546925947070122,0.011349,0.0019457007,-0.062858224,70,7000000,258.72566628456116,95.89
71000,5.2699237,3.180317137805032,56312,-0.0010509781,0.65959525,0.9582205228507519,0.010702001,0.0018578978,-0.06494756,71,7100000,262.30357456207275,104.68
72000,5.2637324,3.44119677818122,56817,-0.0009095367,0.67107207,0.9572205916047096,0.010472001,0.0019285178,-0.063840024,72,7200000,265.8182637691498,106.72
73000,5.2550783,2.782171344169119,50051,-0.001138303,0.5824595,0.9634598307311535,0.011766,0.0019128161,-0.065576814,73,7300000,269.3291084766388,101.48
74000,5.2437105,3.646987740495197,55336,-0.0011220906,0.72253144,0.9549496211111546,0.015454,0.0022932442,-0.06286567,74,7400000,273.0913083553314,99.95
