true_reward,total_timesteps,n_updates,fps,ep_reward_mean,ep_len_mean,policy_entropy,approxkl,time_elapsed,explained_variance,policy_loss,clipfrac,serial_timesteps,value_loss
0.06267202,25000,1,2980,15.829819232548639,248.29,-3.7534707,0.44848713,0.0006117820739746094,0.9411431439220905,0.07502675,0.64229596,250,0.61882997
0.06612323,50000,2,58629,16.906828454662136,247.03,-3.7500007,0.113374844,8.927274942398071,0.9244353994727135,0.040577732,0.536104,500,0.698465
0.06940694,75000,3,56808,17.658513374421744,246.41,-3.746545,0.117507935,9.71812915802002,0.9207979813218117,0.042110167,0.539848,750,0.7657109
0.0690917,100000,4,57105,17.431950830896202,248.66,-3.7447495,0.02754944,10.521179676055908,0.9294394627213478,0.009477204,0.24534401,1000,0.6434167
0.061293803,125000,5,57996,15.829647514577736,245.76,-3.745523,0.014070181,11.333727836608887,0.9174886494874954,0.0022952084,0.180828,1250,0.7852331
0.064033605,150000,6,57731,16.1794929774286,248.62,-3.7467346,0.032118812,12.13182520866394,0.9426901787519455,0.011701183,0.32774,1500,0.5258976
0.06469955,175000,7,46871,16.23026098549948,247.69,-3.7465172,0.008609181,12.936498880386353,0.9428643770515919,-4.398002e-05,0.116316006,1750,0.50001585
0.06153782,200000,8,54310,15.923086281517172,246.67,-3.748778,0.011648534,13.840054273605347,0.9094120264053345,-0.00048834074,0.158332,2000,0.78411525
0.06418665,225000,9,50807,16.19796867013034,247.66,-3.7518432,0.016950417,14.6733717918396,0.9451551362872124,0.0052499785,0.208144,2250,0.48245972
0.06380644,250000,10,56573,16.47875510583966,245.96,-3.7542884,0.009359817,15.545240879058838,0.9360287487506866,0.00039782157,0.12285199,2500,0.6695309
0.06868667,275000,11,48673,17.66421745317908,246.48,-3.757964,0.0069838027,16.361403942108154,0.9145675227046013,-0.0012397469,0.08934,2750,0.82957363
0.055466235,300000,12,57800,14.18085748104273,246.94,-3.7612443,0.030240675,17.238084316253662,0.9471945203840733,0.011310448,0.30545202,3000,0.53012884
0.067054495,325000,13,52085,16.925470612918453,248.51,-3.761149,0.020672966,18.018136262893677,0.9442436322569847,0.0076412284,0.24927202,3250,0.52493674
0.06151832,350000,14,56798,15.728456541426077,245.49,-3.7618632,0.009484766,18.860539436340332,0.9375744685530663,-0.0020278757,0.12864399,3500,0.62604934
0.065353535,375000,15,45025,16.502458216790682,248.9,-3.762941,0.0149632,19.67517113685608,0.953263882547617,0.0033796534,0.18312399,3750,0.45963755
0.06616076,400000,16,57150,16.731176415634256,248.03,-3.760537,0.013046013,20.602164030075073,0.953818965703249,0.0030375686,0.16380401,4000,0.43181056
0.0693675,425000,17,57543,17.69587054997477,247.4,-3.7597651,0.019912895,21.408493280410767,0.933869481086731,0.0051247273,0.25790802,4250,0.67578477
0.06715685,450000,18,56913,16.968123784265355,248.9,-3.7616107,0.008376693,22.208293437957764,0.9393302872776985,-0.0010484655,0.11024,4500,0.5460601
0.06011942,475000,19,56727,15.727241094967685,245.06,-3.7678807,0.03378428,22.996513605117798,0.9394508190453053,0.013328674,0.34752,4750,0.6619016
0.07290892,500000,20,57547,18.39327575516982,248.9,-3.7711437,0.017195854,23.793610334396362,0.9526501968502998,0.0042590415,0.21717198,5000,0.48443395
0.06752639,525000,21,56050,17.070282358372605,248.94,-3.7726321,0.010488226,24.584735870361328,0.9369988441467285,0.00026034593,0.137344,5250,0.5469415
0.0650917,550000,22,56574,16.63605867687037,247.83,-3.7740493,0.016549174,25.39546275138855,0.9408520422875881,0.002791218,0.206496,5500,0.57618594
0.06800702,575000,23,56679,17.15781170837763,248.85,-3.775165,0.017149834,26.20009422302246,0.9446813017129898,0.0064214184,0.222928,5750,0.5111291
0.06710664,600000,24,58313,16.90676219867877,248.21,-3.7746563,0.016145363,27.00615620613098,0.9491432197391987,0.0037510644,0.18526,6000,0.52656114
0.06892632,625000,25,51496,17.6075632612707,248.34,-3.7753093,0.014804664,27.791889190673828,0.9447231478989124,0.003302912,0.17107199,6250,0.5808102
0.06522254,650000,26,57033,16.619494497487395,247.3,-3.7775414,0.015761964,28.6228449344635,0.9308846667408943,0.0036628607,0.17778799,6500,0.7027843
0.06616556,675000,27,58566,17.10026540105191,246.57,-3.776748,0.0077679507,29.41590404510498,0.9381994158029556,-0.0023921882,0.103608,6750,0.66607314
0.062484503,700000,28,57624,15.934676151714884,246.35,-3.7754295,0.014392525,30.20038652420044,0.944396361708641,0.0020074458,0.183072,7000,0.5616379
0.065104924,725000,29,58077,16.455960725792885,249.01,-3.7758152,0.024884079,30.988246202468872,0.946330513805151,0.008224676,0.27062002,7250,0.5566384
0.07159812,750000,30,38123,18.06746800054003,248.83,-3.7766907,0.015382742,31.77116560935974,0.9533469341695309,0.005109831,0.19154401,7500,0.49000916
0.06742748,775000,31,57442,17.183806348221843,247.83,-3.7777596,0.010180243,32.78693127632141,0.9469680190086365,0.00062370923,0.13225201,7750,0.54790604
0.066819236,800000,32,56671,16.824221748284437,248.39,-3.779129,0.012702921,33.563035011291504,0.9496408440172672,0.0039463677,0.16493201,8000,0.5038632
0.06960732,825000,33,51465,17.401830638848587,250.0,-3.7820225,0.009155938,34.3621392250061,0.9474262557923794,-4.8136066e-05,0.120731995,8250,0.4874537
0.06462692,850000,34,56986,16.342267217002735,248.85,-3.7864063,0.013743192,35.198954820632935,0.9497179538011551,0.0025758776,0.16666,8500,0.45262527
0.06938355,875000,35,57573,17.537517802763258,249.63,-3.7875304,0.015276173,35.99636220932007,0.94935242831707,0.0039913356,0.188532,8750,0.47631875
0.06211874,900000,36,55913,16.05647185465834,246.71,-3.787648,0.011423204,36.78887391090393,0.9373476430773735,-0.00019943764,0.149376,9000,0.6297431
0.06668544,925000,37,56732,16.806212557169637,248.44,-3.7884896,0.020937933,37.58756184577942,0.9510865956544876,0.0073102238,0.259152,9250,0.46785694
0.062190488,950000,38,58103,15.9075456311346,247.82,-3.7901886,0.015607682,38.394073486328125,0.9394289255142212,0.003529713,0.1917,9500,0.5633395
0.060270682,975000,39,57302,15.262118641462038,249.5,-3.7935643,0.015717724,39.17492914199829,0.941502045840025,0.004283215,0.19658801,9750,0.5526022
0.06116721,1000000,40,57292,15.4653543469742,248.71,-3.798029,0.015708176,39.9791100025177,0.9359571859240532,0.0052732,0.20405999,10000,0.54608
0.060934532,1025000,41,40502,15.572847268612131,246.82,-3.7999432,0.007382185,40.76262617111206,0.9353822767734528,-0.0010621039,0.098303996,10250,0.6013677
0.06405412,1050000,42,56076,16.39145589747466,248.41,-3.8035493,0.02583217,41.74168109893799,0.9369960576295853,0.008983575,0.28296798,10500,0.5696935
0.063109,1075000,43,56048,16.50427653340068,246.19,-3.8071141,0.04123338,42.55303335189819,0.9190343022346497,0.015352768,0.386232,10750,0.76537746
0.058446344,1100000,44,57492,14.78279743859437,248.9,-3.8099542,0.02353562,43.34431266784668,0.9284395575523376,0.0066797724,0.26394802,11000,0.53382754
