value_loss,clipfrac,policy_entropy,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,true_reward,time_elapsed,total_timesteps,approxkl,ep_reward_mean
31.61106,0.029728001,5.6778517,0.007118642330169678,250,31.95,1,2992,-0.0035592266,-0.35696098,0.0010905265808105469,25000,0.0030710767,0.6341707780490833
25.27274,0.00022799999,5.6803875,0.0033642053604125977,500,40.48,2,37032,-0.00050769805,-0.29119775,8.915564060211182,50000,0.0005132081,0.8157554131466895
23.348862,0.017484,5.682008,0.0053369998931884766,750,40.96,3,55454,-0.0024761376,-0.27998006,10.009713172912598,75000,0.0023290825,0.8137665781285613
20.987026,0.00072799996,5.682061,0.008541643619537354,1000,43.34,4,54593,-0.000964794,-0.25951323,10.8864164352417,100000,0.00067715254,0.8891823525168001
18.734756,0.000504,5.6811166,0.0037017464637756348,1250,52.53,5,54640,-0.00035278057,-0.2382943,11.749556303024292,125000,0.00071367575,1.1635523075214587
17.133987,0.0052839997,5.6829185,0.009190917015075684,1500,53.4,6,54620,-0.00085178594,-0.22715275,12.601224184036255,150000,0.0014092446,1.1497953666560352
15.448692,0.00068,5.686995,0.015578627586364746,1750,49.15,7,55418,-0.0011677176,-0.20730777,13.448803901672363,175000,0.00055893697,1.0362227113253903
14.499077,0.0047279997,5.6903844,0.010418355464935303,2000,50.72,8,49591,-0.00013104078,-0.20564914,14.288060903549194,200000,0.0013861072,1.184005067422986
13.450197,0.025852,5.688592,0.011643052101135254,2250,50.59,9,53380,-0.0023254193,-0.19678175,15.200075626373291,225000,0.0028903275,1.029325098942063
12.486738,0.012604,5.685035,0.028967618942260742,2500,56.13,10,55094,-0.0018011887,-0.19432242,16.08097791671753,250000,0.00189691,1.1304575526391272
11.720593,0.006104,5.6819835,0.0071067214012146,2750,57.66,11,55144,-0.00075214007,-0.18478195,16.93107795715332,275000,0.0013651203,1.2251771185963298
9.817434,0.02606,5.6810465,0.042050182819366455,3000,63.79,12,57003,-0.00047752418,-0.16000694,17.77230715751648,300000,0.003016892,1.1969148832415248
