total_timesteps,ep_len_mean,value_loss,policy_loss,explained_variance,policy_entropy,serial_timesteps,time_elapsed,n_updates,approxkl,true_reward,fps,ep_reward_mean,clipfrac
25000,248.57,0.43881455,0.00810237,0.8843539953231812,0.949721,250,0.0006282329559326172,1,0.027270306,0.040400308,2987,10.252353365716372,0.257972
50000,250.0,0.30880037,-0.00038654357,0.9059257432818413,0.951985,500,8.88217043876648,2,0.0053693037,0.04297043,38330,10.742607558883664,0.063568
75000,246.25,0.43328986,-0.00089227536,0.8570452779531479,0.9502584,750,9.933099031448364,3,0.00423645,0.041022617,58299,10.324323043760996,0.045492
100000,248.35,0.38612264,-0.0011649199,0.8865807726979256,0.94414043,1000,10.741175889968872,4,0.005049855,0.040350437,57926,10.240320120100805,0.058640003
125000,250.0,0.34617785,-0.0014448126,0.900456614792347,0.9364395,1250,11.564037561416626,5,0.004523906,0.04606418,57803,11.51604538456706,0.049516
150000,248.93,0.39125958,-0.0011444716,0.8927156925201416,0.9269632,1500,12.37943148612976,6,0.004943137,0.04166093,44029,10.588129228831903,0.057408005
175000,248.48,0.44186324,-0.001543554,0.8645934015512466,0.9175542,1750,13.332573413848877,7,0.0037604198,0.045156576,57002,11.44326392492656,0.036383998
200000,242.97,0.7983497,-0.001528996,0.7788560688495636,0.910256,2000,14.147554159164429,8,0.004827149,0.04031343,55413,10.548011735908476,0.054008
225000,245.17,0.38010865,-0.0015615982,0.8979720696806908,0.90823305,2250,14.963787078857422,9,0.0052742986,0.042797055,56063,10.954239419919395,0.061892003
250000,250.0,0.31788093,-0.0014529455,0.8835063129663467,0.90867025,2500,15.779595136642456,10,0.003608092,0.04082616,56397,10.206539778546862,0.035263997
275000,248.35,0.4625411,-0.0009975473,0.8609247803688049,0.90722466,2750,16.59488821029663,11,0.0040761726,0.044399206,56412,11.248840253070169,0.04326
300000,248.9,0.45554286,-0.002191917,0.8702589720487595,0.90290135,3000,17.425598859786987,12,0.005939438,0.04478393,47994,11.368160394388243,0.07378
325000,246.63,0.5244719,-0.0012100183,0.8674363791942596,0.8965646,3250,18.326010704040527,13,0.00477785,0.044963524,57494,11.552379927360109,0.052236002
350000,244.02,0.66836846,-0.0009879543,0.7915813624858856,0.89122087,3500,19.129201650619507,14,0.0051549845,0.041889284,56623,10.947023875137274,0.059192
375000,241.98,0.876962,-0.0010476471,0.7248893678188324,0.8864881,3750,19.94277858734131,15,0.0061988453,0.03854149,55975,10.196489302463332,0.077508
400000,248.47,0.43192133,-0.0015463826,0.8643178790807724,0.8859366,4000,20.767553091049194,16,0.004572374,0.042406883,56445,10.65250387739463,0.050520003
425000,244.88,0.72643673,-0.0009904334,0.7657869458198547,0.8848737,4250,21.591394424438477,17,0.006424333,0.04126112,56198,10.767414110186547,0.082788005
450000,244.8,0.6300781,-0.0014376177,0.8163325041532516,0.88471854,4500,22.409655809402466,18,0.0035354816,0.044609796,56347,11.506085098785743,0.036324
475000,250.0,0.33559725,-0.0014666984,0.869424968957901,0.8838242,4750,23.228867292404175,19,0.0044360375,0.043396473,57190,10.849118596226322,0.05018
500000,246.93,0.6089459,-0.0016901627,0.8447569161653519,0.87906,5000,24.025848627090454,20,0.0055698184,0.04577953,55065,11.751233677074833,0.067908004
525000,246.84,0.72629327,-0.0023295176,0.8300774544477463,0.8747568,5250,24.857515811920166,21,0.0052092536,0.05229772,55615,13.267349150601659,0.061748005
550000,247.5,0.4074913,-0.001702322,0.8951634764671326,0.8738087,5500,25.68310809135437,22,0.004541003,0.04787036,55661,11.98559549987949,0.05168
575000,243.84,0.7370502,-0.0015114251,0.8091429620981216,0.8731569,5750,26.510367155075073,23,0.0053954185,0.04596348,42921,11.891627708705682,0.066696
600000,248.75,0.4665044,-0.0014467066,0.8697436153888702,0.8701204,6000,27.453527688980103,24,0.0054637077,0.045565568,47004,11.558911645488843,0.066383995
625000,248.18,0.4112025,-0.0017690519,0.8839707672595978,0.8647485,6250,28.354207277297974,25,0.0054288437,0.042975944,55616,10.883618505473223,0.065231994
650000,247.66,0.3722378,-0.0013723654,0.8992203027009964,0.8605186,6500,29.170623779296875,26,0.004517794,0.04573513,55807,11.553823269841551,0.049179997
675000,246.37,0.5085319,-0.0009474164,0.8741843551397324,0.8600626,6750,29.989533185958862,27,0.005989755,0.044163954,43747,11.344848718480844,0.074708
700000,250.0,0.26764327,-0.0016348315,0.914207749068737,0.8571614,7000,30.937976121902466,28,0.004871038,0.040464718,56568,10.116179690329064,0.055028
725000,250.0,0.34281662,-0.0011045599,0.8854455649852753,0.85143983,7250,31.75380825996399,29,0.00403632,0.044964526,47311,11.24113133705805,0.043416
750000,248.8,0.39505792,-0.0015174614,0.8856449127197266,0.84721136,7500,32.66802740097046,30,0.004965032,0.04157523,53787,10.571845240185247,0.057151996
775000,248.27,0.4221092,-0.0007975797,0.8849619776010513,0.8416783,7750,33.51045036315918,31,0.004923667,0.043869913,47934,11.131552692765254,0.055336
800000,248.55,0.36717492,-0.0014598155,0.8771967738866806,0.8410405,8000,34.395689249038696,32,0.005790654,0.03988403,57672,10.13801806765776,0.070796
825000,248.76,0.3387633,-0.0012032868,0.8844615295529366,0.8407836,8250,35.1950626373291,33,0.0044070734,0.037571173,57006,9.564968373837427,0.047539998
850000,248.54,0.4680527,-0.001584767,0.8831522986292839,0.8365386,8500,35.99247980117798,34,0.0038453373,0.045047358,57656,11.431343518640041,0.038708
875000,245.13,0.60171294,-0.0017053032,0.8418040871620178,0.83353233,8750,36.79209923744202,35,0.00548366,0.041700624,56436,10.922473376879097,0.06658801
900000,248.2,0.4572416,-0.0019445664,0.8617133349180222,0.83260095,9000,37.60381770133972,36,0.0050761392,0.039199106,56845,10.16403253772868,0.058812004
925000,250.0,0.3242064,-0.0014171159,0.88994549959898,0.8341853,9250,38.41668510437012,37,0.004958046,0.042636864,56372,10.659216643549808,0.054724
950000,246.96,0.53642815,-0.0009802481,0.8655120581388474,0.83307534,9500,39.2408287525177,38,0.004915499,0.04435593,47825,11.418460915209799,0.055931997
975000,248.21,0.4870109,-0.0019066598,0.8550612181425095,0.82840043,9750,40.29284405708313,39,0.0047668684,0.04448049,48611,11.256514497650812,0.056216
1000000,250.0,0.3575714,-0.0017823754,0.8881623446941376,0.82157314,10000,41.24667716026306,40,0.0036431346,0.043825753,54006,10.956437215157571,0.035432
1025000,250.0,0.31539237,-0.002061736,0.9154212847352028,0.8210331,10250,42.08037805557251,41,0.0046530827,0.043944623,34599,10.98615664251928,0.051912
1050000,250.0,0.35103184,-0.001361963,0.8902190029621124,0.82033587,10500,43.188270568847656,42,0.0046256543,0.046470456,57179,11.617612954218107,0.050968003
1075000,246.9,0.51472646,-0.0005061198,0.84432153403759,0.81941223,10750,43.999160289764404,43,0.007704319,0.041599162,58692,10.733068497962359,0.102244
1100000,248.55,0.4335857,-0.0016644675,0.8940051719546318,0.8204048,11000,44.809746503829956,44,0.0049179015,0.044552978,52855,11.309578715533789,0.056996
1125000,248.63,0.40881675,-0.001225689,0.8882450386881828,0.8217908,11250,45.72832202911377,45,0.005829278,0.045216147,54699,11.474943380798576,0.073764
1150000,250.0,0.36627463,-0.000966007,0.8790918737649918,0.8215634,11500,46.674580574035645,46,0.003524889,0.045608006,53908,11.402002251201612,0.033752
1175000,250.0,0.29740173,-0.0014470548,0.8982373178005219,0.81752825,11750,47.56287598609924,47,0.0043918295,0.042423423,52352,10.605855755951161,0.047312
1200000,250.0,0.40759546,-0.0011945233,0.8878918811678886,0.81091756,12000,48.483368158340454,48,0.004346087,0.046256967,44799,11.56424173492942,0.046144
1225000,250.0,0.38494703,-0.001480796,0.9056604579091072,0.8036291,12250,49.44286012649536,49,0.0044899047,0.04920981,47900,12.302452493606042,0.051551998
1250000,250.0,0.34819505,-0.001496843,0.9153576865792274,0.7983205,12500,50.39034676551819,50,0.0037718278,0.047108185,48834,11.777045355436366,0.038848
1275000,250.0,0.37194806,-0.00082514377,0.9036424085497856,0.791831,12750,51.35843324661255,51,0.0064837458,0.04784411,47433,11.961026324721974,0.08086799
1300000,250.0,0.31142622,-0.001529025,0.914703831076622,0.7831719,13000,52.36959791183472,52,0.00528696,0.04433336,52532,11.08334067558433,0.061268
1325000,244.98,0.5568909,-0.0017543227,0.8719545602798462,0.77608925,13250,53.26812767982483,53,0.005473529,0.04086731,45620,10.702674372151451,0.068788
1350000,250.0,0.37810344,-0.000701994,0.8895227089524269,0.7717575,13500,54.29188895225525,54,0.0072099315,0.04644563,49643,11.611406094992617,0.095195994
1375000,250.0,0.3049095,-0.0015919919,0.9235583692789078,0.77103823,13750,55.24703645706177,55,0.0040268144,0.045354884,53321,11.338720963332099,0.040172
1400000,250.0,0.34946376,-0.0009865983,0.8887743502855301,0.7713434,14000,56.09785985946655,56,0.004847982,0.0430846,52190,10.77115010916289,0.055807997
1425000,250.0,0.30526778,-0.0013422358,0.9195360392332077,0.77049696,14250,56.98060154914856,57,0.004736647,0.045072485,53210,11.26812187223819,0.050879996
1450000,250.0,0.2727871,-0.0017445277,0.9235094860196114,0.7677444,14500,57.89167642593384,58,0.0059963353,0.041716684,54411,10.429171977625629,0.074052006
1475000,250.0,0.31558293,-0.0019723414,0.9236764013767242,0.7661504,14750,58.79107069969177,59,0.005376653,0.045106295,53488,11.276573244291486,0.061932005
1500000,250.0,0.301171,-0.0011447682,0.9295657649636269,0.7609983,15000,59.67135763168335,60,0.0052970294,0.046951327,50229,11.737831706493289,0.062823996
1525000,250.0,0.33515996,-0.0019126249,0.9060205966234207,0.7561711,15250,60.6039183139801,61,0.0048863916,0.044337202,50361,11.08430104996133,0.055196
1550000,250.0,0.3820911,-0.001447871,0.9074637070298195,0.75240916,15500,61.62362003326416,62,0.0053740307,0.04767261,48925,11.91815248146905,0.065840006
1575000,250.0,0.3642655,-0.0013359807,0.9222225248813629,0.7451368,15750,62.561012268066406,63,0.0046668733,0.049479228,53613,12.369806941658004,0.05258
1600000,249.56,0.42790908,-0.0024683152,0.8874241635203362,0.7410189,16000,63.45943331718445,64,0.0045402558,0.04456649,53442,11.332350834124272,0.0497
1625000,250.0,0.40482226,-0.0016915535,0.9076869562268257,0.73951805,16250,64.29962968826294,65,0.0040673907,0.04792737,55008,11.981841922194354,0.041104
1650000,250.0,0.3419436,-0.0014612696,0.9244021251797676,0.7337369,16500,65.14440703392029,66,0.0046701333,0.04680686,57210,11.7017140673862,0.052736003
1675000,247.76,0.40791073,-0.0014158252,0.9168940931558609,0.72864133,16750,65.96827459335327,67,0.0044087316,0.046124533,56770,11.533972878957107,0.050583996
1700000,248.75,0.45271248,-0.0016902523,0.90162792801857,0.7233677,17000,66.80595874786377,68,0.004696242,0.04714697,56655,11.956356166063856,0.050988
1725000,250.0,0.31695682,-0.0017473655,0.9090127274394035,0.7195293,17250,67.63848996162415,69,0.004397366,0.042329833,49504,10.582457511552947,0.04878
1750000,250.0,0.36609033,-0.0012709682,0.9195952266454697,0.71732366,17500,68.54563570022583,70,0.004450234,0.04671338,57898,11.678344791982573,0.050540008
1775000,247.59,0.4094953,-0.0013669122,0.9032057970762253,0.71573126,17750,69.37281203269958,71,0.0047608567,0.0466916,56564,11.801751884687224,0.0559
1800000,246.62,0.47410244,-0.00087101955,0.8857710137963295,0.71377546,18000,70.20638728141785,72,0.003981494,0.040868547,57989,10.392075603063258,0.039788
1825000,250.0,0.35376602,-0.0014110573,0.9165019541978836,0.71095276,18250,71.03180599212646,73,0.0040696464,0.04779298,54738,11.948243595920577,0.043116
1850000,250.0,0.37291017,-0.00091765495,0.9231642931699753,0.7053382,18500,71.86560249328613,74,0.004900252,0.04853813,45465,12.134533548198597,0.056512
1875000,247.55,0.40037042,-0.0017603673,0.9114724770188332,0.70062304,18750,72.79604077339172,75,0.0059040766,0.04615019,55112,11.532434868342452,0.072863996
1900000,250.0,0.3278762,-0.0014036822,0.9220308363437653,0.696805,19000,73.63272166252136,76,0.0039911857,0.04505273,55644,11.263183025961025,0.041856
1925000,245.82,0.5107924,-0.0011049224,0.8802452310919762,0.6947648,19250,74.45976734161377,77,0.004620317,0.04583632,56298,11.708799312087168,0.051271997
1950000,247.1,0.41253662,-0.0016822641,0.899529755115509,0.69330764,19500,75.30507230758667,78,0.004739859,0.03953637,54979,10.215658896135938,0.055191994
1975000,247.7,0.37705454,-0.0020827234,0.9108112826943398,0.6934949,19750,76.1534435749054,79,0.0040005078,0.044579767,54949,11.140863909646992,0.04178
2000000,246.24,0.4258696,-0.001643711,0.8884254172444344,0.69256055,20000,76.9920973777771,80,0.004985704,0.04029124,55297,10.364133603338091,0.058036
2025000,250.0,0.25297832,-0.00017667371,0.9194044917821884,0.69302434,20250,77.82292866706848,81,0.006594386,0.039423414,52331,9.85585305458485,0.08564
2050000,247.41,0.43966484,-0.001012709,0.8718888759613037,0.6925095,20500,78.74491620063782,82,0.005808801,0.04045992,49101,10.451860269331245,0.07072
2075000,247.5,0.36968115,-0.0016664257,0.9034025371074677,0.6924353,20750,79.70193481445312,83,0.0034036324,0.04478194,50813,11.317418394413707,0.032139998
2100000,246.05,0.57937956,-0.001032591,0.8291655331850052,0.69448817,21000,80.65300369262695,84,0.0058691334,0.040249947,51456,10.564938268549247,0.07484
