n_updates,ep_len_mean,value_loss,time_elapsed,total_timesteps,clipfrac,serial_timesteps,ep_reward_mean,true_reward,policy_loss,policy_entropy,fps,explained_variance,approxkl
1,8.82,583.9325,0.0013990402221679688,25000,0.002268,250,0.18977797936015123,-3.94034,-0.00075112167,5.676868,2980,0.01067209243774414,0.000577778
2,8.39,579.862,9.001665592193604,50000,0.004928,500,0.19162172321255638,-3.99289,-0.00010677596,5.6799564,27370,0.01444309949874878,0.001341621
3,7.93,567.1053,10.402608633041382,75000,0.006708,750,0.0922430511443963,-3.9799697,-0.00015421101,5.6781044,42753,0.018192946910858154,0.0015066585
4,9.2,549.2773,11.463148593902588,100000,0.0077639995,1000,0.09736250152471257,-3.962113,-7.584057e-05,5.674904,52618,0.02334749698638916,0.00159919
5,10.58,532.9461,12.40910792350769,125000,0.017407998,1250,0.1979209322931274,-3.9056654,-0.0005465052,5.673716,51713,0.026806354522705078,0.002392583
6,8.61,521.9888,13.367695331573486,150000,0.0065920004,1500,0.2282791140025256,-3.921393,-0.00023638425,5.6720457,37445,0.028685808181762695,0.0014880059
7,7.44,509.16992,14.509328603744507,175000,0.016752,1750,0.18048451170965563,-3.892943,-0.0004995955,5.672158,52982,0.03646951913833618,0.002430886
8,9.69,488.31064,15.44631052017212,200000,0.010916,2000,0.18183927398888045,-3.865662,-6.7738154e-05,5.670966,51302,0.03939551115036011,0.0019870177
9,9.12,483.50723,16.389905214309692,225000,0.011152,2250,0.14464096619787598,-3.9402916,-0.0005712878,5.66464,51544,0.04794341325759888,0.0019982604
10,11.06,461.38794,17.359149932861328,250000,0.00596,2500,0.28588642579881707,-3.8671925,-0.00063200464,5.6594896,51790,0.04920428991317749,0.0012854267
11,8.5,443.32745,18.308890342712402,275000,0.009328,2750,0.12357175872515654,-3.7899184,-0.0004638195,5.659206,41522,0.05735701322555542,0.0016076909
12,9.23,426.32355,19.378286361694336,300000,0.011019999,3000,0.21325057826097235,-3.8180697,-0.00035380138,5.6604223,46495,0.06138640642166138,0.002046133
13,9.55,423.73755,20.403695106506348,325000,0.01044,3250,0.11933029932471982,-3.9536266,-0.0004908511,5.6622667,51546,0.06897586584091187,0.0018940065
14,7.85,403.48907,21.375887870788574,350000,0.0107040005,3500,0.19362226582146833,-3.8382418,-0.0010228131,5.6606917,52634,0.08317035436630249,0.001746868
15,7.91,390.9734,22.32257390022278,375000,0.009539999,3750,0.11989118759810481,-3.8879607,-0.0008762974,5.6604886,52755,0.09060096740722656,0.0016355517
16,9.71,375.72955,23.25943112373352,400000,0.00852,4000,0.21695026198714915,-3.8517127,-0.00037829025,5.6625333,35006,0.0922815203666687,0.0016410282
17,9.45,352.69,24.438353776931763,425000,0.017136,4250,0.14578714476828736,-3.7651536,-0.00038999956,5.6653194,40872,0.10292249917984009,0.0024373902
