policy_loss,serial_timesteps,ep_reward_mean,explained_variance,true_reward,approxkl,n_updates,fps,policy_entropy,time_elapsed,ep_len_mean,clipfrac,value_loss,total_timesteps
-0.0054760105,250,0.6594761058781295,0.00645369291305542,-0.19115719,0.0046582455,1,3019,5.679551,0.001390218734741211,32.95,0.057,7.9537644,25000
-0.0002831107,500,0.7642129769698659,0.0052983760833740234,-0.14538094,0.000369581,2,34693,5.6843686,8.856419801712036,39.35,0.000128,5.766099,50000
-0.00131065,750,0.7992719671082159,0.01383894681930542,-0.119867936,0.004846786,3,54870,5.688672,9.975299835205078,41.64,0.059023995,4.4750204,75000
-0.001362243,1000,0.9071111453117919,0.017407774925231934,-0.11590068,0.0032541994,4,45471,5.684382,10.828725099563599,44.81,0.031232,4.013021,100000
-0.0019834086,1250,0.8815429342741481,0.015431523323059082,-0.11745099,0.0016457926,5,54730,5.67968,11.787562608718872,45.1,0.011004,3.7400212,125000
-0.000718546,1500,0.9134508915245533,0.03296023607254028,-0.11098587,0.00029283934,6,51206,5.6751413,12.62296986579895,44.5,4.0000003e-05,3.3161716,150000
-0.0016831923,1750,1.160535484788561,0.04679316282272339,-0.09732809,0.0011985457,7,55028,5.6719756,13.502101182937622,61.04,0.0055440003,2.702001,175000
-0.0014071827,2000,1.2258145209750364,0.022361576557159424,-0.09045579,0.0007094478,8,55743,5.6716,14.338188648223877,58.37,0.003444,2.4642873,200000
-0.0009946423,2250,1.1981990603853774,0.05117148160934448,-0.08765507,0.0016250847,9,55383,5.6736746,15.172905206680298,63.39,0.0078040003,2.1628613,225000
-0.0028043992,2500,1.134163729705615,0.12298464775085449,-0.08598593,0.0026873865,10,55727,5.6703234,16.003820657730103,61.22,0.027368,1.8987124,250000
-0.0031045252,2750,1.4057351390398936,0.11232835054397583,-0.071927175,0.0039874827,11,56614,5.665593,16.835245609283447,75.28,0.04636,1.6500059,275000
-0.004608692,3000,1.239867387695631,0.23352301120758057,-0.07439353,0.0050541773,12,55278,5.6601157,17.649604320526123,63.78,0.065919995,1.4323756,300000
-0.002885913,3250,1.5275255631768414,0.20126551389694214,-0.05483747,0.0032973657,13,35444,5.650096,18.48281192779541,79.88,0.032159995,1.1760336,325000
-0.0026270403,3500,1.5045053346152053,0.3094310760498047,-0.043191783,0.0039552534,14,48213,5.6347327,19.575214385986328,93.4,0.041808,0.98722917,350000
-0.0017672708,3750,1.7657441936765235,0.4023582935333252,-0.03402415,0.0019874496,15,55432,5.626567,20.477890253067017,100.44,0.015323999,0.8702586,375000
-0.0025229864,4000,1.8709858418611112,0.3867694139480591,-0.030439634,0.0025684875,16,43726,5.6233854,21.28685688972473,99.2,0.021060001,0.86422384,400000
-0.0026640482,4250,2.084288657596135,0.5106177628040314,-0.021265253,0.0042535528,17,54950,5.619685,22.236618280410767,113.48,0.04882,0.72919965,425000
-0.0021647722,4500,1.9094657983328898,0.6366294622421265,-0.017904071,0.002714552,18,55332,5.618735,23.061904430389404,100.19,0.024536,0.60900944,450000
-0.0038474605,4750,1.8006358314626323,0.6503161787986755,-0.020969018,0.0047913045,19,55836,5.614359,23.881224632263184,95.48,0.058256,0.5921948,475000
-0.0028393173,5000,2.111914927757377,0.6987586915493011,-0.016223764,0.0042020497,20,53183,5.607322,24.706860780715942,101.68,0.050820004,0.57730377,500000
