n_updates,time_elapsed,value_loss,policy_entropy,total_timesteps,policy_loss,approxkl,explained_variance,serial_timesteps,fps,clipfrac,ep_reward_mean,ep_len_mean,true_reward
1,0.0006194114685058594,0.08986266,5.020875,25000,0.0019367216,0.014887588,0.9502492025494576,250,3039,0.149564,9.50780357789853,239.49,0.038008217
2,8.733149528503418,0.064179584,5.02267,50000,-0.00018944194,0.0059223496,0.9710300695151091,500,38535,0.070444,8.806737516051493,223.62,0.03590708
3,9.771732330322266,0.0814995,5.0233874,75000,-0.001736536,0.0056301104,0.9611958526074886,750,56812,0.065792,9.636554465581922,236.78,0.038441934
4,10.574210166931152,0.090354145,5.018899,100000,-0.0012446928,0.0053179106,0.9519357867538929,1000,54925,0.06376,9.564160989105275,234.08,0.038065106
5,11.403632640838623,0.023746047,5.012582,125000,-0.0014333916,0.0035646346,0.9858837379142642,1250,54977,0.03276,9.828532763044263,245.15,0.039358813
6,12.231645107269287,0.057526253,5.002302,150000,-0.0014147301,0.0032498825,0.9645827040076256,1500,47337,0.030831998,9.943933280493775,249.14,0.039449483
7,13.131258249282837,0.023881976,4.9957576,175000,-0.0016519048,0.0026757522,0.9866924211382866,1750,53361,0.019716,10.100819956143223,250.0,0.04040328
8,13.962159633636475,0.021379344,4.992772,200000,-0.00070144475,0.004370252,0.9880283186212182,2000,40736,0.048708003,10.265924533494536,247.5,0.041257355
9,14.954003810882568,0.1619936,4.992154,225000,-0.0012135423,0.003748756,0.8880485221743584,2250,54787,0.039332,9.694991547866476,243.11,0.037964605
10,15.774508237838745,0.07728556,4.996675,250000,-0.0018066115,0.0039185663,0.9416261278092861,2500,55670,0.042519998,9.592377960452641,248.39,0.037725043
11,16.58113694190979,0.13567722,4.998278,275000,-0.002022011,0.005571762,0.9252667352557182,2750,47293,0.06848,9.362954466484798,231.91,0.036832016
12,17.489194631576538,0.14556286,4.998241,300000,-0.0019274928,0.0045193373,0.9301135167479515,3000,55806,0.052959997,9.390516741368854,229.09,0.037561674
13,18.30455732345581,0.29333758,4.996438,325000,-0.0016563538,0.0063434727,0.8548304438591003,3250,56262,0.080568,9.36779547057887,232.83,0.034205027
14,19.099509477615356,0.38366213,4.994074,350000,-0.0018598672,0.006834589,0.7533842772245407,3500,55248,0.089948006,9.493065881639213,241.14,0.033601563
