total_timesteps,clipfrac,policy_entropy,policy_loss,n_updates,fps,true_reward,value_loss,approxkl,explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed
25000,0.109464005,3.1827645,-0.0005530982,1,3204,0.03148631,0.09116432,0.00821176,0.8657014966011047,250,8.001305844419658,243.71,0.0007314682006835938
50000,0.04356,3.1811206,-0.0013545818,2,44465,0.034480445,0.01809102,0.0041879676,0.9726684894412756,500,8.620110565776923,250.0,8.298470497131348
75000,0.059715997,3.1805525,-0.0013455332,3,55226,0.03359115,0.06802255,0.005072257,0.9075256735086441,750,8.453488717746996,246.13,9.229554891586304
100000,0.060704004,3.1807694,-0.0016785735,4,55200,0.033234213,0.045242354,0.0050895037,0.9211755767464638,1000,8.343238304302213,247.54,10.046962261199951
125000,0.035704,3.1771128,-0.0014949217,5,55235,0.03455232,0.017645746,0.0036746904,0.9706789553165436,1250,8.638080055565043,250.0,10.863467931747437
150000,0.052732002,3.1708238,-0.001816364,6,39670,0.033276517,0.03922692,0.004631043,0.9346239566802979,1500,8.356917775399051,248.24,11.680275917053223
175000,0.09014801,3.1667957,-0.0026176404,7,54401,0.034088895,0.08710818,0.006847445,0.8751508966088295,1750,8.617092580138923,244.16,12.692973136901855
200000,0.074368,3.16262,-0.002012556,8,38371,0.03091808,0.043935254,0.0059431633,0.9201882034540176,2000,7.776887609884234,247.84,13.516091585159302
225000,0.062580004,3.1611238,-0.001171118,9,34404,0.033680838,0.049207658,0.00525059,0.9234564080834389,2250,8.455084154504512,248.39,14.531238317489624
250000,0.086091995,3.1577232,-0.0015437112,10,43746,0.032385416,0.10808365,0.0067927116,0.8291670978069305,2500,8.25038725717639,245.84,15.629521608352661
275000,0.086096,3.1563125,-0.0012705344,11,53848,0.03245427,0.074185744,0.0066046612,0.8791498988866806,2750,8.19183550981932,246.79,16.59395146369934
300000,0.032548,3.1532369,-0.0007936956,12,54946,0.032445077,0.11447128,0.003464501,0.8141013383865356,3000,8.18245894089143,244.91,17.425721406936646
325000,0.0308,3.1482701,-0.001333624,13,54665,0.034681134,0.018585615,0.0035098735,0.9690241888165474,3250,8.67028363719277,250.0,18.245537042617798
350000,0.065808006,3.1438057,-0.001133965,14,54918,0.034181908,0.068919644,0.0053494554,0.8927239254117012,3500,8.63961182084753,246.43,19.052481412887573
375000,0.041896,3.1421635,-0.0015518683,15,55457,0.03461089,0.03644229,0.0039501423,0.942287515848875,3750,8.696368174876843,248.42,19.869664192199707
400000,0.064236,3.139099,-0.0011312386,16,54879,0.0335677,0.092905775,0.0053219246,0.862840324640274,4000,8.469568095354076,243.64,20.681127071380615
425000,0.068356,3.1381679,-0.0015263129,17,54756,0.033126384,0.06313073,0.0055407397,0.9032664224505424,4250,8.328604736081797,245.07,21.499971389770508
450000,0.059851997,3.1351707,-0.0014743275,18,55271,0.033217013,0.067311585,0.0050721853,0.892781138420105,4500,8.377047613322684,246.53,22.31674027442932
475000,0.061268,3.1334753,-0.0018881293,19,51419,0.03383868,0.08261125,0.005088511,0.9033586084842682,4750,8.565160228194618,241.6,23.141632795333862
500000,0.060108,3.1377563,-0.0011878987,20,55155,0.033647023,0.1650429,0.0049889213,0.8082546293735504,5000,8.584421695229393,241.27,23.986419677734375
525000,0.035072,3.140923,-0.0011204313,21,55012,0.033927843,0.07907309,0.0035622723,0.8826417922973633,5250,8.528235807477595,246.26,24.794888257980347
550000,0.044991996,3.142506,-0.0007449991,22,54337,0.033756584,0.033989646,0.004100036,0.9467249326407909,5500,8.471058767269716,248.1,25.61555504798889
575000,0.056612004,3.1427755,-0.0013400989,23,55300,0.031986058,0.12865904,0.0048402236,0.844940572977066,5750,8.168322746714384,240.73,26.452919244766235
600000,0.07997601,3.143969,-0.001116009,24,40170,0.0338737,0.089278124,0.0062607704,0.8693063855171204,6000,8.528824354234256,243.68,27.267694234848022
625000,0.069176,3.1412103,-0.0010466848,25,43753,0.03220902,0.11037068,0.0055920305,0.8478126972913742,6250,8.14580387991895,242.4,28.268481969833374
650000,0.07895599,3.1402087,-0.00095125043,26,50048,0.03352033,0.053059034,0.0061944886,0.9134116023778915,6500,8.389003234200546,248.03,29.202067136764526
675000,0.031248,3.1408117,-0.0014332554,27,45256,0.03399406,0.04632705,0.0034842815,0.932961992919445,6750,8.522251381003525,248.03,30.043734550476074
700000,0.060660005,3.1390586,-0.0011611013,28,50997,0.03285722,0.10306592,0.0051135235,0.8623595833778381,7000,8.317816408041072,245.26,30.9584858417511
725000,0.090256006,3.13701,-0.0006033238,29,49857,0.033255048,0.14289342,0.0069678375,0.7960922718048096,7250,8.465442959268604,244.0,31.8008291721344
750000,0.048747998,3.133574,-0.0010307597,30,44916,0.036090247,0.04628768,0.004548534,0.9408312924206257,7500,9.041830688581177,248.19,32.65347099304199
775000,0.10012801,3.1287694,0.00017081706,31,56678,0.036170516,0.021782946,0.007534703,0.9648976847529411,7750,9.042629294883373,250.0,33.56204533576965
800000,0.046960004,3.122816,-0.0014666346,32,54651,0.035376962,0.058579087,0.0043636053,0.9200945571064949,8000,8.88381737348529,247.99,34.354979276657104
825000,0.062399995,3.1187172,-0.0016929772,33,55663,0.03255085,0.03910222,0.005232695,0.9448640681803226,8250,8.174408675153353,248.23,35.16359496116638
850000,0.03434,3.115757,-0.0011928088,34,53906,0.036050968,0.022013512,0.0035354947,0.9672473110258579,8500,9.012742074547345,250.0,35.97288179397583
875000,0.056711994,3.1116035,-0.00077466824,35,55228,0.034211814,0.045687374,0.004876047,0.9307461157441139,8750,8.569954903569778,248.19,36.781575441360474
900000,0.08676,3.1080098,-0.0006960151,36,56420,0.030871855,0.28070417,0.0067164814,0.6756196320056915,9000,8.000758755952276,239.17,37.576491355895996
925000,0.047256,3.105885,-0.0008159233,37,55053,0.03194285,0.20419402,0.0043290975,0.7870553582906723,9250,8.233034952212346,237.96,38.3647141456604
950000,0.054972,3.1083918,-0.0022549399,38,54259,0.032917976,0.09720433,0.0048445417,0.8779380694031715,9500,8.319107649046828,246.54,39.1722469329834
975000,0.087116,3.1104105,-0.0017671117,39,54624,0.03194399,0.20839341,0.006643818,0.7592142075300217,9750,8.240254466973274,240.37,39.988386392593384
1000000,0.07084001,3.1124346,-0.00236558,40,55085,0.036306098,0.0699092,0.0055928654,0.9156748205423355,10000,9.129072498480246,246.41,40.789183139801025
1025000,0.03586,3.1093695,-0.0010881944,41,54905,0.032360632,0.017169263,0.0037546535,0.9764398913830519,10250,8.090157302555435,250.0,41.593719720840454
1050000,0.07189199,3.0997913,-0.0009594569,42,53990,0.033624712,0.13181284,0.0056957635,0.8568885028362274,10500,8.510748611865337,245.2,42.404797315597534
1075000,0.093292,3.096076,-0.0015123964,43,56549,0.031525675,0.10024198,0.0068603316,0.861544206738472,10750,7.9923289269870565,245.22,43.206608057022095
1100000,0.048736,3.095875,-0.00078950525,44,55286,0.031576496,0.30075485,0.004571439,0.6708179712295532,11000,8.196224873458851,237.72,43.99476718902588
1125000,0.069383994,3.0976877,-0.0012283978,45,46547,0.034090407,0.108656324,0.005917989,0.8445495069026947,11250,8.601702529785035,246.45,44.79282522201538
1150000,0.068564,3.1002808,-0.0004183296,46,55392,0.03121178,0.28010815,0.0055968254,0.6933724284172058,11500,8.046865481297028,237.23,45.66344881057739
1175000,0.050187998,3.1023316,-0.0015629146,47,49635,0.033200927,0.20352611,0.0043472643,0.7736357152462006,11750,8.581103281818342,241.33,46.453216791152954
1200000,0.038588,3.1046963,-0.0011949304,48,54725,0.03472689,0.055738382,0.0037882444,0.9360523819923401,12000,8.75639385553004,246.49,47.30298447608948
1225000,0.063659996,3.1039443,-0.0011933829,49,54453,0.03355399,0.20230432,0.005291423,0.7849140614271164,12250,8.596850694616673,239.92,48.10797047615051
1250000,0.046172,3.0999675,-0.0010485614,50,54524,0.03163832,0.26353768,0.004152717,0.7139203548431396,12500,8.206276583565035,235.86,48.91377019882202
1275000,0.09543601,3.0970852,-0.0014783939,51,56355,0.033376917,0.2022321,0.007401603,0.7880175113677979,12750,8.657103847403423,241.94,49.715986490249634
1300000,0.066772,3.0957744,-0.0008642731,52,55899,0.03366632,0.06972368,0.0055635013,0.9093624278903008,13000,8.489561016765247,246.55,50.50531053543091
1325000,0.050856,3.09578,-0.0009432643,53,50537,0.033874135,0.052173756,0.0045806617,0.9353164061903954,13250,8.47426686449803,248.0,51.29292917251587
1350000,0.051435996,3.0961535,-0.0014066261,54,54115,0.033008497,0.10586476,0.004674251,0.8743833601474762,13500,8.364895373914987,242.4,52.13296413421631
1375000,0.054128,3.0946403,-0.0015919537,55,55353,0.034338713,0.036583297,0.0047527384,0.950702577829361,13750,8.619487534563932,248.26,52.94109582901001
1400000,0.05032,3.09466,-0.0009089755,56,55202,0.03486325,0.049445353,0.004579456,0.946527898311615,14000,8.771607321983838,246.56,53.731120109558105
1425000,0.052468,3.0932715,-0.0017982011,57,55381,0.03292716,0.082654044,0.004625744,0.8962662220001221,14250,8.330883580210758,247.69,54.52556896209717
1450000,0.046124004,3.0913098,-0.0014797094,58,45786,0.033853766,0.08914988,0.0042237183,0.9098614901304245,14500,8.547996477404286,244.25,55.32290267944336
1475000,0.08076,3.0909069,-0.0010734489,59,54543,0.032545637,0.10703741,0.006190526,0.8901654705405235,14750,8.236715433647808,241.84,56.22442412376404
1500000,0.06662,3.0885499,-0.0010206008,60,54310,0.032768354,0.039804537,0.0055479454,0.9565612822771072,15000,8.208357725172737,248.15,57.02949619293213
1525000,0.120472,3.0859325,-0.0007488887,61,54433,0.032544486,0.060306005,0.009019087,0.9184164628386497,15250,8.191278102104466,246.41,57.84283137321472
1550000,0.049808003,3.0836358,-0.0013458587,62,53182,0.03266013,0.06537902,0.0046022586,0.923741988837719,15500,8.248480168064361,246.57,58.662201166152954
1575000,0.034300003,3.0845883,-0.0015781134,63,54165,0.033669848,0.044137057,0.0036877594,0.9352640584111214,15750,8.425444704690568,248.07,59.49043154716492
1600000,0.0369,3.0843432,-0.001402754,64,48633,0.035446946,0.06858257,0.0035931305,0.9236351400613785,16000,8.880497072097205,246.12,60.297534465789795
1625000,0.072076,3.080838,-0.00060599006,65,42224,0.034447044,0.022871286,0.005785826,0.9703605324029922,16250,8.611761026354834,250.0,61.149168491363525
1650000,0.054868,3.073751,-0.0015569611,66,43131,0.03506001,0.04688602,0.004778148,0.9420545883476734,16500,8.769163970555637,248.05,62.08371615409851
