fps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,explained_variance,true_reward,policy_loss,value_loss,policy_entropy,time_elapsed,total_timesteps,ep_len_mean,approxkl
3174,0.027983999,1.1373610763438047,1,250,0.015117466449737549,-0.18641618,-0.0032051366,8.461232,5.6756115,0.0014388561248779297,25000,29.32,0.0027703594
41856,0.009048,1.4124311957322062,2,500,0.022700190544128418,-0.16286469,-0.0021229815,7.056063,5.675149,8.422258853912354,50000,35.67,0.0014566694
53986,0.047176,1.6840197281083966,3,750,0.03187131881713867,-0.12767239,-0.0017738519,5.477522,5.6726074,9.431527137756348,75000,44.34,0.0040898114
55482,0.016996,1.5487291921302677,4,1000,0.03067612648010254,-0.11349993,0.0013446205,4.710772,5.6690507,10.320258378982544,100000,38.8,0.002324322
55223,0.053495996,1.8511065964447335,5,1250,0.03607749938964844,-0.106978185,-0.0016563926,4.2265115,5.665783,11.17324686050415,125000,45.55,0.004483187
56585,0.022876,2.1274235102929016,6,1500,0.030174612998962402,-0.089785546,-2.891078e-05,3.503156,5.6603417,12.030052900314331,150000,54.24,0.002682457
55334,0.034724,2.2589159690085214,7,1750,0.054071009159088135,-0.08945374,-0.0022829664,3.2229896,5.6548963,12.862090826034546,175000,57.3,0.0033192846
47390,0.020140002,2.1302044291793574,8,2000,0.04100114107131958,-0.073959425,-0.001670819,2.7172332,5.6513166,13.737330675125122,200000,56.65,0.0025216579
52071,0.008835999,1.6638023918034741,9,2250,0.07195389270782471,-0.07320061,-0.00127293,2.480719,5.648282,14.682564973831177,225000,42.78,0.0015362456
55027,0.033128,2.373663081305713,10,2500,0.09969455003738403,-0.063972294,-0.0026494574,2.1438844,5.644826,15.542454242706299,250000,62.75,0.002945379
43720,0.021588,2.2104675628608677,11,2750,0.17069625854492188,-0.06455296,-0.0021546187,1.9535892,5.6368847,16.413161277770996,275000,54.56,0.0023227292
55447,0.005284,2.299803925396409,12,3000,0.17792552709579468,-0.05006778,-0.0017915459,1.6896064,5.628892,17.377448797225952,300000,56.85,0.0012526661
42474,0.023916002,2.57904872441939,13,3250,0.24400490522384644,-0.042133953,-0.0022881008,1.4782197,5.623573,18.21688985824585,325000,68.03,0.002720657
56510,0.044472005,3.4092701528815814,14,3500,0.2715369462966919,-0.0325259,-0.0031804156,1.4068801,5.616025,19.18886137008667,350000,80.96,0.0040369323
56151,0.021871999,3.643944088961616,15,3750,0.42183125019073486,-0.021189537,-0.0017893523,1.1114314,5.6036696,20.0190532207489,375000,90.69,0.0024468484
50672,0.033256,2.8600915258225177,16,4000,0.3975483179092407,-0.027092524,-0.0022830244,1.246991,5.59526,20.84640908241272,400000,75.41,0.003280639
56533,0.035892,3.584277300428985,17,4250,0.4522872567176819,-0.016573546,-0.0025509761,1.0712589,5.5905194,21.73112678527832,425000,89.82,0.0036042419
56603,0.015412,3.6061513593896235,18,4500,0.44803714752197266,-0.010512048,-0.001724147,1.0408376,5.5866914,22.56787872314453,450000,91.81,0.002102153
50820,0.051716,3.527053513845285,19,4750,0.5174942314624786,-0.009687196,-0.003183794,0.9598363,5.585269,23.395682334899902,475000,93.1,0.0046366854
55552,0.044728,3.684938274864028,20,5000,0.5841784179210663,-0.002395914,-0.0023664117,0.8138,5.5811834,24.27202081680298,500000,96.34,0.003929078
55771,0.013495999,4.702533388355387,21,5250,0.6309657096862793,0.0033828872,-0.0012444109,0.70944417,5.5763273,25.104514598846436,525000,117.59,0.0022445335
32012,0.027532,3.6821589337331897,22,5500,0.6472457349300385,-0.0045937183,-0.0021181628,0.8139232,5.578391,25.92983603477478,550000,96.39,0.0028468585
36660,0.046076003,3.3970756540605542,23,5750,0.6694995760917664,-0.003319473,-0.0022884645,0.7672392,5.579423,27.09454846382141,575000,89.55,0.003887726
56003,0.018911999,4.2646229587790545,24,6000,0.7061450481414795,0.0030228542,-0.0017012231,0.689119,5.574612,28.159361362457275,600000,112.39,0.002490181
49466,0.039164,3.3627350946517254,25,6250,0.7161809206008911,-0.0006915624,-0.0021847729,0.7543747,5.5697002,28.98051381111145,625000,85.57,0.003560876
55234,0.012700001,3.7685151853402568,26,6500,0.7869762778282166,0.007912406,-0.0008073229,0.5686183,5.5658402,29.868165254592896,650000,98.32,0.0020031934
55638,0.062787995,3.69219022511239,27,6750,0.7561379820108414,0.006490191,-0.0025336803,0.6524004,5.5645075,30.712730646133423,675000,97.05,0.0048830407
56205,0.013176,3.9700305001320246,28,7000,0.8309032171964645,0.009412245,-0.00072763127,0.5297095,5.5642757,31.536125421524048,700000,100.43,0.0022488497
55820,0.0069400007,3.4320863807881508,29,7250,0.8400818109512329,0.006221396,-0.0010981559,0.55072176,5.5619817,32.341102600097656,725000,84.85,0.0012941082
55628,0.023207998,4.458167086439462,30,7500,0.8120259493589401,0.009412932,-0.001686034,0.6196129,5.5614133,33.158586502075195,750000,105.21,0.0023469084
55811,0.004596,3.825704138371366,31,7750,0.8771605342626572,0.010276017,-0.0009663291,0.4268705,5.557644,33.990251302719116,775000,91.85,0.0010682223
