serial_timesteps,true_reward,explained_variance,n_updates,ep_reward_mean,total_timesteps,time_elapsed,approxkl,policy_loss,policy_entropy,value_loss,ep_len_mean,clipfrac,fps
250,-0.59710306,-0.022169113159179688,1,0.34035945376381277,25000,0.0015382766723632812,0.004212399,-0.006324563,5.675459,19.654097,8.34,0.050119996,2985
500,-0.56051695,-0.009309053421020508,2,0.37625501457601784,50000,9.051580905914307,0.00070416427,-0.00066542893,5.6721654,17.220352,8.94,0.0007319999,37593
750,-0.5148626,-9.441375732421875e-05,3,0.5155657309730305,75000,10.206894636154175,0.0031754547,-0.004147573,5.669469,14.669214,12.45,0.03296,52668
1000,-0.4970274,0.004006326198577881,4,0.4764018406294053,100000,11.162494421005249,0.0006573081,-0.0024247288,5.6627493,12.913676,11.61,0.001124,52815
1250,-0.47206157,0.004814445972442627,5,0.4743002969629015,125000,12.156791687011719,0.0007629606,-0.0020059415,5.653019,10.931657,11.91,0.001392,52180
1500,-0.44690147,0.005337417125701904,6,0.4855245976554579,150000,13.13246488571167,0.0024277635,-0.0038129236,5.6449285,9.332401,11.51,0.02036,51357
1750,-0.41671777,0.022949635982513428,7,0.6307873588924121,175000,14.103344678878784,0.0011024346,-0.0033319376,5.63663,7.57677,14.48,0.00594,51061
2000,-0.3853345,0.021030962467193604,8,0.611875691190362,200000,15.076019525527954,0.0010867331,-0.0024137544,5.626293,6.2455034,14.18,0.005516,52314
2250,-0.3442017,0.028527259826660156,9,0.7660092764618457,225000,16.046703577041626,0.0019422121,-0.0029456546,5.619745,4.7474647,16.82,0.013475999,52529
2500,-0.32770246,0.02400076389312744,10,0.8926273269883132,250000,17.008712768554688,0.0013570439,-0.0028584725,5.6127157,4.1882124,18.57,0.00744,49752
2750,-0.30508548,0.01804870367050171,11,0.7444696316675982,275000,17.97967505455017,0.0006080145,-0.0022136327,5.6069183,3.469157,17.25,0.0015720001,47674
3000,-0.30155426,0.0038620829582214355,12,1.0590282118131291,300000,19.023846864700317,0.0016276578,-0.002428559,5.603202,3.0673823,20.68,0.012736,50663
3250,-0.26427358,0.08519256114959717,13,1.059573000055243,325000,20.00150227546692,0.0017116988,-0.0036427628,5.599343,2.3212848,22.93,0.013388,50627
3500,-0.25111845,0.04635530710220337,14,0.9413097168235981,350000,20.964545249938965,0.002086971,-0.0033408222,5.594796,2.123057,22.81,0.016948,52682
3750,-0.2189076,0.07056516408920288,15,1.105044976398931,375000,21.91810131072998,0.0021023364,-0.0036034645,5.5897093,1.8598455,23.47,0.0193,52264
4000,-0.20893072,0.027887821197509766,16,1.1038173130929498,400000,22.871609926223755,0.0039674276,-0.0049396483,5.5816755,1.7824777,25.28,0.041536,52399
4250,-0.18954785,0.0633353590965271,17,1.2980445607982256,425000,23.844462156295776,0.003689181,-0.004830776,5.5693846,1.642346,28.92,0.044368003,51391
4500,-0.14517647,0.15989655256271362,18,1.4041523344549933,450000,24.78506350517273,0.0022106806,-0.0038945097,5.55337,1.486155,29.6,0.015084,41725
4750,-0.13204014,0.21333396434783936,19,1.2574915120585501,475000,25.840720891952515,0.001888924,-0.0038505197,5.540259,1.4825302,28.4,0.015211999,34665
5000,-0.11407072,0.2437611222267151,20,1.5762967233531526,500000,27.021026849746704,0.0021782597,-0.0031492678,5.525657,1.4210304,31.41,0.017644,54376
5250,-0.1008214,0.334327757358551,21,1.9997717485880093,525000,27.92427396774292,0.0027208168,-0.003101895,5.513129,1.3963468,37.67,0.022435999,54090
5500,-0.09243806,0.3424827456474304,22,1.8821039458592714,550000,28.844578981399536,0.0024319873,-0.0026411372,5.50518,1.4075744,34.0,0.021484,54604
5750,-0.07917576,0.38822782039642334,23,1.7652732131651283,575000,29.750054121017456,0.002059704,-0.0025623124,5.49813,1.3766863,33.73,0.017272,53410
6000,-0.08165158,0.43636035919189453,24,1.7616109686079562,600000,30.699945211410522,0.002396848,-0.0027094586,5.492075,1.2623626,38.8,0.020476,47435
6250,-0.07742684,0.5077462494373322,25,1.4911840731924895,625000,31.668110132217407,0.0027792018,-0.0031387345,5.48463,1.1550878,31.58,0.02442,55324
6500,-0.06260013,0.5450098812580109,26,1.985952905301674,650000,32.56200551986694,0.002505748,-0.0021898064,5.4770613,1.1897756,37.63,0.023672,52938
6750,-0.059632484,0.6115502417087555,27,1.7214582799232447,675000,33.48557496070862,0.0034695244,-0.0034145867,5.473494,1.0414686,37.1,0.037948,53853
7000,-0.0554052,0.5999919772148132,28,2.125080043894122,700000,34.38924789428711,0.0033808325,-0.0018757926,5.471231,1.1636112,36.77,0.032651998,37700
7250,-0.04487834,0.6170925796031952,29,2.247217399579913,725000,35.496074199676514,0.0019088363,-0.0020626052,5.467961,1.1402407,41.3,0.012664,54208
7500,-0.045871645,0.662225604057312,30,2.233544194786373,750000,36.38104963302612,0.0023435112,-0.002261145,5.4617853,1.1013788,39.47,0.018792,53180
7750,-0.037408844,0.6641179919242859,31,2.347481746949379,775000,37.27162790298462,0.002984068,-0.0023521117,5.452197,1.0582107,40.83,0.028167998,53135
8000,-0.040237315,0.6799274384975433,32,2.2867365625419187,800000,38.17462396621704,0.0027515672,-0.0021702568,5.443536,0.99274623,47.11,0.025812,50476
8250,-0.032626666,0.7261189818382263,33,2.3619790666145857,825000,39.129037380218506,0.0033256118,-0.002132351,5.432351,0.96238005,43.75,0.031952,51862
8500,-0.027967121,0.7526729851961136,34,2.338026126379846,850000,40.06720042228699,0.0026352215,-0.0020388456,5.4211926,0.9155523,38.75,0.024051998,52137
8750,-0.026914554,0.758325532078743,35,2.931569615851986,875000,41.005385637283325,0.0037534744,-0.0023943218,5.412072,0.93824375,41.34,0.038543995,53379
9000,-0.024317397,0.790666252374649,36,2.652320661618578,900000,41.922999143600464,0.0026355989,-0.0021042633,5.4033456,0.81474876,48.13,0.018256,53660
9250,-0.020388352,0.7963452190160751,37,2.889738911274408,925000,42.84464979171753,0.0024849165,-0.0021273233,5.3936543,0.8343191,50.0,0.023835998,52126
