ep_len_mean,policy_entropy,ep_reward_mean,serial_timesteps,explained_variance,n_updates,time_elapsed,policy_loss,value_loss,true_reward,clipfrac,approxkl,fps,total_timesteps
13.1,5.675624,0.49948197364254154,250,0.0010045170783996582,1,0.0011582374572753906,-0.005270263,18.416414,-0.537272,0.051256,0.0043407325,3174,25000
12.15,5.67308,0.4741880437260261,500,5.346536636352539e-05,2,8.47458529472351,-0.0009428466,16.194477,-0.49724984,0.000808,0.0007413225,44794,50000
13.8,5.6750975,0.7228159842034801,750,-0.0006748437881469727,3,9.472809314727783,-0.0030504589,14.4027605,-0.47047707,0.046375997,0.004116104,49517,75000
12.65,5.6709023,0.6037310660775984,1000,0.0033765435218811035,4,10.401939630508423,-0.0016542455,12.472591,-0.43895915,0.03854,0.0037392627,55569,100000
12.87,5.6637278,0.5687253312591929,1250,0.004162132740020752,5,11.300620555877686,-0.0028605438,11.138308,-0.42668906,0.050388,0.0043206397,55549,125000
17.45,5.65708,0.7882824829514721,1500,0.008029341697692871,6,12.195218324661255,-0.002201534,9.449087,-0.39510894,0.028724,0.0030709677,48533,150000
15.01,5.650132,0.7321793361899472,1750,0.004404246807098389,7,13.132928371429443,-0.0023779282,8.253842,-0.38000602,0.026460001,0.0028749418,55025,175000
15.31,5.6465197,0.7152426458662375,2000,0.01229548454284668,8,14.007526397705078,-0.0028267428,7.1142693,-0.3649349,0.018091999,0.0023931197,53872,200000
17.68,5.640868,0.8812406226381426,2250,0.004080832004547119,9,14.917357206344604,-0.0032030668,6.1283383,-0.3424819,0.011032,0.0017144724,42465,225000
17.2,5.6349897,0.7682109021401266,2500,0.053202033042907715,10,15.927258253097534,-0.0028333408,5.085774,-0.32149082,0.001668,0.00076889835,47196,250000
19.16,5.627875,0.9529065871608328,2750,0.051297903060913086,11,16.86797523498535,-0.0025999467,4.1529756,-0.28992,0.0035919999,0.0011909129,56063,275000
19.38,5.621251,0.9777639026503312,3000,0.05469620227813721,12,17.728984117507935,-0.003903541,3.536195,-0.27774706,0.020291999,0.002277278,55399,300000
20.73,5.6148944,0.8881678062376887,3250,0.09188711643218994,13,18.596360206604004,-0.0026343367,2.9111118,-0.25003472,0.008316,0.0014800042,53760,325000
18.31,5.607233,0.8368069873360219,3500,0.0905998945236206,14,19.48720955848694,-0.0030568698,2.5086234,-0.23626918,0.018472,0.002077777,53321,350000
24.14,5.599715,1.143105497818906,3750,0.131821870803833,15,20.363412380218506,-0.0030364636,2.0234475,-0.21148022,0.010652,0.0012932314,54777,375000
26.31,5.5924883,1.2737540986234672,4000,0.1691914200782776,16,21.221736669540405,-0.0035283503,1.7558091,-0.19481125,0.028588,0.0026017833,55360,400000
23.47,5.584241,1.1263182682771002,4250,0.2632051110267639,17,22.06819796562195,-0.0049985764,1.4862696,-0.17465805,0.034624003,0.0033746827,45525,425000
27.96,5.5720954,1.6200016587802384,4500,0.3009291887283325,18,23.0188729763031,-0.0041116616,1.3035434,-0.14883195,0.0323,0.003169471,55347,450000
30.24,5.5559916,1.7618848720284586,4750,0.39387673139572144,19,23.853039264678955,-0.003876517,1.1970522,-0.13288242,0.031764,0.0032225947,55391,475000
31.07,5.540501,1.704610140184668,5000,0.42943525314331055,20,24.700798511505127,-0.0031474915,1.199455,-0.11079374,0.022939999,0.0027259274,40996,500000
33.16,5.5283036,1.868416606043429,5250,0.4674442410469055,21,25.68937921524048,-0.0038002278,1.1164229,-0.106571816,0.032504,0.003247457,31103,525000
