ep_len_mean,ep_reward_mean,policy_entropy,explained_variance,fps,n_updates,serial_timesteps,time_elapsed,true_reward,clipfrac,approxkl,total_timesteps,policy_loss,value_loss
243.92,78.41431391548831,-4.8272676,0.7904041707515717,3209,1,250,0.0007719993591308594,0.31754607,0.691928,1.1772919,25000,0.07080095,2.419768
246.98,78.11725823776767,-4.823772,0.884634330868721,55809,2,500,8.279540061950684,0.31488073,0.470364,0.06528704,50000,0.025768613,1.1128123
247.32,79.31159878100297,-4.819626,0.9010240659117699,56774,3,750,9.109393835067749,0.31895068,0.365396,0.039147437,75000,0.014311875,1.0504057
244.84,76.48710438196721,-4.816695,0.8884845823049545,56964,4,1000,9.918895483016968,0.30965763,0.25718,0.019774374,100000,0.0061965263,1.213639
247.46,76.74987111013499,-4.8176827,0.8939868211746216,50723,5,1250,10.713079452514648,0.3089086,0.124176,0.009335346,125000,-0.00017371758,1.1055734
248.13,76.54682835333195,-4.8213696,0.8977480828762054,55100,6,1500,11.628511667251587,0.30692658,0.12790799,0.0096179135,150000,0.00035348674,1.0494895
247.09,77.20271384740278,-4.8238235,0.8615666180849075,52273,7,1750,12.563295364379883,0.31045538,0.264048,0.022251453,175000,0.006287021,1.3782156
247.5,78.4077628400782,-4.8255033,0.8807324096560478,57192,8,2000,13.479995012283325,0.31357288,0.31848797,0.027306864,200000,0.008232611,1.2505608
250.0,78.57008385408454,-4.827338,0.9564920961856842,51895,9,2250,14.30225157737732,0.31428033,0.171444,0.012924576,225000,0.0039950022,0.38133794
246.51,75.48088392260397,-4.8275948,0.8936078771948814,56715,10,2500,15.21695876121521,0.30476648,0.326792,0.030568173,250000,0.011399364,0.99062365
250.0,77.31147853663221,-4.8275123,0.9542781710624695,56100,11,2750,16.027095556259155,0.30924588,0.352976,0.033836532,275000,0.02128302,0.41015363
250.0,80.77397158100051,-4.8272333,0.9577062837779522,55605,12,3000,16.827371835708618,0.3230959,0.25018802,0.026424935,300000,0.012236135,0.329655
250.0,79.00842768321395,-4.8268027,0.9517958424985409,56921,13,3250,17.65426540374756,0.3160337,0.26886,0.028752133,325000,0.017055161,0.38599855
244.2,78.9166241722634,-4.8256397,0.886780247092247,57174,14,3500,18.463297605514526,0.32083157,0.382168,0.041092567,350000,0.013487619,1.09466
250.0,81.23713273939836,-4.8249736,0.9578128717839718,56625,15,3750,19.260984420776367,0.32494855,0.267268,0.022644531,375000,0.011638979,0.34188277
250.0,80.96465795125565,-4.8260813,0.964430820196867,57544,16,4000,20.045637369155884,0.32385862,0.19158399,0.015480973,400000,0.0053489027,0.3032457
243.74,79.49329027085041,-4.830241,0.9011278972029686,57083,17,4250,20.825281620025635,0.3238016,0.30286798,0.027172115,425000,0.0071689277,1.0473683
250.0,81.73904713014853,-4.8345056,0.9651914015412331,46883,18,4500,21.63307285308838,0.32695618,0.17384,0.012700139,450000,0.0031650208,0.30324322
250.0,81.75639223438455,-4.8389807,0.9671747051179409,54697,19,4750,22.507134437561035,0.32702556,0.311208,0.028677765,475000,0.01645664,0.2815773
241.94,78.00083452011495,-4.8421526,0.8518117815256119,56646,20,5000,23.303083896636963,0.31767493,0.23514399,0.01799522,500000,0.002932515,1.7814354
249.61,79.69696322870499,-4.840086,0.9243354871869087,57503,21,5250,24.122331619262695,0.31854448,0.459356,0.065219805,525000,0.023094602,0.6806885
250.0,81.20322525167023,-4.8375545,0.9685650132596493,56318,22,5500,24.9081392288208,0.32481286,0.307704,0.028939327,550000,0.013851087,0.3226413
