fps,value_loss,policy_entropy,total_timesteps,time_elapsed,clipfrac,ep_reward_mean,policy_loss,ep_len_mean,true_reward,serial_timesteps,approxkl,explained_variance,n_updates
4037,0.03984084,1.9305862,25000,0.0006029605865478516,0.102872,17.749806450900433,-0.0012842187,248.69,0.07088398,250,0.008296328,0.7767534404993057,1
61430,0.003054396,1.9241788,50000,6.718566179275513,0.052216,17.658736676280004,-0.0011643518,250.0,0.07063495,500,0.0049015945,0.9770449101924896,2
59102,0.0020115892,1.9140581,75000,7.503019332885742,0.059388,17.824540015500606,-0.0012327365,250.0,0.07129816,750,0.005317559,0.9858067305758595,3
58316,0.002832607,1.9025463,100000,8.305202722549438,0.056772,17.77510518917341,-0.0011763724,250.0,0.07110042,1000,0.00507927,0.9897184763103724,4
60336,0.0026814474,1.8904226,125000,9.120137453079224,0.046096,18.073950702913898,-0.0012405457,250.0,0.0722958,1250,0.0043711867,0.9920372078195214,5
59741,0.0019864258,1.8775651,150000,9.929264307022095,0.053175997,18.505160782405127,-0.0019516579,250.0,0.07402064,1500,0.004788424,0.9923235112801194,6
55109,0.0029141265,1.8643411,175000,10.72507619857788,0.07170399,18.149919366001157,7.0072594e-05,250.0,0.07259968,1750,0.0060331267,0.993087409529835,7
58453,0.0019939146,1.8527588,200000,11.559739112854004,0.050187998,18.26094002304064,-0.0018054188,250.0,0.073043756,2000,0.004635381,0.9921220252290368,8
49001,0.002099781,1.8392658,225000,12.366329431533813,0.032368,18.17942363528229,-0.0022108848,250.0,0.07271769,2250,0.0036520313,0.9930238802917302,9
57126,0.003008654,1.8246654,250000,13.235701322555542,0.069915995,18.29055364765096,-0.00081535755,250.0,0.07316222,2500,0.005581396,0.9924061778001487,10
59136,0.07204256,1.8141092,275000,14.044509410858154,0.10934399,17.88629348426337,-0.0017552242,246.39,0.07157577,2750,0.008259291,0.8177943527698517,11
57357,0.07484655,1.8087345,300000,14.826977491378784,0.103507996,18.185750410164545,-0.0015662743,245.86,0.07292571,3000,0.007808391,0.7879001647233963,12
59751,0.06634702,1.8050671,325000,15.647436380386353,0.09350799,17.934814034141528,-0.0011596226,245.88,0.071931355,3250,0.0071865255,0.8380129337310791,13
58292,0.020358209,1.8018963,350000,16.435816287994385,0.138336,18.236537479413457,-0.0008672135,248.06,0.07295014,3500,0.010056074,0.9379906430840492,14
55357,0.003036071,1.7973998,375000,17.236856937408447,0.054427993,18.23448841112866,-0.0015314571,250.0,0.07293795,3750,0.004937305,0.9864724203944206,15
59536,0.0023322243,1.78851,400000,18.0598566532135,0.05974,18.381733998386334,-0.0017089002,250.0,0.07352694,4000,0.0051546698,0.9885153817012906,16
53812,0.0019092194,1.778527,425000,18.845796585083008,0.03634,18.120640326893046,-0.0017963197,250.0,0.072482556,4250,0.0039217435,0.9910707985982299,17
59082,0.002041943,1.7672446,450000,19.68455147743225,0.077943996,18.049681218173284,-0.00039613136,250.0,0.072198726,4500,0.0064597004,0.9911374915391207,18
