serial_timesteps,value_loss,explained_variance,n_updates,ep_reward_mean,true_reward,policy_entropy,time_elapsed,ep_len_mean,clipfrac,fps,policy_loss,approxkl,total_timesteps
250,37.662548,0.014455795288085938,1,0.025403994100634007,-2.9048574,5.6721997,0.0011780261993408203,1.53,0.051928002,4125,-0.013514487,0.0043139234,25000
500,33.61934,0.054579854011535645,2,0.020134874744107946,-2.7161977,5.6633525,6.920438766479492,1.57,0.036384,49225,-0.01279279,0.0032424857,50000
750,29.5537,0.031497418880462646,3,0.017348525777633766,-2.549925,5.654268,8.109195470809937,1.63,0.051812,51363,-0.010994924,0.0044495165,75000
1000,25.373238,-0.03659558296203613,4,0.030037542757490883,-2.3837218,5.644988,9.268791675567627,2.04,0.078508005,50309,-0.0075295283,0.00695563,100000
1250,21.750504,-0.2763627767562866,5,0.02773767520338879,-2.2939713,5.634646,10.420726299285889,2.2,0.10516801,52109,0.0005696427,0.008142982,125000
1500,17.84563,-0.6722685098648071,6,0.03653680421257434,-2.1913548,5.6254735,11.536088705062866,2.3,0.12436,49880,0.00031033994,0.010523236,150000
1750,14.915487,-1.43780517578125,7,0.032342007566330724,-2.1342778,5.6166296,12.66109299659729,2.15,0.10446401,33081,0.007974937,0.008553284,175000
2000,12.056335,-2.8050012588500977,8,0.03191150409023976,-2.1129098,5.608843,14.031863689422607,2.53,0.103452004,41518,0.0033505666,0.008222473,200000
2250,9.820786,-4.892343521118164,9,0.034808519948855976,-2.0855763,5.6006002,15.262376308441162,2.28,0.087400004,39479,0.006060307,0.0071572573,225000
2500,7.6729555,-8.21828556060791,10,0.027661415046313777,-2.0554605,5.5929117,16.514256238937378,2.05,0.081208,50803,0.0026009022,0.0065287603,250000
2750,6.4257026,-10.989974021911621,11,0.025073161574837285,-2.033599,5.5853443,17.64342427253723,2.27,0.049859993,53569,0.0055306694,0.0045714886,275000
3000,5.3312573,-14.979042053222656,12,0.0206431203806369,-2.0379388,5.5787,18.718350410461426,1.82,0.039828,50890,0.00037050707,0.003787817,300000
3250,4.517117,-15.542457580566406,13,0.03471995942337344,-2.023635,5.572916,19.843523263931274,2.58,0.003832,48702,0.0005185762,0.0010123734,325000
3500,4.0593643,-19.820528030395508,14,0.03073559629439842,-2.015209,5.567921,20.9783935546875,2.27,0.001132,51142,-0.0007728805,0.00072423986,350000
3750,3.4873695,-21.40643310546875,15,0.020593614754325244,-2.0115392,5.564292,22.085441827774048,2.32,9.5999996e-05,51752,-0.0005701011,0.00018712305,375000
4000,3.092382,-23.835845947265625,16,0.029240207654365805,-2.0154164,5.5613174,23.18166494369507,2.39,0.00104,51732,-0.0010727764,0.00052113767,400000
4250,2.8227124,-29.02290916442871,17,0.019425133390905104,-2.0247886,5.558643,24.291999340057373,2.14,0.002152,53949,-0.0013276251,0.0007312922,425000
4500,2.5676732,-26.30758285522461,18,0.020773891943899798,-2.0159307,5.5557504,25.391021251678467,2.17,0.0025240001,52594,-0.0013360959,0.0007867237,450000
4750,2.398134,-24.98527717590332,19,0.021239711539947165,-2.055229,5.5530624,26.493783473968506,2.55,0.00082,51809,-0.001216376,0.00049630966,475000
5000,2.1808422,-28.534854888916016,20,0.02500387883732401,-2.0482178,5.549199,27.585782289505005,1.85,0.0023400001,44153,-0.0015227521,0.00076197175,500000
5250,1.9978054,-25.936052322387695,21,0.02693928205582779,-2.0439,5.5445952,28.785221576690674,2.4,0.0036519996,44295,-0.0016561474,0.00085922965,525000
5500,1.7980226,-24.211071014404297,22,0.02185866960688145,-2.0181382,5.538125,30.18148922920227,2.45,0.0076719997,44120,-0.002151251,0.0013022262,550000
5750,1.6812567,-23.80350685119629,23,0.026782980830248562,-2.0157533,5.5301056,31.465165615081787,2.28,0.013748,50344,-0.0018034881,0.0019842968,575000
