policy_loss,clipfrac,serial_timesteps,time_elapsed,total_timesteps,true_reward,fps,n_updates,ep_reward_mean,explained_variance,value_loss,ep_len_mean,policy_entropy,approxkl
-0.0005248786,0.06764799,250,0.0008158683776855469,25000,0.17933014,10015,1,4.717506299614906,-2.6705312728881836,3.286424,24.96,5.676955,0.0057908907
-0.00019417595,0.038584,500,3.112999677658081,50000,0.17915855,65466,2,4.572238659858703,-1.9572691917419434,2.8626,24.18,5.679918,0.0034776577
-0.00067105365,0.031248,750,3.9345626831054688,75000,0.1787789,68330,3,4.578323896676302,-1.4497575759887695,2.5975173,24.25,5.684818,0.0031357468
-0.0018978796,0.026300002,1000,4.756016254425049,100000,0.17826217,68034,4,4.4862830789387225,-1.1749231815338135,2.5067663,23.78,5.689225,0.0028142848
-0.0014276532,0.019195998,1250,5.589388370513916,125000,0.1780671,66077,5,4.498745380789042,-0.9477133750915527,2.432981,23.86,5.69151,0.002194942
-0.0015509909,0.023108,1500,6.410701751708984,150000,0.17780769,68377,6,4.508402528166771,-0.6686142683029175,2.3120852,23.94,5.6949816,0.0026160018
-0.0017305302,0.019228,1750,7.20887303352356,175000,0.17750216,67935,7,4.398002390414477,-0.718557596206665,2.9569411,23.37,5.697378,0.0021518576
-0.0017024915,0.022036,2000,8.009373426437378,200000,0.17721757,67445,8,4.5208984836936,-0.5976842641830444,3.1528878,24.05,5.6993036,0.00227214
0.0015048108,0.07577999,2250,8.818930625915527,225000,0.1772068,69535,9,4.462160793691874,-0.646554708480835,3.7824886,23.73,5.7009525,0.006530074
-0.0026620359,0.019807998,2500,9.612807273864746,250000,0.17687798,69265,10,4.409429902732373,-0.9046167135238647,7.1451545,23.45,5.7040515,0.0022704143
-0.0023640979,0.048544,2750,10.428197860717773,275000,0.1766421,67791,11,4.446101412326097,-1.1760530471801758,9.918015,23.68,5.70666,0.004620921
-0.001219569,0.040244,3000,11.235604763031006,300000,0.17524445,67973,12,4.456475387811661,-10.857400894165039,95.60944,23.76,5.7083673,4244.128
-0.0018264701,0.029324,3250,12.042981624603271,325000,0.1747859,66737,13,4.476960321962833,-12.291966438293457,253.44553,23.9,5.709205,18517.357
-0.0012345228,0.14857599,3500,12.844510793685913,350000,-0.294909,63421,14,4.398035306185484,-129.6077880859375,1207406.8,23.47,5.709678,8223105000.0
-0.002142455,0.020952001,3750,13.694846391677856,375000,-107911730.0,64133,15,4.326250676214695,-0.0017758607864379883,1.2575874e+21,23.07,5.709936,1.822655e+28
nan,0.0,4000,14.518564224243164,400000,-2.367344e+16,66878,16,4.221896954774857,nan,nan,22.47,nan,nan
