fps,n_updates,time_elapsed,approxkl,clipfrac,explained_variance,ep_len_mean,policy_loss,true_reward,value_loss,policy_entropy,serial_timesteps,ep_reward_mean,total_timesteps
7478,1,0.0007293224334716797,18748474.0,0.332676,-49.274658203125,0.46,0.18432915,0.028768912,127396.734,5.6757774,250,0.07935929000377655,25000
49415,2,4.572999477386475,155461.84,0.329736,-183.1934814453125,0.41,0.1847948,0.027931973,59539.867,5.675775,500,0.07067092895507812,50000
50460,3,6.166855335235596,2137358.5,0.32847998,-163.7859344482422,0.4,0.22205487,0.027869722,31270.516,5.6757703,750,0.06841017633676529,75000
51061,4,7.760026931762695,428251.4,0.328688,-80.02938079833984,0.46,0.23219223,0.028042708,15018.297,5.6757703,1000,0.07997760906815529,100000
43463,5,9.337398290634155,4871275.5,0.332764,-90.8395767211914,0.34,0.26103446,0.027852293,7275.3726,5.6757703,1250,0.05926212936639786,125000
52477,6,10.971973180770874,12533941.0,0.335796,-24.431900024414062,0.48,0.24729785,0.028831178,5867.068,5.67577,1500,0.08173103645443916,150000
51722,7,12.516324520111084,243896800.0,0.33312,-190.6937713623047,0.3,0.25286227,0.028083831,4145.2383,5.6757693,1750,0.051347621977329255,175000
52470,8,14.059708595275879,1720101600.0,0.339144,-128.42791748046875,0.39,0.2489408,0.029395051,2667.1914,5.67577,2000,0.06716563433408737,200000
51450,9,15.59339165687561,260903470.0,0.341048,-210.04376220703125,0.38,0.13163981,0.03125281,5868.936,5.67577,2250,0.06509740024805069,225000
51290,10,17.134352922439575,3978072800.0,0.347572,-211.82162475585938,0.44,0.12503421,0.0333986,4576.7207,5.67577,2500,0.07594559997320176,250000
50989,11,18.662145853042603,18452382000.0,0.34279197,-145.91558837890625,0.38,0.13040045,0.032199886,2317.7427,5.6757674,2750,0.06607249528169631,275000
51361,12,20.230354070663452,18071505000.0,0.34960398,-44.95651626586914,0.39,0.14953409,0.033746284,1348.5122,5.675767,3000,0.0681331279873848,300000
50866,13,21.78193950653076,83660920000.0,0.35355195,-214.46966552734375,0.37,0.15004596,0.0351954,1111.3785,5.675767,3250,0.06423119589686394,325000
