serial_timesteps,approxkl,fps,time_elapsed,policy_entropy,explained_variance,value_loss,clipfrac,policy_loss,ep_reward_mean,total_timesteps,ep_len_mean,n_updates,true_reward
250,19.06885,7587,0.0013742446899414062,5.6768,-8.657106399536133,100.87334,0.38826004,0.13545582,1.9534077598154544,25000,10.0,1,0.1889207
500,0.7504501,48517,3.9010348320007324,5.6818185,-8.12739372253418,34.05016,0.24727198,0.08176207,1.9534077055752277,50000,10.0,2,0.1889207
750,8.399269,56672,4.835300922393799,5.688082,-8.391133308410645,41.062126,0.167924,0.043192815,1.953407825231552,75000,10.0,3,0.1889207
1000,0.0479499,57478,5.697193145751953,5.6934013,-6.130269527435303,13.285042,0.14572,0.042280074,1.9534077610075473,100000,10.0,4,0.1889207
1250,0.06936757,56248,6.548041343688965,5.696425,-4.129644870758057,6.5961304,0.143232,0.03807161,1.9534077167510986,125000,10.0,5,0.18892068
1500,0.05975003,57289,7.40700101852417,5.6973453,-2.5459864139556885,4.5379353,0.131704,0.030605122,1.9534077416360378,150000,10.0,6,0.18892068
1750,0.14883617,57421,8.263670921325684,5.698159,-1.2273681163787842,3.232991,0.15814002,0.030233746,1.9534077651798725,175000,10.0,7,0.18892068
2000,1.1372769,55998,9.115275859832764,5.70148,-0.8270719051361084,2.7567697,0.15059999,0.02209475,1.9534078490734101,200000,10.0,8,0.1889207
2250,0.28943,58654,9.96890902519226,5.710042,-0.5493941307067871,2.4911747,0.15661201,0.021134453,1.9534078207612038,225000,10.0,9,0.1889207
2500,0.103417896,50979,10.81244421005249,5.7203317,-0.41154181957244873,2.3292994,0.164132,0.021776095,1.9534077236056329,250000,10.0,10,0.1889207
2750,0.1503268,56208,11.727754831314087,5.730622,-0.5434995889663696,2.2339199,0.147248,0.018566668,1.953407655954361,275000,10.0,11,0.1889207
3000,0.041100837,55948,12.579324722290039,5.7404056,-0.324678897857666,2.0918443,0.124520004,0.010541784,1.9534077432751655,300000,10.0,12,0.1889207
3250,0.03769666,56346,13.43794298171997,5.7519855,-0.2105334997177124,1.9858904,0.13089201,0.010872941,1.953407763838768,325000,10.0,13,0.1889207
3500,0.020622108,48038,14.295132875442505,5.762644,-0.06743717193603516,1.8749335,0.077204004,0.0047488892,1.9534077808260917,350000,10.0,14,0.1889207
3750,0.009187955,55314,15.223880052566528,5.772979,-0.09612417221069336,1.8221772,0.058084,0.00044462518,1.9534077763557434,375000,10.0,15,0.18892068
4000,0.3838151,57508,16.081198692321777,5.7837467,-0.08411359786987305,1.816437,0.14670801,0.01347482,1.9534077489376067,400000,10.0,16,0.18892068
4250,2.6198707,57657,16.943337440490723,5.79656,-0.13658499717712402,1.9777844,0.17012002,0.016250815,1.9534077045321465,425000,10.0,17,0.1889207
