total_timesteps,fps,true_reward,explained_variance,time_elapsed,policy_loss,ep_reward_mean,policy_entropy,value_loss,n_updates,clipfrac,serial_timesteps,approxkl,ep_len_mean
25000,7785,0.18892342,-8.681861877441406,0.0006725788116455078,0.11360128,1.9534101130068302,5.6761794,163.17627,1,0.16521999,250,102875.32,10.0
50000,46243,0.18892342,-9.16532039642334,3.7915055751800537,0.07142828,1.9534101137518882,5.678735,137.63815,2,0.10097599,500,527.283,10.0
75000,55107,0.18892342,-6.87354040145874,4.768168210983276,0.079858184,1.9534101118147373,5.682954,44.185066,3,0.10546,750,71.82045,10.0
100000,53336,0.18892342,-5.007033348083496,5.632915496826172,0.07226832,1.9534101139009,5.689752,18.700693,4,0.087524,1000,10.72328,10.0
125000,52005,0.18892342,-2.781635046005249,6.5105226039886475,0.030150458,1.9534101116657256,5.6984205,5.6735425,5,0.07253599,1250,17.94574,10.0
150000,55657,0.18892342,-0.24279141426086426,7.418035268783569,0.012153314,1.9534101128578185,5.7058,2.4453957,6,0.043444004,1500,0.37712473,10.0
175000,54280,0.18892342,-0.23143839836120605,8.273854732513428,0.0006123764,1.9534101118147373,5.711294,2.1405551,7,0.03924,1750,0.011148311,10.0
200000,54784,0.18892342,-0.22550582885742188,9.178133964538574,-0.0013513754,1.9534101110696793,5.725209,1.987957,8,0.043472,2000,0.005049326,10.0
225000,55319,0.18892342,-0.29057157039642334,10.047045946121216,-0.0027065624,1.9534101113677025,5.7365856,1.9410394,9,0.058732003,2250,0.012958435,10.0
250000,53896,0.18892342,-0.1462458372116089,10.89383339881897,-0.0017554509,1.9534101115167142,5.7439175,1.8013824,10,0.034748,2500,0.003955702,10.0
275000,53417,0.18892342,-0.15681970119476318,11.762330532073975,-0.0030940284,1.9534101110696793,5.7473917,1.795243,11,0.071616,2750,0.00652646,10.0
300000,50829,0.1889234,-0.011046648025512695,12.675632953643799,-0.003495074,1.9534101097285748,5.7522717,1.6734635,12,0.1164,3000,0.25270733,10.0
325000,54691,0.18892342,0.14086121320724487,13.568394660949707,-0.0016760819,1.9534101079404353,5.757563,1.5004989,13,0.10767599,3250,0.008483274,10.0
350000,54569,0.18892342,0.29155218601226807,14.449912786483765,-0.0018622804,1.9534101083874702,5.7608333,1.3189784,14,0.13385999,3500,0.010357968,10.0
