explained_variance,value_loss,total_timesteps,serial_timesteps,time_elapsed,fps,ep_reward_mean,n_updates,policy_entropy,approxkl,ep_len_mean,true_reward,clipfrac,policy_loss
-10.979406356811523,1197.6134,25000,250,0.0010712146759033203,6928,3.8961368031799792,1,5.6757727,21016.281,19.99,0.18900627,0.81118405,0.32646102
-8.356403350830078,319.07025,50000,500,4.2119529247283936,51209,3.8980575697124005,2,5.676297,1964.7275,20.0,0.18900251,0.788024,0.2924753
-9.482884407043457,319.2585,75000,750,5.135218143463135,55085,3.898035339564085,3,5.6782293,4444.841,20.0,0.18899791,0.73068,0.2368888
-8.155600547790527,429.1936,100000,1000,6.016830682754517,55362,3.8960903245210647,4,5.6805735,1550.6088,19.99,0.18899606,0.682724,0.24298552
-8.153566360473633,242.55334,125000,1250,6.877310276031494,44294,3.8980392077565194,5,5.6830378,10756.045,20.0,0.18899886,0.73728794,0.25840226
-9.388728141784668,794.4835,150000,1500,7.863571882247925,55375,3.8728968124091625,6,5.6856465,149652.38,19.87,0.18900533,0.81182003,0.2450455
-10.12114143371582,1489.8706,175000,1750,8.733708381652832,53638,3.8322240787744524,7,5.687043,3970.4856,19.66,0.18901224,0.68513197,0.2552822
-10.099980354309082,792.9818,200000,2000,9.616451025009155,52737,3.8205632765591147,8,5.6878223,1897.2937,19.6,0.18901047,0.63094,0.2576305
-10.711318969726562,2296.7583,225000,2250,10.528493642807007,53877,3.8186423625051975,9,5.688603,14835.725,19.59,0.18901461,0.67714,0.23871401
-12.793394088745117,2472.3792,250000,2500,11.41060185432434,53796,3.8438710649311543,10,5.6890945,5438.532,19.72,0.1890183,0.55666006,0.21114962
-13.235841751098633,1952.9252,275000,2750,12.289241790771484,55526,3.828388992100954,11,5.689487,1716.4812,19.64,0.18901841,0.461972,0.18742496
-13.227060317993164,1929.4578,300000,3000,13.16024374961853,53447,3.8225434964895246,12,5.689845,105294.35,19.61,0.18901753,0.501756,0.18971461
-13.283766746520996,1257.8053,325000,3250,14.038307428359985,52612,3.828364733606577,13,5.6901464,12322.279,19.64,0.18901728,0.449776,0.19007748
-15.573057174682617,856.4051,350000,3500,14.930509328842163,53007,3.8613154785335064,14,5.6904807,480862.2,19.81,0.1890185,0.61704004,0.23059015
-15.719573974609375,367.02087,375000,3750,15.803401947021484,54972,3.8729217563569547,15,5.690973,28306.824,19.87,0.18901576,0.65819997,0.26443723
-14.080779075622559,572.8296,400000,4000,16.687203884124756,42548,3.8322204686701298,16,5.691877,62223.375,19.66,0.1890154,0.70256,0.24465612
-13.045844078063965,132.54337,425000,4250,17.682112455368042,54099,3.8069767521321776,17,5.692567,14138.467,19.53,0.18901324,0.67065203,0.23942415
-32.731292724609375,110.46217,450000,4500,18.547865867614746,54600,3.834183923304081,18,5.6930895,90483.516,19.67,0.1890187,0.688028,0.1822061
-33.55500793457031,54.110504,475000,4750,19.406153678894043,54420,3.8419100274145603,19,5.693511,149340.72,19.71,0.18901898,0.66569996,0.17657016
