fps,true_reward,policy_loss,serial_timesteps,n_updates,ep_len_mean,clipfrac,approxkl,policy_entropy,explained_variance,value_loss,ep_reward_mean,time_elapsed,total_timesteps
7531,0.18969807,0.3343298,250,1,44.93,0.831596,359437.06,5.6757793,-2.3903164863586426,2104.7139,8.67642685726285,0.0006792545318603516,25000
55386,0.18958391,0.36161172,500,2,38.39,0.83192,196431.77,5.675803,-2.8155972957611084,1426.7557,7.41255327641964,3.8649790287017822,50000
55277,0.1896575,0.39798087,750,3,42.57,0.843764,50845.977,5.675958,-2.6356201171875,1284.7239,8.220403214097024,4.7326695919036865,75000
55642,0.18959033,0.40957913,1000,4,39.02,0.82952404,214489.72,5.6761904,-2.8251090049743652,1282.5807,7.533380102217198,5.6024885177612305,100000
56684,0.18976817,0.34893245,1250,5,46.3,0.85594004,307474.84,5.676629,-2.828974962234497,1012.82336,8.950175475776195,6.461011171340942,125000
56000,0.18977779,0.3995817,1500,6,46.0,0.82081604,5976.4585,5.676823,-2.865267515182495,1021.3664,8.893893485814333,7.327867031097412,150000
51405,0.18977123,0.3897304,1750,7,46.05,0.83098793,153645.8,5.6770716,-2.7939279079437256,1002.4661,8.903092625290155,8.19952940940857,175000
55890,0.18975191,0.43587032,2000,8,46.92,0.84258,62292.062,5.6772866,-2.65694522857666,1090.5082,9.06485650524497,9.094834804534912,200000
49482,0.18948525,0.40462565,2250,9,32.66,0.849816,292686.94,5.677728,-3.1831631660461426,1334.5125,6.305576935261488,9.951296329498291,225000
55274,0.18932919,0.3963081,2500,10,23.47,0.84961206,186136.45,5.6781106,-3.1834607124328613,1237.3376,4.530878374427557,10.885982513427734,250000
54972,0.18924852,0.3870672,2750,11,18.64,0.855296,3293568.0,5.6785665,-2.8634212017059326,1003.1073,3.5982396918535233,11.756285667419434,275000
54438,0.18975963,0.3885313,3000,12,47.16,0.85889596,925715.4,5.6790338,-2.6859331130981445,247.22354,9.112259550094604,12.627603530883789,300000
55839,0.1897841,0.35186762,3250,13,46.0,0.86301994,20690272.0,5.6795535,-2.5268359184265137,123.453285,8.894160972237588,13.499058485031128,325000
55259,0.18988696,0.33755225,3500,14,41.99,0.861592,1988302.4,5.6798844,-4.053957939147949,361.17615,8.136552852392196,14.356048822402954,350000
