n_updates,total_timesteps,ep_reward_mean,value_loss,ep_len_mean,clipfrac,explained_variance,time_elapsed,fps,approxkl,policy_loss,serial_timesteps,policy_entropy,true_reward
1,25000,8.042573968768119,2087.776,41.65,0.8344959,-2.6190943717956543,0.0006306171417236328,7699,331883.2,0.33187634,250,5.675778,0.15983365
2,50000,9.101077047288419,1344.9456,47.1,0.798824,-2.6232006549835205,3.8204727172851562,55757,96239.984,0.36778605,500,5.6757884,0.16096182
3,75000,7.052891656756401,1612.6932,36.53,0.855464,-2.9928512573242188,4.726114749908447,49023,435821.3,0.421161,750,5.675939,0.15895078
4,100000,5.728506077975035,1821.5748,29.67,0.83017194,-3.333009719848633,5.691393136978149,56019,3297.569,0.46403208,1000,5.676248,0.15782814
5,125000,6.318814774006605,1710.0488,32.73,0.85873604,-3.090155601501465,6.55368709564209,55483,735661.3,0.38710314,1250,5.676549,0.15830769
6,150000,4.712495905160904,1604.292,24.41,0.842528,-3.3526482582092285,7.437225580215454,51480,54113.25,0.3988277,1500,5.6767583,0.15694536
7,175000,4.812792998552323,1208.8949,24.93,0.84598,-2.9626336097717285,8.345061302185059,55850,1722906.0,0.3830686,1750,5.677093,0.15702446
8,200000,6.21655147254467,1134.2538,32.2,0.858544,-2.4919512271881104,9.200849056243896,54691,1744305.0,0.3796057,2000,5.6775374,0.15822703
9,225000,6.038693796098232,1075.383,31.28,0.8489559,-2.3059000968933105,10.0859956741333,45400,72134.71,0.40252155,2250,5.677889,0.15806656
10,250000,6.407674731612206,1003.20624,33.19,0.85221195,-2.192685842514038,11.049856662750244,56512,7769638.5,0.43449458,2500,5.6780586,0.1583867
11,275000,5.667930117398501,810.0382,29.36,0.8587879,-1.8973498344421387,11.910221338272095,54853,2553639.5,0.3810767,2750,5.6774993,0.15774633
12,300000,4.349216149300337,596.9024,22.53,0.848324,-1.404724359512329,12.783015489578247,55949,404393.1,0.39110202,3000,5.677609,0.15662359
13,325000,6.042452403306961,709.34314,31.3,0.8478559,-1.4075453281402588,13.6251380443573,55292,167263.88,0.3811943,3250,5.6781397,0.15806533
14,350000,4.814629743993282,751.6144,24.94,0.850924,-1.378779649734497,14.476532220840454,54371,694403.0,0.38470557,3500,5.6784687,0.1570242
15,375000,5.851382303237915,631.40594,30.31,0.8404161,-1.383009910583496,15.352966785430908,54802,14665.844,0.40280136,3750,5.6793723,0.1579057
16,400000,5.758664558529854,603.1108,29.83,0.819792,-1.3537566661834717,16.223348379135132,54285,885.6835,0.4226756,4000,5.6811547,0.15782532
17,425000,5.6848354183137415,685.0216,29.45,0.85587996,-1.4648315906524658,17.09679627418518,55100,333250.3,0.3824701,4250,5.6824474,0.15774563
18,450000,6.7973272509872915,655.236,35.21,0.828592,-1.6404492855072021,17.94977855682373,55791,175409.72,0.4243791,4500,5.683417,0.15870833
19,475000,8.339563827961683,562.1091,43.19,0.85805196,-1.867903232574463,18.808246612548828,54568,2199633.2,0.3723138,4750,5.6842027,0.16007248
20,500000,8.14590230077505,21.783085,42.04,0.785848,-3.326756477355957,19.677621603012085,56307,48.290596,0.2727148,5000,5.6854925,0.16108204
21,525000,7.9882414932549,16.11826,41.21,0.662852,-5.089545726776123,20.538644552230835,52150,0.47299463,0.1140993,5250,5.6916656,0.16109641
22,550000,7.9843190152943135,12.585856,41.19,0.641084,-6.259372234344482,21.46596884727478,57415,0.3873015,0.09692006,5500,5.7045918,0.16109517
23,575000,8.096719824522733,8.756593,41.78,0.45029196,-8.595126152038574,22.304795026779175,55910,0.07618187,0.02851061,5750,5.7149982,0.16109307
24,600000,8.06642953172326,6.8142853,41.62,0.59786,-7.454115867614746,23.161859035491943,56964,0.19858012,0.06305109,6000,5.7180185,0.1610954
25,625000,8.001496988534928,5.5691423,41.28,0.44744402,-4.712693691253662,24.01806879043579,56238,0.06728527,0.025930563,6250,5.7249236,0.16109449
26,650000,7.932921436578035,4.7943935,40.92,0.10972001,-3.2801551818847656,24.870766639709473,56095,0.008511128,0.002475673,6500,5.7251267,0.16109478
27,675000,7.963455089479685,3.674654,41.08,0.371776,-1.618513584136963,25.742571353912354,55399,0.045306034,0.0201528,6750,5.7146196,0.16109551
28,700000,7.967112518250942,3.0524395,41.1,0.23160401,-0.8949573040008545,26.60980463027954,54359,0.01811145,0.0068156784,7000,5.7103567,0.16109496
29,725000,7.961557764559984,2.5455747,41.07,0.2009,-0.3613787889480591,27.48137640953064,55871,0.020187441,0.008003488,7250,5.704327,0.16109587
30,750000,7.999706510305405,2.100441,41.27,0.40182805,-0.04421710968017578,28.348251819610596,55674,0.06618983,0.027291631,7500,5.6998186,0.16109747
31,775000,7.999721117913723,1.8213589,41.27,0.44181997,0.12724286317825317,29.217092990875244,53779,0.08229073,0.03408299,7750,5.7028823,0.16109607
32,800000,7.986236354112625,1.637943,41.2,0.11421601,0.2835719585418701,30.108834266662598,55514,0.009169228,0.0016271109,8000,5.7062464,0.16109571
33,825000,8.030217760503293,1.5249017,41.43,0.080516,0.3558638095855713,30.98580312728882,55661,0.0064465194,0.0013533565,8250,5.7071743,0.1610959
34,850000,8.062572140097618,1.3480079,41.6,0.072624,0.43168312311172485,31.85772442817688,56473,0.005878869,0.00042025172,8500,5.707359,0.16109703
35,875000,8.047184754759073,1.3047152,41.52,0.19801201,0.4841270446777344,32.714446783065796,56272,0.018489148,0.0066205664,8750,5.7089825,0.16109489
36,900000,8.064395778924228,1.2264144,41.61,0.21626401,0.5255602300167084,33.56463027000427,56849,0.018945679,0.0056267544,9000,5.711596,0.1610942
