policy_loss,explained_variance,ep_len_mean,fps,true_reward,clipfrac,total_timesteps,policy_entropy,approxkl,ep_reward_mean,n_updates,time_elapsed,value_loss,serial_timesteps
0.19090196,-35.11740493774414,10.0,7330,0.07242317,0.724868,25000,5.6757774,2848402.0,1.9404205411672593,1,0.0006890296936035156,10655685.0,250
0.23716374,-33.840576171875,10.0,53818,0.07242317,0.73609203,50000,5.6757774,42663976.0,1.9404205398261547,2,4.025800943374634,5983141.0,500
0.21783419,-31.791282653808594,10.0,55162,0.07242317,0.77314407,75000,5.6757774,67802380.0,1.940420540869236,3,4.9550628662109375,4961345.0,750
0.21084566,-34.772491455078125,10.0,56411,0.07242317,0.77610403,100000,5.6757774,14697104.0,1.9404205395281315,4,5.869263648986816,4030439.5,1000
0.22321072,-31.552345275878906,10.0,54882,0.07242317,0.745496,125000,5.6757774,104213784.0,1.9404205404222012,5,6.784162998199463,3487275.5,1250
0.23882468,-29.962318420410156,10.0,53489,0.07242317,0.79800004,150000,5.6757774,913099140.0,1.9404205392301082,6,7.695065975189209,2323452.8,1500
0.26552403,-29.28734588623047,10.0,51092,0.07242317,0.76456004,175000,5.6757774,4547486700.0,1.9404205392301082,7,8.620891809463501,1892566.8,1750
0.25027612,-26.07891082763672,10.0,55376,0.07242317,0.7076641,200000,5.6757774,316700100.0,1.9404205395281315,8,9.572113990783691,1187146.8,2000
0.27985784,-29.703227996826172,10.0,54462,0.07242317,0.672824,225000,5.6757774,70109096.0,1.9404205395281315,9,10.493514776229858,540086.3,2250
0.29932892,-29.55280113220215,10.0,53475,0.07242317,0.74485195,250000,5.6757774,1394178300.0,1.9404205393791198,10,11.408697843551636,303448.0,2500
0.26028484,-30.64055824279785,10.0,56392,0.07242317,0.812552,275000,5.6757774,10681991000.0,1.9404205410182476,11,12.331011772155762,271551.06,2750
0.2913935,-30.588279724121094,10.0,57393,0.07242317,0.792192,300000,5.675778,3464631600.0,1.9404205399751664,12,13.23581600189209,232423.2,3000
0.29736668,-30.756132125854492,10.0,55548,0.07242317,0.71788,325000,5.675778,202479460.0,1.9404205377399921,13,14.123456001281738,162009.31,3250
