clipfrac,ep_reward_mean,time_elapsed,policy_entropy,total_timesteps,value_loss,serial_timesteps,explained_variance,fps,policy_loss,ep_len_mean,approxkl,n_updates,true_reward
0.414748,1.9404205232858658,0.0010600090026855469,5.675786,25000,4415.091,250,-31.99279022216797,7480,0.124781966,10.0,137462.78,1,0.07242317
0.47666,1.9404205232858658,3.961106777191162,5.676322,50000,960.92773,500,-30.464542388916016,54034,0.17728227,10.0,36295.914,2,0.07242317
0.47119603,1.9404205232858658,4.900891065597534,5.678103,75000,681.0968,750,-29.682525634765625,54514,0.19838896,10.0,2008.3008,3,0.07242317
0.40798396,1.9404205232858658,5.8257739543914795,5.6808033,100000,490.5528,1000,-27.41632080078125,54144,0.1880249,10.0,1009.06604,4,0.07242317
0.436088,1.9404205232858658,6.752328395843506,5.6845484,125000,443.82098,1250,-24.915603637695312,54641,0.1689919,10.0,3947.439,5,0.07242317
0.44127196,1.9404205232858658,7.672068357467651,5.6887765,150000,276.34543,1500,-21.978771209716797,54656,0.1972543,10.0,9681.519,6,0.07242317
0.52108395,1.9404205232858658,8.62353515625,5.6937776,175000,197.47769,1750,-21.71318244934082,54582,0.22168937,10.0,21782.832,7,0.07242317
0.48495203,1.9404205232858658,9.544368267059326,5.6984496,200000,59.841057,2000,-16.182344436645508,55083,0.21371034,10.0,972.52344,8,0.07242317
0.446752,1.9404205232858658,10.45115065574646,5.7055945,225000,34.24888,2250,-12.429187774658203,53174,0.20255199,10.0,741.6089,9,0.07242317
0.60811603,1.9404205232858658,11.375301599502563,5.716226,250000,25.365078,2500,-9.597816467285156,53324,0.2749105,10.0,6576.1733,10,0.07242317
0.409972,1.9404205232858658,12.300353050231934,5.725196,275000,24.526688,2750,-13.535562515258789,52862,0.14861138,10.0,60654.445,11,0.07242317
0.35924402,1.9404205232858658,13.230069160461426,5.733966,300000,4.839946,3000,-6.254759788513184,54677,0.103558004,10.0,116.60249,12,0.07242317
0.31131598,1.9404205232858658,14.13127326965332,5.742118,325000,3.4830422,3250,-4.619135856628418,46565,0.08322695,10.0,0.51329404,13,0.07242317
0.259156,1.9404205232858658,15.139509439468384,5.7492495,350000,2.08329,3500,-2.5898261070251465,54473,0.06157162,10.0,0.25886157,14,0.07242317
0.22316,1.9404205232858658,16.05939745903015,5.754733,375000,1.5051094,3750,-1.7142863273620605,55026,0.047094494,10.0,0.10239291,15,0.07242317
0.21489999,1.9404205232858658,16.966295957565308,5.759851,400000,0.9941009,4000,-1.0345916748046875,55039,0.04197451,10.0,0.5854784,16,0.07242317
0.15936401,1.9404205232858658,17.872951984405518,5.765696,425000,0.7536235,4250,-0.4953547716140747,54124,0.019875545,10.0,0.074746385,17,0.07242317
