total_timesteps,clipfrac,serial_timesteps,time_elapsed,ep_reward_mean,fps,value_loss,true_reward,approxkl,policy_entropy,policy_loss,n_updates,explained_variance,ep_len_mean
25000,0.041384,250,0.001308441162109375,0.8896283175051213,7791,0.5238024,0.07393089,0.004495698,5.6789484,1.7838693e-05,1,-0.35235297679901123,4.59
50000,0.029584002,500,3.8896420001983643,0.711612255871296,56277,0.36050975,0.073525354,0.0028946728,5.682226,-0.0021378356,2,0.10351818799972534,3.67
75000,0.0237,750,4.875710487365723,0.7774413433670998,55975,0.28608903,0.07376391,0.0026308272,5.679184,-0.0027069326,3,0.30287736654281616,4.01
100000,0.023868,1000,5.801101922988892,1.1637255954742431,54759,0.25879887,0.07503191,0.0028762403,5.6779203,-0.002892747,4,0.3906988501548767,6.02
125000,0.022344,1250,6.736279010772705,1.5235513971745969,56158,0.241082,0.076378785,0.002800508,5.6758776,-0.0025154743,5,0.45342981815338135,7.89
150000,0.037488002,1500,7.639186382293701,2.1880096642673017,56272,0.23654711,0.07861199,0.0036091898,5.675379,-0.0029813487,6,0.4818212389945984,11.33
175000,0.034568,1750,8.561115741729736,2.447301470041275,56007,0.2315084,0.07957247,0.0037244584,5.6699247,-0.0024164773,7,0.5028547048568726,12.67
200000,0.036112,2000,9.462976694107056,2.558560367524624,56897,0.2258257,0.080371425,0.0037276614,5.6643524,-0.0023936285,8,0.5197396576404572,13.23
225000,0.026484001,2250,10.38111162185669,2.522852298915386,56427,0.22131164,0.08045457,0.0030954513,5.6608496,-0.0026036652,9,0.5298072993755341,13.04
250000,0.030044,2500,11.289354801177979,2.4526506328582762,55070,0.21049425,0.08045929,0.0031649359,5.665496,-0.0025346787,10,0.5484652519226074,12.67
275000,0.021432001,2750,12.198035717010498,2.414656464010477,56173,0.20463581,0.08046286,0.0027203176,5.664786,-0.002276435,11,0.5604938268661499,12.47
300000,0.025336001,3000,13.110361099243164,2.3823101711273194,57599,0.19753933,0.08046561,0.003003167,5.657483,-0.002378121,12,0.5744666755199432,12.3
325000,0.017156001,3250,14.010354042053223,2.3690679045021534,56731,0.19248335,0.080472596,0.0024001102,5.651677,-0.002092683,13,0.5845573842525482,12.23
350000,0.014036,3500,14.922227382659912,2.3520236736536027,56940,0.18478106,0.080478415,0.0019884785,5.645419,-0.0018437691,14,0.5997650921344757,12.14
375000,0.019972002,3750,15.831511974334717,2.350090821683407,57571,0.17964119,0.0804822,0.002514219,5.6379104,-0.0020001004,15,0.6098947525024414,12.13
400000,0.016760001,4000,16.722070693969727,2.340559529066086,56290,0.17476258,0.08048695,0.0024000024,5.6300282,-0.0017485755,16,0.6179880797863007,12.08
425000,0.018488,4250,17.635841131210327,2.3349200545251367,56580,0.17147122,0.080492556,0.0023813187,5.621581,-0.0019598715,17,0.6258106827735901,12.05
450000,0.021084,4500,18.562678337097168,2.3368375204503535,56595,0.16641116,0.080496,0.0025259708,5.6111507,-0.0023019211,18,0.6365317106246948,12.06
475000,0.026779998,4750,19.46465229988098,2.342568588703871,55766,0.16305013,0.08049838,0.0028772522,5.602913,-0.0024545405,19,0.6437649428844452,12.09
