clipfrac,fps,policy_loss,ep_len_mean,policy_entropy,true_reward,value_loss,n_updates,explained_variance,total_timesteps,ep_reward_mean,approxkl,time_elapsed,serial_timesteps
0.77678,7507,0.28398377,39.45,5.676008,0.16343485,215.14346,1,0.014355063438415527,25000,7.709718284010887,6150.4136,0.0008349418640136719,250
0.69202393,57973,0.027377363,36.08,5.676627,0.16140541,48073.54,2,-1.9608652591705322,50000,7.040831167548895,1553909100.0,3.894526243209839,500
0.734456,57103,0.24676087,28.67,5.6773157,0.15736836,109.433304,3,0.0035637617111206055,75000,5.597720698416233,2682.5176,4.760844707489014,750
0.79210806,57333,0.07386593,36.29,5.679433,0.16650893,4197.921,4,-1.6949994564056396,100000,7.089295579344034,76562504.0,5.618595123291016,1000
0.671432,56121,0.17384988,68.59,5.680635,0.17840827,382.44733,5,0.5949766635894775,125000,13.341505832523108,587.86316,6.472918748855591,1250
0.573796,57338,0.14774092,52.86,5.6814938,0.17507282,296.48416,6,-0.1511448621749878,150000,10.30743037611246,619.91187,7.343151807785034,1500
0.67026395,58156,0.21228215,58.18,5.682761,0.17547122,149.69466,7,0.21621930599212646,175000,11.347222937494516,111.670425,8.191091537475586,1750
0.864308,57616,0.165234,67.43,5.6848645,0.17925707,838.2497,8,-0.1203463077545166,200000,13.107677893191577,2819863.2,9.037528038024902,2000
0.857556,53501,0.29718572,57.53,5.686421,0.18084152,118.937,9,-1.2467305660247803,225000,11.277249776124954,138633.33,9.874656200408936,2250
0.76636803,56690,0.26138103,34.49,5.6882753,0.1603815,81.044785,10,0.05293166637420654,250000,6.736687104552984,42541.965,10.774441242218018,2500
0.79129994,57081,0.056562908,44.02,5.6909227,0.16951753,2009.8558,11,0.8417732119560242,275000,8.593842172175647,849958300.0,11.648448467254639,2750
0.7749559,56276,0.12252653,70.44,5.6920896,0.18012197,1080.4049,12,-0.12897121906280518,300000,13.717718627303839,509079140.0,12.502845764160156,3000
0.78318,55890,0.25177693,63.77,5.6928277,0.18136393,188.46956,13,-0.2736361026763916,325000,12.448923179209233,72706.63,13.349529266357422,3250
0.8525921,57046,0.34490237,50.47,5.6945333,0.17908739,89.17761,14,-0.7363947629928589,350000,9.902171126455068,322533.56,14.202948808670044,3500
0.87476003,57230,0.28883508,59.22,5.6966667,0.17974186,66.105545,15,-0.6256705522537231,375000,11.62476717054844,73374.24,15.053491353988647,3750
0.86668396,56959,0.3064099,53.36,5.699118,0.17926641,49.006355,16,-0.8139580488204956,400000,10.479276929944753,261020.7,15.907237768173218,4000
0.878932,58455,0.33879137,43.66,5.7028112,0.17630297,46.98303,17,-1.056344747543335,425000,8.576557988375425,304605.8,16.754872798919678,4250
0.874792,50609,0.35696462,11.8,5.7061734,0.17269465,51.753906,18,-1.8299014568328857,450000,2.312076111882925,20449.463,17.57903742790222,4500
0.84564,58476,0.33184275,12.71,5.7080636,0.17264564,63.803474,19,-1.6108436584472656,475000,2.4896188874542715,93098.14,18.48963499069214,4750
0.87573606,56641,0.2784783,17.02,5.7130437,0.1732836,23.387066,20,-0.6682678461074829,500000,3.338308990895748,204243.17,19.330214500427246,5000
0.876664,57983,0.22531784,56.71,5.7165117,0.17824031,9.213705,21,0.3808887004852295,525000,11.144677481353282,16233.925,20.180102586746216,5250
0.7752,55790,0.17427775,64.19,5.717826,0.18086192,9.879646,22,0.2520698308944702,550000,12.606304255127906,428.35602,21.041783332824707,5500
0.79263604,56623,0.21561396,63.07,5.7188053,0.1815748,11.28394,23,-0.03127574920654297,575000,12.369578664898873,174505.53,21.895880460739136,5750
0.877668,56241,0.22636239,41.43,5.7197,0.1762041,6.2915297,24,0.14120852947235107,600000,8.138246209323405,33610.836,22.749974250793457,6000
0.847916,56909,0.21491928,27.36,5.7203856,0.17416072,4.970729,25,0.17627602815628052,625000,5.37056734457612,26391.672,23.61070227622986,6250
0.864332,56280,0.2150254,53.24,5.7211013,0.17807734,4.2181883,26,-0.1899939775466919,650000,10.465386752784251,19887.035,24.45478343963623,6500
