policy_loss,value_loss,policy_entropy,serial_timesteps,ep_reward_mean,approxkl,clipfrac,explained_variance,time_elapsed,total_timesteps,fps,true_reward,n_updates,ep_len_mean
0.10762228,146327620000000.0,5.675752,250,8.04240512251854,1420973.2,0.0752,-42.206932067871094,0.00013065338134765625,250,88,0.16084811,1,50.0
0.19620232,26867622.0,5.675752,500,8.052823670208454,26536618.0,0.292,-18.503965377807617,2.9909801483154297,500,2241,0.16126485,2,50.0
0.09454547,507804160.0,5.675752,750,8.069184256593386,1241536900.0,0.2092,-84.19794464111328,3.1310858726501465,750,2101,0.16203812,3,50.0
0.099296816,5792910500000.0,5.675752,1000,8.063511189818382,1.1504975e+16,0.3104,-27.484838485717773,3.2786600589752197,1000,2301,0.16092984,4,50.0
0.05703052,68932380.0,5.6757574,1250,8.485369505981604,240369660000.0,0.2684,-61610.72265625,3.4156112670898438,1250,2293,0.16951458,5,52.083333333333336
0.13634275,6628325000.0,5.6757746,1500,8.415017275974668,1507965700000000.0,0.49840003,-15.13076400756836,3.5527334213256836,1500,2138,0.16154654,6,51.724137931034484
0.15471633,1219543.0,5.6757812,1750,8.366272904417094,2934119400.0,0.52959996,-30.22161865234375,3.6978397369384766,1750,2263,0.16167112,7,51.470588235294116
0.1103245,4437256700.0,5.675782,2000,8.33473278849553,1440642900000000.0,0.4012,-19.95528221130371,3.837160348892212,2000,2271,0.16240521,8,51.282051282051285
0.10295577,33797550000000.0,5.6757855,2250,8.303258340805769,2.1446281e+21,0.44959998,-39.13324737548828,3.975064992904663,2250,2241,0.16115515,9,51.13636363636363
0.096419804,4336403500.0,5.6757855,2500,8.072269183397292,942755600000.0,0.254,-41.72719192504883,4.114721298217773,2500,2217,0.15308039,10,50.0
0.10243777,354252670.0,5.6757855,2750,8.072207684137604,60357740000.0,0.2272,-22.08324432373047,4.254765748977661,2750,2237,0.16143185,11,50.0
nan,nan,nan,3000,nan,nan,0.0168,nan,4.391114234924316,3000,2227,nan,12,41.0958904109589
nan,nan,nan,3250,nan,nan,0.0,nan,4.528568983078003,3250,2158,nan,13,0.99
nan,nan,nan,3500,nan,nan,0.0,nan,4.678734540939331,3500,1529,nan,14,0.99
nan,nan,nan,3750,nan,nan,0.0,nan,4.8769755363464355,3750,2098,nan,15,0.99
nan,nan,nan,4000,nan,nan,0.0,nan,5.030694961547852,4000,2145,nan,16,0.99
nan,nan,nan,4250,nan,nan,0.0,nan,5.181053638458252,4250,2135,nan,17,0.99
nan,nan,nan,4500,nan,nan,0.0,nan,5.3327956199646,4500,2152,nan,18,0.99
nan,nan,nan,4750,nan,nan,0.0,nan,5.483263254165649,4750,2185,nan,19,0.99
nan,nan,nan,5000,nan,nan,0.0,nan,5.631924152374268,5000,2257,nan,20,0.99
nan,nan,nan,5250,nan,nan,0.0,nan,5.77772068977356,5250,2138,nan,21,0.99
nan,nan,nan,5500,nan,nan,0.0,nan,5.92922830581665,5500,2106,nan,22,0.99
