total_timesteps,ep_reward_mean,policy_entropy,true_reward,approxkl,clipfrac,ep_len_mean,policy_loss,value_loss,explained_variance,serial_timesteps,fps,time_elapsed,n_updates
250,-1.3549133535427382,5.676735,-0.42815262,7445.6357,0.58239996,3.1645569620253164,0.2668974,123.915184,0.007633328437805176,250,89,0.00014281272888183594,1
500,-1.5556264273822307,5.6810236,-0.7324425,0.06246292,0.1416,2.17,0.040283088,3.563612,-13.441244125366211,500,2190,2.959750175476074,2
750,-1.4020350974798204,5.6845746,-0.4601867,1.1902938,0.4376,2.85,0.16998088,45.438454,-0.15416598320007324,750,2254,3.107447862625122,3
1000,-1.54983460098505,5.687841,-0.72446907,0.0042855255,0.0516,2.2,-0.007003588,0.9547356,-37.289825439453125,1000,2208,3.249582290649414,4
1250,-1.581119573265314,5.6876173,-0.77246827,0.0075417794,0.088,2.04,-0.014199099,0.20247726,-8.86732006072998,1250,2180,3.3956799507141113,5
1500,-1.5341009560227394,5.681367,-0.70043343,0.042092383,0.11440001,2.28,0.047376595,5.676618,-3.325382709503174,1500,2252,3.5426926612854004,6
1750,-1.5811046142876148,5.6772904,-0.80446064,0.032951657,0.2428,2.04,-0.03315301,0.071060024,-1.7348558902740479,1750,2192,3.6865181922912598,7
2000,-1.555696060359478,5.67124,-0.7084696,0.020357385,0.2124,2.17,-0.030122291,0.053060036,-0.892711877822876,2000,2216,3.8340485095977783,8
2250,-1.4911501160264016,5.6621475,-0.5964601,0.12063352,0.4244,2.5,-0.044524185,0.04632781,-0.28777194023132324,2250,2226,3.9798078536987305,9
2500,-1.4007325839996339,5.6530366,-0.50844604,0.063072965,0.27440003,2.86,-0.023317195,0.08215281,-0.20674502849578857,2500,2169,4.124932050704956,10
2750,-1.5204683455824852,5.6466813,-0.63645536,0.08249903,0.38880002,2.35,-0.055939384,0.041857634,-0.05534791946411133,2750,2303,4.270899534225464,11
3000,-1.2911190530657768,5.634404,-0.27641216,0.054094147,0.2504,3.42,0.040055864,0.6755851,-0.8425277471542358,3000,2221,4.409011602401733,12
3250,-1.1808301368355751,5.627566,-0.2921031,0.27819642,0.2256,3.98,0.06418854,1.1981223,0.3511093854904175,3250,2271,4.548430919647217,13
3500,-1.2636784335970879,5.6250772,-0.32439876,0.4079892,0.36720002,3.56,-0.017113985,0.45135456,0.19401037693023682,3500,2256,4.684295177459717,14
3750,-1.2186879007518292,5.6242914,-0.34038392,0.13548204,0.2604,3.79,-0.02025066,0.42230424,0.2160259485244751,3750,2174,4.821496248245239,15
4000,-0.9373226261138916,5.623675,-0.027932908,21.634497,0.58080006,5.12,0.1818891,5.195737,-1.147143840789795,4000,2170,4.9626359939575195,16
4250,-0.7489463563263417,5.6233625,-0.09212027,5.656151,0.40559998,6.08,0.02272899,1.7492384,0.6117584407329559,4250,2214,5.102980613708496,17
4500,-0.3716445778310299,5.6230555,0.044108894,0.55883366,0.4848,7.9,0.09902648,6.875009,0.6324001848697662,4500,2289,5.2421276569366455,18
4750,-0.06309411481022835,5.6228476,0.0041710758,309.66327,0.71,9.47,0.123942256,9.016567,0.34375929832458496,4750,2231,5.375269174575806,19
5000,-0.3400771230459213,5.6227474,-0.15612541,0.07229433,0.1672,8.06,0.050762724,1.388846,0.12900280952453613,5000,2241,5.512907981872559,20
5250,-0.9414060379564763,5.6225004,-0.22826234,0.24672034,0.30440003,5.1,0.06291647,0.6382362,0.002020418643951416,5250,2080,5.65314245223999,21
5500,-0.9835097074508667,5.6214275,-0.1723594,0.6488859,0.5064,4.99,-0.013382355,0.50080925,0.17889708280563354,5500,2180,5.799835681915283,22
5750,-0.6275169309973717,5.6188116,0.044198424,4.542102,0.5472,6.7,0.09646818,1.6205753,0.6095150411128998,5750,2316,5.939905405044556,23
6000,-0.3527939270436764,5.617365,0.04393116,130.94443,0.68360007,8.0,0.0894932,13.246013,0.12172424793243408,6000,2254,6.0725178718566895,24
6250,-0.21114418774843216,5.6168337,-0.09204119,2.8699095,0.3536,8.72,0.05616961,7.9071236,0.37781035900115967,6250,2204,6.207228660583496,25
6500,-0.35848196849226954,5.616588,-0.08406405,12.423693,0.52199996,7.97,0.08057088,1.6193587,0.4278743863105774,6500,2146,6.3494343757629395,26
6750,-0.3869182041287422,5.6165123,0.03629891,45.622707,0.6916,7.82,0.05542879,19.902287,0.06852144002914429,6750,2190,6.491092205047607,27
7000,-0.21846063673496247,5.6164393,0.028037122,166.00706,0.7056,8.68,0.04570767,7.8026085,0.2616097331047058,7000,1167,6.629596471786499,28
7250,0.18832780674099922,5.6162453,0.12416728,26.618338,0.468,10.65,0.1221751,19.261425,-0.49639594554901123,7250,2254,6.868588924407959,29
7500,0.635048997849226,5.616327,0.13250375,0.6258265,0.5092,12.82,0.021001551,46.20617,-0.38007497787475586,7500,2120,7.004696607589722,30
7750,0.9619899117946624,5.6164412,0.10853381,46.933006,0.704,14.48,0.046993498,79.12513,-0.2833139896392822,7750,2195,7.146187782287598,31
8000,1.1838932099938393,5.6165276,0.092117995,8.185258,0.59360003,15.51,0.023363823,63.17749,-0.040047407150268555,8000,2218,7.284225225448608,32
8250,1.5277575731277466,5.6165648,0.05221879,85.070206,0.66639996,17.26,0.0727466,26.389572,0.25941556692123413,8250,2195,7.42165470123291,33
8500,1.7797033281624317,5.6165566,0.124469385,0.17455229,0.38880002,18.44,0.05191381,4.7101483,0.2246624231338501,8500,2244,7.560032367706299,34
8750,1.840691228210926,5.6165705,0.14840381,10.797806,0.56439996,18.75,0.026502743,7.758362,0.4428297281265259,8750,2147,7.695814847946167,35
9000,2.3329966151714325,5.616625,0.15674423,15.152486,0.71279997,21.15,0.06584482,5.225522,0.4160568118095398,9000,2184,7.835664510726929,36
9250,2.5988107828795908,5.6162224,0.10036527,64.7892,0.7004,22.5,0.12368337,1.743906,0.6544619798660278,9250,1213,7.97425389289856,37
9500,2.6584839633107187,5.615831,0.14037414,8.881685,0.61079997,22.7,0.029179227,16.765823,0.3026580810546875,9500,2254,8.204338312149048,38
9750,2.7267580512166023,5.615691,0.14027227,3.8672085,0.6328,23.05,0.01044232,74.783104,-0.13250434398651123,9750,2176,8.33917498588562,39
10000,2.8641622291505335,5.615721,0.1485085,122.4432,0.6024,23.75,0.18890361,15.836052,-0.5121419429779053,10000,2267,8.477596282958984,40
10250,3.1492871625721452,5.6159925,0.15641947,104.01897,0.7744,25.1,0.08706601,29.676086,0.0007104277610778809,10250,2176,8.611669540405273,41
10500,3.611079105883837,5.616114,0.17244917,36.14746,0.6312,27.45,0.040380325,70.95121,-1.8653886318206787,10500,2193,8.751393795013428,42
10750,4.106675156950951,5.616109,0.17249624,1.0199298,0.6124,29.87,0.01074951,80.83348,-0.3951646089553833,10750,2211,8.890729188919067,43
11000,4.133527106940746,5.616071,0.14068957,29.683558,0.65440005,30.0,0.043570895,5.321496,0.04757589101791382,11000,2150,9.027629852294922,44
11250,4.584519125968217,5.615991,0.17267142,0.2081377,0.43800002,32.19,0.01583399,66.66656,-0.33619189262390137,11250,2173,9.167928695678711,45
11500,5.066425043195486,5.6160064,0.16449662,0.9379417,0.53840005,34.54,0.089284755,50.99491,-0.4805788993835449,11500,2270,9.306081771850586,46
11750,5.370258613079787,5.6160226,0.17277625,43.727127,0.73039997,35.98,0.02619031,13.348483,0.7735361903905869,11750,2185,9.43990421295166,47
12000,5.70550102069974,5.6160502,0.16480479,2304.5046,0.8352,37.58,0.157552,6.203079,-0.5797417163848877,12000,2210,9.580330610275269,48
12250,5.8374938966333865,5.6160593,0.1486958,22.915112,0.696,38.25,0.0017604877,18.16003,0.19368618726730347,12250,2102,9.71684741973877,49
12500,5.989886818230152,5.6161118,0.15680847,1.7051842,0.5848,39.02,0.1342059,4.535772,0.37598204612731934,12500,2235,9.859284162521362,50
12750,6.058188024908304,5.6164293,0.14828601,400.1471,0.8144,39.37,0.13081306,70.89309,-0.1101677417755127,12750,2141,9.994961738586426,51
13000,6.181966723501683,5.616716,0.17267276,21.909159,0.658,40.0,0.06574994,5.604825,0.8325347602367401,13000,2079,10.135624170303345,52
13250,6.642938263565302,5.617269,0.17273657,18.423716,0.6716,42.24,0.027233386,17.411991,0.6931975781917572,13250,2129,10.282859325408936,53
13500,6.930667611956596,5.617589,0.15664198,66.33534,0.76039994,43.6,0.08369395,44.4182,-0.2846808433532715,13500,2116,10.424123048782349,54
13750,7.046895177513361,5.6177034,0.15647049,2.7561314,0.5112,44.19,0.081513576,96.51784,-1.0459575653076172,13750,2230,10.565953254699707,55
14000,7.312900874763727,5.6177945,0.17272185,101.77493,0.80880004,45.44,0.09952398,10.96312,0.6539610028266907,14000,2241,10.701875925064087,56
14250,7.370627575367689,5.6179466,0.16469836,17.000443,0.7184,45.73,0.027654285,28.380283,0.5035410225391388,14250,2262,10.836976528167725,57
14500,7.512892929464579,5.6180477,0.148679,4.161497,0.5676,46.45,0.04269121,66.85838,0.29201674461364746,14500,2154,10.971666812896729,58
14750,7.719970713555813,5.6181135,0.17277353,127.377525,0.782,47.5,0.12198979,26.018665,0.7656169980764389,14750,2185,11.111437559127808,59
15000,7.8327471153438095,5.6181016,0.16468018,141.92226,0.7676,47.97,0.08167903,26.22551,-0.6504205465316772,15000,2204,11.24904990196228,60
15250,7.490787225663662,5.61806,0.14846197,8.519678,0.6332,46.33,-0.02745448,28.298197,-0.10342657566070557,15250,2260,11.386134386062622,61
15500,7.5889298611879346,5.6180873,0.17252904,10.443825,0.6955999,46.83,0.030819485,217.19632,-0.8533601760864258,15500,2173,11.520406484603882,62
