value_loss,time_elapsed,explained_variance,clipfrac,fps,ep_len_mean,true_reward,ep_reward_mean,total_timesteps,approxkl,serial_timesteps,policy_entropy,n_updates,policy_loss
0.17102924,0.0001201629638671875,-8.427436828613281,0.2612,88,1.24,-1.4524615,-1.73753394395113,250,0.02135029,250,5.6763983,1,-0.044027988
0.14413314,2.998955726623535,-3.0733084678649902,0.1816,2374,1.31,-1.3244684,-1.7238502597808838,500,0.016565744,500,5.6797123,2,-0.029757958
0.07660559,3.138944387435913,-7.8300981521606445,0.1352,2426,1.34,-1.2764732,-1.7179909248650074,750,0.0098609915,750,5.6810927,3,-0.021582667
0.08379937,3.2771124839782715,-5.167523384094238,0.1768,2423,1.44,-1.2124741,-1.6984414522349836,1000,0.014174466,1000,5.67892,4,-0.026081279
0.0553192,3.414785623550415,-2.5413029193878174,0.2128,2298,1.49,-1.1484711,-1.6886530052125455,1250,0.022742096,1250,5.672013,5,-0.030084124
0.043238223,3.5580894947052,-1.84614896774292,0.18920001,2286,1.49,-1.0684793,-1.6886665657162667,1500,0.01526213,1500,5.6641035,6,-0.027890999
0.036134608,3.7013022899627686,-1.598663568496704,0.22839999,2372,1.45,-1.132473,-1.6964807724952697,1750,0.021353085,1750,5.6552877,7,-0.02706169
0.04261715,3.841510534286499,-0.625385046005249,0.2196,2321,1.63,-1.044489,-1.6613306999206543,2000,0.02275746,2000,5.6486826,8,-0.035231985
0.04650908,3.983945608139038,-0.2431257963180542,0.22,2309,1.87,-0.8685013,-1.6144089825451373,2250,0.0225195,2250,5.639041,9,-0.032937743
0.03511758,4.12546181678772,-0.41565895080566406,0.2352,2366,1.91,-0.82050174,-1.6066085259616374,2500,0.02541092,2500,5.627528,10,-0.034459945
0.042735882,4.262537240982056,-0.15524256229400635,0.20120001,2365,1.82,-0.85252374,-1.6241982899606229,2750,0.025884762,2750,5.6160555,11,-0.027871817
0.15499355,4.398440837860107,-0.010210871696472168,0.1688,2388,2.74,-0.50874364,-1.4249394458532334,3000,0.013135019,3000,5.605473,12,-0.022837723
0.13916501,4.531104803085327,0.03261440992355347,0.17999999,2323,2.46,-0.62068444,-1.4995335632562636,3250,0.013780144,3250,5.5983105,13,-0.02110397
0.0665451,4.666488885879517,-0.26933300495147705,0.21760002,2326,2.16,-0.676536,-1.5577401621639728,3500,0.024938619,3500,5.5911326,14,-0.026258979
