ep_len_mean,policy_loss,fps,total_timesteps,value_loss,approxkl,clipfrac,n_updates,policy_entropy,ep_reward_mean,serial_timesteps,explained_variance,time_elapsed,true_reward
0.82,0.0055741174,6879,25000,2.5113862,0.006232832,0.047716,1,5.674081,0.16034343764185904,250,-35.983516693115234,0.0011818408966064453,0.18590316
1.03,-0.015013652,50018,50000,0.19880216,0.01748854,0.17435999,2,5.6666946,0.20141070306301118,500,-1.94014573097229,4.677196741104126,0.18596022
0.86,-0.028632393,49258,75000,0.10800449,0.03452643,0.255332,3,5.6604853,0.16816856876015662,750,-0.667507529258728,6.092601299285889,0.18684585
1.51,-0.030472815,49734,100000,0.08992089,0.053872287,0.290016,4,5.655999,0.29521436512470245,1000,-0.38465380668640137,7.665944576263428,0.18769126
1.87,-0.02982746,50036,125000,0.09949149,0.05518304,0.27706802,5,5.6497054,0.3656991206109524,1250,-0.2363985776901245,9.011980056762695,0.18858877
1.97,-0.023931753,49783,150000,0.107623264,0.048092946,0.24440798,6,5.643526,0.38522522926330566,1500,-0.1276644468307495,10.275533199310303,0.18945467
2.49,-0.013812755,50556,175000,0.12269058,0.04454878,0.24810398,7,5.6366177,0.4869670160114765,1750,-0.061044931411743164,11.50088095664978,0.19056027
3.01,-0.011694358,51783,200000,0.13615501,0.025023635,0.226244,8,5.6295137,0.588659769743681,2000,-0.0782155990600586,12.669724464416504,0.19138236
2.61,-0.010382683,52210,225000,0.14090493,0.011903515,0.15169601,9,5.6217084,0.5104461561143399,2250,-0.3508409261703491,13.769356489181519,0.19185321
3.13,-0.008215804,51104,250000,0.12345239,0.010879366,0.133992,10,5.6134634,0.6121237388253212,2500,-0.1514275074005127,14.84825611114502,0.19206339
3.23,0.0072468864,51252,275000,0.117047764,0.02925988,0.23640001,11,5.604489,0.6317083264887333,2750,-0.11174607276916504,15.943908214569092,0.19234681
3.68,-0.005119551,52433,300000,0.10523994,0.008828228,0.11239199,12,5.594961,0.7197112995386123,3000,0.021550118923187256,16.986913681030273,0.19257477
3.42,0.0035592213,43455,325000,0.11140859,0.016707221,0.16770801,13,5.5824943,0.6688779497146606,3250,0.08453935384750366,18.011009216308594,0.1926477
3.53,-0.0027983822,46566,350000,0.08752851,0.008087359,0.107723996,14,5.5698504,0.6904075241088867,3500,0.20770138502120972,19.12835931777954,0.1927298
2.98,-0.0032481372,53257,375000,0.095083445,0.0052440204,0.062668,15,5.5582247,0.5828311964869499,3750,0.22091144323349,20.217416763305664,0.19284163
3.51,0.00096324086,53002,400000,0.10743554,0.007357864,0.095344,16,5.548297,0.6865026168525219,4000,0.25297337770462036,21.21074414253235,0.19292024
3.54,0.012016121,51308,425000,0.09353813,0.02061199,0.176508,17,5.540244,0.6923731826245785,4250,0.2244381308555603,22.24538230895996,0.19298065
3.6,-0.0006604214,48209,450000,0.09203476,0.006308821,0.073924,18,5.5321326,0.7041148382425308,4500,0.25919973850250244,23.251604557037354,0.19300088
3.56,0.0010073571,50570,475000,0.088363186,0.006239939,0.078924,19,5.5234594,0.6962825244665146,4750,0.28585392236709595,24.29981303215027,0.19301216
3.62,0.010794097,46534,500000,0.087087475,0.012781581,0.156396,20,5.515969,0.7080351991951466,5000,0.25062644481658936,25.32884669303894,0.19309133
4.22,0.005080334,50341,525000,0.0835333,0.007906057,0.093204,21,5.5098066,0.825390872657299,5250,0.26537495851516724,26.388800382614136,0.19311647
