value_loss,n_updates,total_timesteps,approxkl,clipfrac,policy_loss,serial_timesteps,policy_entropy,true_reward,ep_len_mean,ep_reward_mean,fps,time_elapsed,explained_variance
0.1159666,1,25000,0.012393462,0.154288,-0.01828413,250,5.6704745,0.09398437,1.19,0.2323331218957901,7748,0.0006930828094482422,-0.27033698558807373
0.04427089,2,50000,0.008963733,0.123728,-0.009721831,500,5.658408,0.09934978,1.17,0.22823078259825708,47874,4.319692611694336,-0.4654977321624756
0.03888645,3,75000,0.004274164,0.053255998,-0.0060325926,750,5.6455913,0.1023041,1.07,0.20889067143201828,49069,5.765135288238525,-0.18983054161071777
0.04065456,4,100000,0.008479542,0.120164,-0.0069653457,1000,5.6315107,0.10479849,1.17,0.22838281080126763,48082,7.191337585449219,-0.026768803596496582
0.0453033,5,125000,0.004190297,0.053392,-0.004536318,1250,5.6165657,0.10786943,1.18,0.23035243660211563,49101,8.609012365341187,-0.018705368041992188
0.046610888,6,150000,0.008097463,0.113584,-0.0058185006,1500,5.6016235,0.109625995,1.1,0.21477732107043265,45777,10.009150266647339,-0.007667064666748047
0.050155036,7,175000,0.0053636534,0.069547996,-0.0060787527,1750,5.587348,0.11267992,1.27,0.2479824900627136,48001,11.45846152305603,-0.0024118423461914062
0.05400432,8,200000,0.009123755,0.12671599,-0.0073818252,2000,5.5735636,0.115680285,1.52,0.2966511589288712,49721,12.859493970870972,-0.001659393310546875
0.057224117,9,225000,0.0066424957,0.08711201,-0.008080274,2250,5.560035,0.11794141,1.52,0.2963888314366341,41049,14.213758707046509,0.0007706284523010254
0.065576,10,250000,0.0104100015,0.14513601,-0.009120352,2500,5.546653,0.12241,1.86,0.36272143498063086,48928,15.652371406555176,0.002502262592315674
0.069690906,11,275000,0.007158312,0.096532,-0.008109888,2750,5.5336447,0.124977335,1.54,0.300359767973423,46729,16.962697744369507,0.004294455051422119
0.0792714,12,300000,0.010744209,0.15038799,-0.01052863,3000,5.520854,0.13008934,2.48,0.48365225553512575,49492,18.28519320487976,0.002963840961456299
0.09784625,13,325000,0.008820181,0.12286399,-0.009948001,3250,5.5081735,0.13505341,2.4,0.4680463050305843,48761,19.54461908340454,0.003425121307373047
0.11705557,14,350000,0.010267237,0.14474,-0.010978525,3500,5.4956903,0.14055468,2.36,0.4595074796676636,48266,20.771450996398926,0.0035110116004943848
0.14010021,15,375000,0.009255539,0.128824,-0.010283354,3750,5.4834313,0.14537811,2.78,0.5410636506974698,48762,21.98331928253174,0.007973909378051758
0.17053065,16,400000,0.009781942,0.14121202,-0.009741864,4000,5.4715815,0.15089338,3.74,0.7270319640636445,49738,23.22267508506775,0.012772738933563232
0.19150072,17,425000,0.009693931,0.138488,-0.010574264,4250,5.4600277,0.15500842,4.43,0.8609472100436687,50951,24.351802110671997,0.025987327098846436
0.21697447,18,450000,0.009779379,0.141728,-0.009966508,4500,5.448835,0.15986249,4.93,0.9566923573613166,45727,25.44402003288269,0.04488295316696167
0.23045933,19,475000,0.009040367,0.13031599,-0.008533334,4750,5.4376864,0.16362178,5.13,0.9963203124701977,51907,26.5614972114563,0.07058137655258179
0.23852892,20,500000,0.009287196,0.13581601,-0.009462145,5000,5.42671,0.16613035,5.39,1.046648973673582,49453,27.578552722930908,0.09790432453155518
0.23793292,21,525000,0.007667102,0.110640004,-0.007968912,5250,5.416184,0.16969916,5.99,1.1624940921366216,51542,28.630884170532227,0.14706182479858398
0.23002581,22,550000,0.007941879,0.116416,-0.007567993,5500,5.4059634,0.17192258,4.73,0.9186292645335198,41759,29.638290405273438,0.20915544033050537
0.22140262,23,575000,0.0070719807,0.10096799,-0.0064385147,5750,5.3962436,0.17365673,5.76,1.1175693687796593,50782,30.74282741546631,0.2665248513221741
0.21379276,24,600000,0.007818637,0.113572,-0.006937161,6000,5.3866487,0.1745851,7.04,1.3653056222200393,49456,31.729188680648804,0.31077128648757935
0.19634028,25,625000,0.006482005,0.091120005,-0.0052381447,6250,5.3775744,0.17615034,6.86,1.3305029806494713,44763,32.72994923591614,0.37357157468795776
0.18220899,26,650000,0.0062646135,0.089236,-0.0054573272,6500,5.3685412,0.1770009,7.58,1.470065548568964,51536,33.77985191345215,0.4269627332687378
0.17486238,27,675000,0.0060551683,0.087576,-0.004759715,6750,5.3596525,0.1773359,6.58,1.2763428564369679,49713,34.737176179885864,0.46006447076797485
0.15838149,28,700000,0.00554341,0.076476,-0.0047889235,7000,5.3510375,0.17792393,7.41,1.4363927920162678,47363,35.70741295814514,0.5133388936519623
0.14910802,29,725000,0.005311128,0.071232006,-0.0042228694,7250,5.3423986,0.17825702,7.27,1.4102889558672904,52941,36.71672487258911,0.5442312061786652
0.13587043,30,750000,0.004714527,0.057932,-0.0036739614,7500,5.333453,0.17878537,6.85,1.328723505437374,50863,37.65178298950195,0.5857082307338715
0.1281322,31,775000,0.0056040892,0.07358,-0.0033759295,7750,5.3246155,0.17886391,7.51,1.4566080608963967,51538,38.593660831451416,0.6138052046298981
0.11821468,32,800000,0.0045627463,0.052924,-0.0030646531,8000,5.316419,0.17915922,6.99,1.3567088456451892,52001,39.54171824455261,0.645044595003128
0.10919435,33,825000,0.0051829303,0.06454401,-0.0025771891,8250,5.308709,0.17927171,7.22,1.4012988485395907,52473,40.47971534729004,0.6726168990135193
0.10164721,34,850000,0.004923544,0.061004,-0.0023983836,8500,5.3012238,0.17952672,8.77,1.7002789640426637,51825,41.41712284088135,0.6948148310184479
0.093529806,35,875000,0.00434918,0.048068,-0.002484769,8750,5.294187,0.17951652,8.44,1.6354862670600414,51815,42.34944224357605,0.7196972370147705
0.08310096,36,900000,0.0040365634,0.041148,-0.0018250968,9000,5.2872286,0.17968786,8.94,1.732857352644205,52897,43.310078144073486,0.7502388805150986
0.08112396,37,925000,0.003499899,0.031891994,-0.0017744241,9250,5.280566,0.1796783,8.33,1.6152169638872147,50652,44.22960877418518,0.757339745759964
0.07439087,38,950000,0.0031878497,0.027036,-0.0012485867,9500,5.2736683,0.17988688,9.25,1.7920618765056133,52335,45.18170714378357,0.7756271660327911
0.068405084,39,975000,0.005338599,0.067343995,-0.0017485775,9750,5.266655,0.1798495,8.47,1.6419245663285256,52927,46.10871720314026,0.7941291928291321
0.0604813,40,1000000,0.004209886,0.046588,-0.0014780439,10000,5.260623,0.17990975,8.68,1.6829675716161727,50547,47.02318596839905,0.8172220885753632
0.05500245,41,1025000,0.003738365,0.03502,-0.001932805,10250,5.255206,0.18003471,10.01,1.9401768277585507,51400,47.96704363822937,0.833223357796669
0.051816832,42,1050000,0.004521017,0.054512,-0.0004730578,10500,5.2501793,0.17994253,8.73,1.6927354404330253,51736,48.89366126060486,0.8434335887432098
0.04607157,43,1075000,0.00476381,0.054551996,-0.0018206565,10750,5.2451954,0.1799691,9.78,1.8954493898153304,53030,49.824286699295044,0.8608929961919785
0.042446762,44,1100000,0.0034469855,0.032908,-0.0013808745,11000,5.239875,0.18009795,9.9,1.9180052295327186,45603,50.76446080207825,0.8713555634021759
0.038402695,45,1125000,0.003070963,0.025336001,-0.0014455344,11250,5.23461,0.18008873,9.64,1.8693953152000904,51513,51.80333185195923,0.8832849413156509
0.033487163,46,1150000,0.00502776,0.061367996,-0.0019434721,11500,5.229083,0.18010156,9.46,1.8343223732709886,52741,52.76033663749695,0.8980438336730003
0.029290866,47,1175000,0.0035168782,0.037040003,-0.0015196584,11750,5.223932,0.18013178,9.76,1.892546844780445,51746,53.688854694366455,0.9111551940441132
0.02629284,48,1200000,0.0044352463,0.047588002,-0.0011942231,12000,5.2188044,0.18024243,10.13,1.9641545948386192,50425,54.63947367668152,0.9202241003513336
0.024073089,49,1225000,0.003346967,0.031848002,-0.0013966081,12250,5.213294,0.18021734,10.19,1.9752250507473945,51438,55.61666965484619,0.9271416589617729
0.020863762,50,1250000,0.0025635357,0.01944,-0.001220774,12500,5.206959,0.18026352,9.76,1.8928943811357022,52508,56.57648825645447,0.936888612806797
0.019531254,51,1275000,0.0031899824,0.034656,-0.0014550152,12750,5.2010107,0.18023889,10.26,1.9893805530667306,50049,57.5193030834198,0.941227775067091
0.019528221,52,1300000,0.0024412076,0.01622,-0.0011587257,13000,5.195693,0.18021612,9.86,1.9124659082293511,52163,58.493295431137085,0.9417264871299267
0.017783461,53,1325000,0.0034728802,0.032587998,-0.0014323288,13250,5.189658,0.18023983,10.04,1.9469553416967391,52179,59.426440715789795,0.947024118155241
0.015985275,54,1350000,0.0026672692,0.018932,-0.0012920522,13500,5.1843505,0.18034159,10.38,2.011740705221891,50845,60.38949394226074,0.9523518532514572
0.01759036,55,1375000,0.0042357068,0.04984,-0.002106405,13750,5.179538,0.18026398,10.28,1.9931442534923554,51137,61.34300923347473,0.9479762203991413
0.016851736,56,1400000,0.0039107436,0.042676,-0.0016038861,14000,5.1739335,0.18022329,10.32,2.0007542452216147,51448,62.29200506210327,0.9503604732453823
0.01409694,57,1425000,0.0020910888,0.017083999,-0.0015988374,14250,5.1678042,0.18027478,10.09,1.9569944939017296,51338,63.25455045700073,0.9584553278982639
0.015222062,58,1450000,0.005599421,0.0705,-0.0017701729,14500,5.1618433,0.18026976,9.98,1.9350207985937595,50799,64.20248103141785,0.9553019367158413
0.011996379,59,1475000,0.0050793206,0.06259601,-0.0013575687,14750,5.156577,0.18035366,9.88,1.9164769802987576,46931,65.16426467895508,0.964759349822998
0.012149335,60,1500000,0.0018460468,0.013339999,-0.0010461047,15000,5.152093,0.18036248,10.24,1.9857254880666733,52231,66.15533375740051,0.9643559902906418
0.012094418,61,1525000,0.0018525757,0.011856,-0.0010833748,15250,5.1473274,0.18034583,10.35,2.007179124802351,52804,67.10790753364563,0.9645699895918369
0.012881468,62,1550000,0.0038204968,0.037648,-0.0016286888,15500,5.1420565,0.18032396,10.29,1.9952461856603623,46446,68.06965494155884,0.9622793234884739
0.01283623,63,1575000,0.004336501,0.050444,-0.0016208704,15750,5.1371493,0.18033123,10.02,1.9431013813614846,51963,69.06964683532715,0.9624522365629673
0.011595023,64,1600000,0.00327871,0.030952001,-0.0017086547,16000,5.132441,0.18036956,10.31,1.9990268491208554,53465,70.00911521911621,0.966067086905241
0.011738554,65,1625000,0.0019417541,0.0131479995,-0.0010772604,16250,5.128015,0.18034674,10.07,1.9534062907099723,51997,70.93598794937134,0.9656965769827366
0.010842549,66,1650000,0.0024352237,0.021592,-0.0010074456,16500,5.1236367,0.18039492,10.35,2.0064923246204853,50525,71.89502501487732,0.9682337231934071
0.011038067,67,1675000,0.0025357974,0.021084,-0.0007443974,16750,5.119385,0.18037644,10.04,1.9475780922174453,49756,72.85687804222107,0.9677544981241226
