fps,n_updates,ep_reward_mean,explained_variance,approxkl,serial_timesteps,policy_loss,value_loss,ep_len_mean,true_reward,time_elapsed,clipfrac,total_timesteps,policy_entropy
7434,1,0.25756585240364077,-0.31676459312438965,0.009060259,250,-0.013657327,0.1471224,1.32,0.09798834,0.0007882118225097656,0.11277201,25000,5.670455
48601,2,0.22848691835999488,-0.5273759365081787,0.007606458,500,-0.008123732,0.05077666,1.17,0.10096546,4.409540176391602,0.100320004,50000,5.658242
49629,3,0.25971087768673895,-0.26007509231567383,0.0061133164,750,-0.006013927,0.041779175,1.33,0.10321522,5.834393501281738,0.082988,75000,5.645167
45416,4,0.21867707148194312,-0.0465390682220459,0.006105154,1000,-0.0057473583,0.04350606,1.12,0.10401362,7.218475580215454,0.081944,100000,5.6309714
45904,5,0.2440626861155033,-0.029600977897644043,0.006305677,1250,-0.0055396548,0.04812379,1.25,0.10813233,8.642632961273193,0.084636,125000,5.616455
49434,6,0.25578530117869375,-0.016648530960083008,0.0069715395,1500,-0.0059424755,0.05186013,1.31,0.11037929,10.05910325050354,0.093516,150000,5.601788
49366,7,0.2517713634669781,-0.006780862808227539,0.0067719864,1750,-0.0058044796,0.057717375,1.29,0.11254993,11.434303760528564,0.09146,175000,5.587069
49198,8,0.3488996934890747,0.00253373384475708,0.008054066,2000,-0.006419229,0.07047318,1.79,0.116589084,12.785902500152588,0.10006,200000,5.572669
50331,9,0.3585619015991688,0.011551618576049805,0.00646126,2250,-0.0059039933,0.081701346,1.84,0.1193682,14.102827310562134,0.077152,225000,5.558958
45501,10,0.36456072360277175,0.02631998062133789,0.008741813,2500,-0.008849142,0.10259062,1.87,0.12346545,15.403401374816895,0.110604,250000,5.5463967
