policy_entropy,time_elapsed,ep_reward_mean,true_reward,fps,total_timesteps,explained_variance,value_loss,ep_len_mean,approxkl,policy_loss,n_updates,clipfrac,serial_timesteps
5.6769037,0.0012505054473876953,0.0,-0.0041783536,7560,25000,-3323.208740234375,45.50302,0.0,0.745672,0.14136897,1,0.64273596,250
5.6819797,4.89402961730957,0.0,-0.0042889165,45898,50000,-36730.921875,3.1180108,0.0,0.20378077,0.11653701,2,0.60396,500
5.6848187,7.160261869430542,0.0,-0.004183158,44559,75000,-1724.1641845703125,0.51097095,0.0,0.11261765,0.075566724,3,0.526024,750
5.6863184,9.208298683166504,0.0,-0.004228594,45112,100000,-2370.9033203125,0.15400992,0.0,0.020823425,0.012450835,4,0.242148,1000
5.688972,11.256973505020142,0.0,-0.0042384393,46436,125000,-305.58392333984375,0.028677097,0.0,0.015104933,0.0036002155,5,0.153424,1250
5.6898293,13.287644147872925,0.0,-0.004172836,41252,150000,-48.88496780395508,0.0098091755,0.0,0.015894052,0.0057724016,6,0.20233998,1500
5.68927,15.357353925704956,0.0,-0.004177247,46081,175000,-18.922927856445312,0.0041033505,0.0,0.031387366,0.0034243655,7,0.24893601,1750
5.688235,17.36657214164734,0.0,-0.0041065635,40223,200000,-3.191075325012207,0.027248392,0.0,0.065770015,0.026963692,8,0.4722,2000
5.6872387,19.463812351226807,0.0,-0.00414159,41642,225000,-9.894908905029297,0.012966233,0.0,0.013962018,0.0031317286,9,0.188832,2250
5.686909,21.523256301879883,0.0,-0.0042052697,47005,250000,-18.82171630859375,0.016159862,0.0,0.013185583,0.005308093,10,0.157884,2500
5.6837854,23.50804901123047,0.0,-0.004267175,47200,275000,-13.807302474975586,0.011227718,0.0,0.014758791,0.004534711,11,0.18417999,2750
5.6813383,25.515371084213257,0.0,-0.0041577895,46691,300000,-8.166769027709961,0.007045499,0.0,0.025841027,0.0025564858,12,0.27233598,3000
5.679818,27.533169507980347,0.0,-0.003981141,45319,325000,-1.5800237655639648,0.011161807,0.0,0.012059924,0.00193657,13,0.156908,3250
5.678117,29.52758526802063,0.0,-0.0034599002,42539,350000,0.36433738470077515,0.025597671,0.0,0.038918324,0.017542336,14,0.19356401,3500
5.6784453,31.603443384170532,0.0,-0.0033029309,45927,375000,0.3029502034187317,0.025173372,0.0,0.09538491,0.02601344,15,0.16569999,3750
5.6804724,33.64676809310913,0.0,-0.0037256773,46138,400000,-0.2838103771209717,0.01609667,0.0,0.23992352,0.019950006,16,0.09878801,4000
5.680872,35.6747031211853,0.0,-0.0026661358,38048,425000,0.1764698624610901,0.023413418,0.0,0.014118418,0.00626533,17,0.18004401,4250
5.680932,37.806344985961914,0.0,-0.0027272815,43771,450000,0.4793117642402649,0.020049874,0.0,0.023629768,0.017294561,18,0.189456,4500
