explained_variance,fps,value_loss,policy_loss,total_timesteps,ep_reward_mean,time_elapsed,approxkl,true_reward,n_updates,policy_entropy,serial_timesteps,ep_len_mean,clipfrac
-333060.09375,7454,45.40156,0.11918793,25000,0.0,0.0007433891296386719,0.47290006,-0.004802907,1,5.6765103,250,0.0,0.636844
-1584459.75,46878,2.7120366,0.012691341,50000,0.0,4.945208787918091,0.01907384,-0.0048191654,2,5.679167,500,0.0,0.24473199
-262899.3125,47324,0.45498094,0.049327124,75000,0.0,6.94367527961731,0.06876398,-0.004809026,3,5.679913,750,0.0,0.410788
-88379.4765625,45228,0.11343746,0.05312095,100000,0.0,9.176274538040161,0.102653146,-0.0048124017,4,5.6812706,1000,0.0,0.53898394
-17729.927734375,46318,0.033192668,0.0026855774,125000,0.0,11.197174549102783,0.011989136,-0.0048269127,5,5.6828837,1250,0.0,0.177176
-8786.751953125,46615,0.013312648,0.0044312216,150000,0.0,13.217177629470825,0.017834824,-0.0048407777,6,5.6818943,1500,0.0,0.24597602
-2609.31396484375,46734,0.01681019,-0.0009448792,175000,0.0,15.214495182037354,0.007138052,-0.004821485,7,5.6812463,1750,0.0,0.090908006
-1169.0643310546875,47250,0.009509805,0.0036293906,200000,0.0,17.22199773788452,0.021343853,-0.0048170052,8,5.68054,2000,0.0,0.23456001
-406051.25,46626,0.006955003,0.010065112,225000,0.0,19.239449501037598,0.043304857,-0.0048399735,9,5.6831784,2250,0.0,0.41040802
-940.259033203125,48045,0.010012495,0.006611762,250000,0.0,21.25670886039734,0.044368662,-0.0048264386,10,5.6869607,2500,0.0,0.41167602
-1818.356201171875,47268,0.103420615,0.0015490542,275000,0.0,23.234983205795288,0.013882136,-0.0048263636,11,5.688787,2750,0.0,0.17622401
-2346734.75,46841,0.18720953,0.016550586,300000,0.0,25.230355978012085,0.03059369,-0.004839142,12,5.6908097,3000,0.0,0.32919997
-7467.79150390625,46931,0.0930289,0.036543496,325000,0.0,27.215590238571167,0.09684975,-0.0048275697,13,5.6918173,3250,0.0,0.525008
-15388.9453125,47643,0.05601775,0.013899066,350000,0.0,29.217700719833374,0.02480971,-0.004830771,14,5.6943555,3500,0.0,0.296484
-13365.2294921875,48091,0.029140707,0.0035349026,375000,0.0,31.180278778076172,0.010762518,-0.0048234914,15,5.69635,3750,0.0,0.141292
-5106.8564453125,45578,0.029633801,0.007296335,400000,0.0,33.17687630653381,0.015231875,-0.0048347604,16,5.696804,4000,0.0,0.195552
-928394.4375,46600,0.018519664,0.0107750995,425000,0.0,35.162397623062134,0.024404934,-0.0048451363,17,5.6944213,4250,0.0,0.233812
-614.25341796875,46447,0.034413807,0.005039333,450000,0.0,37.153130531311035,0.013420885,-0.0048186937,18,5.6895204,4500,0.0,0.186704
-1425.0643310546875,47161,0.006190686,0.007001345,475000,0.0,39.16736054420471,0.017176855,-0.0048296694,19,5.687048,4750,0.0,0.228912
-147.69793701171875,47419,0.007938861,0.021248093,500000,0.0,41.157419204711914,0.11332037,-0.0048034154,20,5.686451,5000,0.0,0.52439594
-306.21051025390625,46324,0.04661717,0.003840201,525000,0.0,43.0981285572052,0.040637456,-0.004826301,21,5.6869473,5250,0.0,0.30633202
-1042.9486083984375,48178,0.04299807,0.0011094926,550000,0.0,45.08198857307434,0.0075270096,-0.004835336,22,5.686204,5500,0.0,0.086372
-323.5992126464844,47828,0.00737043,0.0010265445,575000,0.0,47.082637786865234,0.00996782,-0.004813392,23,5.6847568,5750,0.0,0.139572
-129185.5390625,46959,0.010100559,-0.0015715929,600000,0.0,49.0550639629364,0.0086441925,-0.0048453216,24,5.6817374,6000,0.0,0.112976
-149.28616333007812,47156,0.009363616,-0.00012533175,625000,0.0,51.07335925102234,0.006371719,-0.0047752433,25,5.678465,6250,0.0,0.07558
-115.03435516357422,46714,0.018969178,0.008067929,650000,0.0,53.06732988357544,0.057241254,-0.004803579,26,5.6789713,6500,0.0,0.315612
-771.7229614257812,48270,0.023203526,0.016788226,675000,0.0,55.0396933555603,0.046023592,-0.00482711,27,5.682007,6750,0.0,0.38229203
-193.55734252929688,48367,0.041551266,-0.0004912224,700000,0.0,57.0025155544281,0.014465848,-0.0048305416,28,5.6839423,7000,0.0,0.14184001
-301.5166931152344,47259,0.028716812,0.01021013,725000,0.0,58.948811292648315,0.021871995,-0.0047961837,29,5.68338,7250,0.0,0.26790002
-221.87716674804688,47104,0.010090137,0.0007032844,750000,0.0,60.92640137672424,0.008455401,-0.0047887093,30,5.6808524,7500,0.0,0.11738
-53.39809799194336,47961,0.070967704,0.0025079283,775000,0.0,62.903287410736084,0.015025003,-0.0047275014,31,5.6799088,7750,0.0,0.181792
-606.4098510742188,46907,0.06919269,0.015254082,800000,0.0,64.87241840362549,0.023622703,-0.0047712093,32,5.6791496,8000,0.0,0.24756
-917.4205322265625,47489,0.040225472,0.036003914,825000,0.0,66.86734557151794,0.04824637,-0.004770592,33,5.679587,8250,0.0,0.38373595
-127.50703430175781,46244,0.009685835,0.00024148934,850000,0.0,68.84239912033081,0.012440799,-0.0047677476,34,5.679236,8500,0.0,0.17173201
-614.8140258789062,46433,0.010466091,0.022712389,875000,0.0,70.87349200248718,0.053985905,-0.0047921417,35,5.6774125,8750,0.0,0.32876801
-5144.61083984375,46613,0.01932956,0.030115817,900000,0.0,72.90346479415894,0.040416084,-0.0048113894,36,5.6793566,9000,0.0,0.36006004
-262.5906066894531,44483,0.035904087,-0.0012930402,925000,0.0,74.8959653377533,0.003941439,-0.0047906884,37,5.6819324,9250,0.0,0.037456
-3958.59716796875,40500,0.047979973,0.010871209,950000,0.0,76.93488216400146,0.019615762,-0.004817636,38,5.683874,9500,0.0,0.22959602
-127.53863525390625,47984,0.10630256,0.0004918597,975000,0.0,79.02108240127563,0.010287201,-0.004782189,39,5.6854672,9750,0.0,0.13251999
-681048.6875,46822,0.06281956,0.00933296,1000000,0.0,81.04110026359558,0.015794417,-0.0048223874,40,5.6854753,10000,0.0,0.20538001
-355.6134948730469,47119,0.022142518,0.00067615614,1025000,0.0,83.03528118133545,0.0076907887,-0.0048052864,41,5.6846776,10250,0.0,0.10348
