ep_len_mean,policy_entropy,time_elapsed,fps,value_loss,serial_timesteps,policy_loss,total_timesteps,approxkl,n_updates,true_reward,clipfrac,ep_reward_mean,explained_variance
0.99,5.6771803,0.0001456737518310547,86,45.440914,250,0.07622902,250,4.7192183,1,-0.0040326654,0.778,-0.0047834206745028494,-13151.3154296875
0.99,5.6823487,3.0662126541137695,2272,4.2301464,500,0.03726823,500,7.883414,2,-0.004774112,0.71519995,-0.004724244843237102,-280517055.0
0.99,5.684208,3.214792490005493,2275,0.4213292,750,0.044593267,750,0.1388489,3,-0.00477392,0.4656,-0.004724467289634049,-39751615.0
0.99,5.68377,3.363006114959717,2256,0.29036713,1000,0.05515932,1000,0.09441668,4,-0.0047726226,0.5332,-0.004724221206270158,-27823087.0
0.99,5.681817,3.5124781131744385,2266,0.024994366,1250,0.038339466,1250,0.085338876,5,-0.0047748443,0.5068,-0.004724688120186329,-5893847.5
0.99,5.680251,3.6614885330200195,2242,0.012422809,1500,0.009653208,1500,0.122129396,6,-0.0031743238,0.54160005,-0.004724406767636537,-83.1845474243164
0.99,5.679177,3.811528205871582,2213,0.019403603,1750,-0.014072535,1750,0.053202797,7,-0.003973324,0.3996,-0.004724223390221596,-254.8009033203125
0.99,5.678119,3.963062047958374,2201,0.005704707,2000,-0.009602696,2000,0.0526398,8,-0.004772707,0.39919996,-0.0047268299013376236,-254162.25
0.99,5.6756926,4.115032911300659,2181,0.013236543,2250,-0.017389648,2250,0.44041365,9,-0.0047740256,0.30519998,-0.00472432809881866,-1249877.5
0.99,5.6709995,4.268086910247803,2179,0.0022952945,2500,0.011895613,2500,0.052517693,10,-0.004773447,0.40399998,-0.004724255809560418,-100255.78125
0.99,5.6700716,4.420183420181274,2249,0.008982421,2750,-0.007590915,2750,0.03785326,11,-0.0047745733,0.36920002,-0.004727425849996508,-699402.0625
0.99,5.670386,4.566346168518066,2236,0.0059206667,3000,0.0065381913,3000,0.26147702,12,-0.004776741,0.6323999,-0.0047268526256084445,-647830.0
0.99,5.6685743,4.712885141372681,1523,0.013909167,3250,-0.009276252,3250,3.9264321,13,-0.004774583,0.7824,-0.004726865408010781,-1008590.875
0.99,5.6661854,4.939630746841431,2147,0.0988636,3500,0.026741395,3500,0.084950775,14,-0.004772722,0.5272,-0.0047241466445848345,-759189.25
