true_reward,total_timesteps,ep_len_mean,approxkl,n_updates,fps,time_elapsed,clipfrac,value_loss,serial_timesteps,explained_variance,ep_reward_mean,policy_loss,policy_entropy
-0.004037546,250,0.99,0.35651064,1,89,0.00013065338134765625,0.69600004,45.24798,250,-56499.8125,-0.004792829481884837,0.10200286,5.6761074
-0.004838104,500,0.99,0.47547397,2,2203,2.969849109649658,0.7268,2.5647955,500,-454886943.0,-0.004780243281275034,0.049627267,5.6770844
-0.0040519475,750,0.99,0.10250988,3,1834,3.1232962608337402,0.58040005,0.49156824,750,-4208.822265625,-0.004799002716317773,0.039581794,5.679438
-0.004862768,1000,0.99,0.06463039,4,2127,3.299027681350708,0.496,0.030989513,1000,-17322799.0,-0.0048117518238723275,0.009947918,5.6785436
-0.004062336,1250,0.99,0.12880778,5,2099,3.45570707321167,0.59720004,0.029462198,1250,-686.1863403320312,-0.004812305262312293,0.002664987,5.67773
-0.0048520807,1500,0.99,0.19460575,6,2125,3.613741636276245,0.42520005,0.009499795,1500,-732646.4375,-0.004804180320352316,-0.01365951,5.6781106
-0.004051174,1750,0.99,0.047594246,7,2169,3.769754648208618,0.36519998,0.00725414,1750,-54.02832794189453,-0.004801674084737897,-0.010615041,5.6742253
-0.004857191,2000,0.99,0.06153425,8,2148,3.9241316318511963,0.4932,0.003971741,2000,-670956.0625,-0.0048014993872493505,-0.0059465677,5.6705947
-0.0040428815,2250,0.99,2.3386953,9,2151,4.080155372619629,0.4324,0.013922384,2250,-77.88615417480469,-0.004793541957624257,-0.021459393,5.6706266
-0.004048356,2500,0.99,0.23524494,10,2130,4.235097646713257,0.48999995,0.008731622,2500,-24.832983016967773,-0.00480564080644399,-0.0038242482,5.671982
-0.0040362547,2750,0.99,0.13805327,11,2265,4.389889717102051,0.37120003,0.0021685432,2750,-14.033103942871094,-0.004791847011074424,-0.011234082,5.673913
-0.0048493356,3000,0.99,0.09331644,12,2260,4.535076379776001,0.49680004,0.0010059162,3000,-236890.984375,-0.004796406924724579,-0.008131875,5.6702385
-0.0048506814,3250,0.99,0.102231756,13,1861,4.681422710418701,0.54879993,0.0066071586,3250,-394945.1875,-0.004794501215219498,-0.009515385,5.663224
-0.004849816,3500,0.99,0.0934536,14,2256,4.85164999961853,0.45760003,0.0079739615,3500,-1169883.625,-0.004800161235034466,-0.018505823,5.6613474
-0.004856545,3750,0.99,0.049851913,15,2241,4.997680187225342,0.38,0.0007963949,3750,-105883.859375,-0.0048136806627735495,-0.0077607883,5.661383
-0.0040571857,4000,0.99,0.1400772,16,2194,5.144244194030762,0.4532,0.016029749,4000,-17.788488388061523,-0.0048058889899402855,-0.017643914,5.6597476
-0.0048460667,4250,0.99,0.020838743,17,1108,5.293712854385376,0.252,0.035108574,4250,-1045774.75,-0.00480104373767972,-0.004085806,5.6599054
-0.00485231,4500,0.99,0.13221702,18,2232,5.554763555526733,0.56839997,0.0069396654,4500,-188213.171875,-0.004808306442573667,0.033239566,5.6606874
-0.0048519736,4750,0.99,0.046845324,19,2192,5.701655149459839,0.40919995,0.01490335,4750,-168221.328125,-0.004805992525070905,-0.009800377,5.6604123
-0.004851261,5000,0.99,0.048989438,20,2225,5.85094690322876,0.43080002,0.0036231293,5000,-219316.546875,-0.0048069366021081805,-0.005262251,5.6586466
-0.0048443917,5250,0.99,0.077983834,21,2124,5.998510360717773,0.466,0.0029959593,5250,-96720.515625,-0.004798635235056281,-0.006214277,5.657401
-0.004043356,5500,0.99,0.123410776,22,1644,6.151337385177612,0.19960001,0.12969339,5500,-243456.078125,-0.0048010794445872305,0.0048045134,5.656014
-0.00485464,5750,0.99,0.07577428,23,2229,6.338521957397461,0.3704,0.31355205,5750,-1321632.125,-0.004805668205954135,0.001894023,5.6554275
-0.00484885,6000,0.99,0.25096932,24,2228,6.48519492149353,0.6248,0.052344374,6000,-152229.140625,-0.004807448936626315,0.025294613,5.6570497
-0.004848774,6250,0.99,0.06491009,25,2218,6.632009983062744,0.45119995,0.047105256,6250,-232549.5625,-0.0047973168920725584,-0.0016410791,5.661329
-0.0048387013,6500,0.99,0.121428356,26,2214,6.780204772949219,0.514,0.02117287,6500,-350862.25,-0.004784806240350008,0.0030692387,5.6625996
-0.0048613637,6750,0.99,0.26235586,27,2265,6.927277088165283,0.65079993,0.023980811,6750,-4916106.5,-0.004810897479765117,-0.001073244,5.6622953
-0.004864703,7000,0.99,0.040032707,28,2235,7.072599172592163,0.4156,0.0031117343,7000,-160731.765625,-0.0048184211878106,-0.0093256645,5.662883
-0.004865374,7250,0.99,0.122823596,29,2103,7.219990491867065,0.52599996,0.006824203,7250,-293818.46875,-0.004818263505585492,-0.005633106,5.662759
-0.0048690797,7500,0.99,0.061391067,30,2085,7.373861789703369,0.4904,0.01507895,7500,-183291.4375,-0.004817494973540306,0.013047231,5.666537
-0.0040708636,7750,0.99,0.08406732,31,2204,7.528862237930298,0.3836,0.019694854,7750,-46.7148323059082,-0.0048265245882794265,-0.017794129,5.670981
-0.004865114,8000,0.99,1.0350975,32,1836,7.677094221115112,0.74680007,0.013657833,8000,-182675.265625,-0.0048215639870613815,0.017623037,5.671383
