approxkl,true_reward,serial_timesteps,time_elapsed,explained_variance,value_loss,ep_len_mean,policy_entropy,n_updates,fps,policy_loss,clipfrac,total_timesteps,ep_reward_mean
0.026316207,0.1051291,250,0.00013637542724609375,-58.56142807006836,1.8657681,2.21,5.676219,1,85,-0.008450583,0.254,250,0.234127491209656
0.03142616,0.11074131,500,3.0803208351135254,-2.284071207046509,0.12873241,2.33,5.677705,2,2197,-0.02770566,0.27679998,500,0.25760695731732997
0.10774727,0.10433209,750,3.2266225814819336,-0.7416505813598633,0.049855035,2.18,5.6761236,3,2187,-0.04325837,0.3756,750,0.22826203333679587
0.13577949,0.12676081,1000,3.373460292816162,-0.44416677951812744,0.046525188,2.77,5.67257,4,2240,-0.03151674,0.4368,1000,0.3456937932688743
0.06635745,0.14196211,1250,3.517035961151123,-0.5545613765716553,0.05259018,3.38,5.6679707,5,2245,-0.010856156,0.35999998,1250,0.4649975612992421
0.012750735,0.14596762,1500,3.659397840499878,-0.27045774459838867,0.04675547,3.83,5.6629043,6,2321,-0.010465215,0.1604,1500,0.5530144602898508
0.015825909,0.14517136,1750,3.797447681427002,-0.07193005084991455,0.038828045,3.95,5.6583505,7,2187,-0.021674642,0.1888,1750,0.5765021470282227
0.016233277,0.14836842,2000,3.9425292015075684,-0.015438556671142578,0.038862795,4.04,5.657332,8,2333,-0.015927544,0.2004,2000,0.5940988257154822
0.017189797,0.14757715,2250,4.079940319061279,0.08157742023468018,0.03287184,4.18,5.653947,9,2241,-0.011002751,0.1496,2250,0.6214937902288511
0.018888557,0.1491787,2500,4.222417831420898,0.11698895692825317,0.03226223,4.28,5.647403,10,2256,-0.006226219,0.21400002,2500,0.641079751891084
0.014870873,0.14917795,2750,4.36269211769104,0.0854039192199707,0.03573737,4.2,5.640419,11,2223,-0.016493153,0.15879999,2750,0.6254277979908511
0.014763698,0.15317877,3000,4.502521276473999,0.15358859300613403,0.032835122,4.48,5.6361837,12,2185,-0.010610794,0.166,3000,0.6801926929224282
0.012934727,0.15238278,3250,4.644155740737915,0.20012450218200684,0.03015674,4.55,5.635674,13,2138,-0.006787096,0.15560001,3250,0.693891394068487
0.010320275,0.15077919,3500,4.789208173751831,0.1991083025932312,0.029862344,4.45,5.6321206,14,2233,-0.006357851,0.12799999,3500,0.6743351318268105
0.013208072,0.14598134,3750,4.928240776062012,0.15127712488174438,0.03309211,4.15,5.6231723,15,2307,-0.011858082,0.16160001,3750,0.615661067198962
0.010469416,0.15318185,4000,5.063045263290405,0.2890787124633789,0.027029509,4.29,5.61292,16,2267,-0.009391427,0.1356,4000,0.6430430653598159
0.014750509,0.15478498,4250,5.199345111846924,0.3194376826286316,0.025620144,4.73,5.6084228,17,2251,-0.0057200193,0.19,4250,0.7291098766820505
0.013190238,0.15238291,4500,5.337374210357666,0.32435524463653564,0.025347952,4.66,5.6041217,18,2299,0.0001201577,0.16,4500,0.7154208467528224
0.00610458,0.15318234,4750,5.472545623779297,0.3236570954322815,0.025317471,4.65,5.596656,19,2261,-0.0057471585,0.072000004,4750,0.7134601419512182
0.013882948,0.1523828,5000,5.610095262527466,0.3454471230506897,0.024301883,4.58,5.5887785,20,2323,-0.0103918165,0.1664,5000,0.699769057109952
0.019672042,0.14998135,5250,5.7445008754730225,0.35040682554244995,0.024784843,4.41,5.583299,21,2278,-0.0052808993,0.21800001,5250,0.6665160781610757
0.015289846,0.15558483,5500,5.880617618560791,0.427273690700531,0.022904685,4.61,5.5791135,22,2258,0.0006406807,0.1744,5500,0.7056384260114282
0.009490133,0.15318476,5750,6.018764495849609,0.4298527240753174,0.021846678,4.76,5.5769987,23,2333,-0.008778019,0.11960001,5750,0.7349831583024934
0.009538376,0.15398453,6000,6.153247594833374,0.3541715741157532,0.024323009,4.67,5.573379,24,1915,-0.007636217,0.1152,6000,0.7173807890992612
0.008599738,0.15158364,6250,6.311612844467163,0.41282743215560913,0.022132408,4.55,5.569938,25,2257,-0.008824202,0.11440001,6250,0.6939055127697066
0.019428307,0.1523822,6500,6.448988914489746,0.4355638027191162,0.021128273,4.49,5.5644236,26,2318,-0.006980156,0.2352,6500,0.6821654048049822
0.010360291,0.15398411,6750,6.583482265472412,0.4602985382080078,0.020488672,4.67,5.559028,27,2150,-0.0061583156,0.13280001,6750,0.7173759931698441
0.009860863,0.15478642,7000,6.726522445678711,0.5130502879619598,0.018338673,4.75,5.5579553,28,2220,-0.008055355,0.115600005,7000,0.7330303888581693
0.008372243,0.1547852,7250,6.866196393966675,0.5204883217811584,0.018015806,4.8,5.5571175,29,2306,-0.0070475102,0.112,7250,0.7428113665338606
0.00834929,0.15478635,7500,7.001341819763184,0.5363180041313171,0.017929105,4.8,5.555204,30,2317,-0.0059529464,0.11919999,7500,0.7428119985759258
0.016834162,0.15558505,7750,7.137530088424683,0.5196406841278076,0.0179737,4.85,5.5541124,31,2261,-0.0008267,0.19479999,7750,0.7525909075746313
0.008563087,0.15398489,8000,7.275226354598999,0.5520907640457153,0.016848926,4.8,5.552525,32,2288,-0.006227702,0.10599999,8000,0.7428072874108329
0.00672266,0.15478379,8250,7.410308599472046,0.5691185891628265,0.017137948,4.75,5.543877,33,2324,-0.0036165896,0.085599996,8250,0.733024756424129
0.02032368,0.15478641,8500,7.544462442398071,0.5971840023994446,0.016084084,4.82,5.5358496,34,2336,0.0063706264,0.1892,8500,0.7467200848925859
0.008423513,0.15478347,8750,7.678521156311035,0.5645959675312042,0.017463563,4.8,5.5306425,35,2263,-0.010625942,0.108799994,8750,0.7428075775178149
0.015080618,0.15558666,9000,7.815852880477905,0.6352287828922272,0.013659671,4.83,5.52563,36,2255,-0.010058144,0.1844,9000,0.7486842317692936
0.0048856707,0.15478504,9250,7.95396614074707,0.600254088640213,0.016025284,4.85,5.519434,37,2217,-0.0063559376,0.0612,9250,0.7525909933680669
0.01727581,0.15558665,9500,8.093771934509277,0.6590045988559723,0.016638588,4.85,5.5110703,38,2288,0.0072524236,0.1872,9500,0.752590978317894
0.016565528,0.15558697,9750,8.229933500289917,0.6759773194789886,0.014798926,4.9,5.50832,39,2319,0.0029442925,0.18720001,9750,0.7623753637215123
0.0057829963,0.15478374,10000,8.364603519439697,0.6302433013916016,0.018190688,4.85,5.505557,40,2332,-0.0049395384,0.0784,10000,0.7525886736670508
0.01116229,0.15398572,10250,8.498025178909302,0.6269205808639526,0.013626717,4.77,5.4966893,41,2231,-0.0066380673,0.13479999,10250,0.7369390705926344
