policy_loss,time_elapsed,explained_variance,approxkl,policy_entropy,ep_reward_mean,n_updates,clipfrac,value_loss,true_reward,fps,ep_len_mean,total_timesteps,serial_timesteps
0.10984834,0.0006930828094482422,0.1417415738105774,7.2549577,5.676713,0.30725018933415416,1,0.212468,18.585913,0.10335244,7272,1.57,25000,250
0.061069548,4.5876593589782715,0.32829028367996216,0.18970117,5.679729,0.39361066192388533,2,0.08006801,6.9732156,0.10046924,49090,2.01,50000,500
0.04783018,6.015077829360962,0.2612408399581909,0.054323595,5.68183,0.5512798681855202,3,0.040432,12.169566,0.10579422,49393,2.81,75000,750
0.087560095,7.419511079788208,0.33672553300857544,0.92210877,5.6846375,0.7792536048591137,4,0.1303,11.936336,0.10964444,44633,3.98,100000,1000
0.049823754,8.84519100189209,0.0582088828086853,0.049682252,5.687299,0.39891346141695977,5,0.038032003,8.452356,0.10611357,49646,2.04,125000,1250
0.04251545,10.228554010391235,-0.07814216613769531,0.10031686,5.689672,0.5290667670965195,6,0.051227998,5.192149,0.10676024,49063,2.7,150000,1500
0.03735873,11.613430261611938,-0.06572091579437256,0.024686132,5.6918488,0.26985045537352564,7,0.039168,8.268163,0.1076153,49141,1.38,175000,1750
0.028841928,12.995913982391357,-0.0438382625579834,0.014283505,5.693545,0.38171872943639756,8,0.023628,3.747771,0.107148014,49330,1.95,200000,2000
0.06033046,14.377714157104492,-0.11867499351501465,0.077537395,5.6941524,0.3697439573705196,9,0.059088003,4.835751,0.111840546,49076,1.89,225000,2250
0.034980394,15.753074884414673,-0.13038575649261475,0.02345383,5.6963377,0.3194667772948742,10,0.038188,3.333325,0.111339554,49318,1.63,250000,2500
0.01459603,17.122432708740234,-0.37564992904663086,0.008679915,5.697287,0.32290285870432855,11,0.030464,1.8648001,0.114545256,49940,1.65,275000,2750
0.01914401,18.444162368774414,0.3901398777961731,0.010973664,5.695457,0.7730028089880944,12,0.044828,1.6481953,0.11858534,48751,3.94,300000,3000
0.029403249,19.785784244537354,-0.016799330711364746,0.033421017,5.6926823,0.7324782134592533,13,0.06711999,2.5710442,0.12660177,49645,3.74,325000,3250
0.034718238,21.071582317352295,-0.08916175365447998,0.102326855,5.689849,0.8090528157353402,14,0.091096,2.3002918,0.13123526,49924,4.13,350000,3500
0.031077381,22.323522090911865,0.05334430932998657,0.36681488,5.6852627,1.2717969289422035,15,0.10344,1.3652611,0.13601579,45019,6.5,375000,3750
0.051399954,23.589110851287842,0.0658840537071228,2.3379314,5.678168,1.4427347068488598,16,0.17370799,1.6177504,0.1438754,42188,7.38,400000,4000
0.098284505,24.853965282440186,0.25382620096206665,46.0683,5.673058,2.4438624754548073,17,0.30586,2.635323,0.15599658,49922,12.47,425000,4250
0.041240085,25.972850799560547,0.1798209547996521,0.98954934,5.6705747,4.008499909639358,18,0.214868,3.184848,0.16217607,50526,20.45,450000,4500
0.07308254,27.03959321975708,0.4063871502876282,9.097635,5.668161,4.305920732170343,19,0.39885598,3.9946942,0.16810238,50323,21.97,475000,4750
0.060010064,28.083125829696655,0.3439662456512451,0.6639255,5.6660504,3.5252453123033045,20,0.30188,3.099807,0.16775686,52393,17.99,500000,5000
0.105873525,29.105894088745117,0.3710457682609558,1131.1494,5.663906,4.567708536684513,21,0.48246002,3.8164659,0.17168449,51610,23.31,525000,5250
0.08991552,30.109267950057983,0.4564114809036255,1310.9609,5.6614733,4.932402069270611,22,0.558056,4.1355863,0.17502375,51478,25.17,550000,5500
0.10047309,31.10836672782898,0.4694952964782715,8.163088,5.660245,4.597916385084391,23,0.46602002,4.1385565,0.1696445,50311,23.45,575000,5750
0.11312778,32.139331102371216,0.35715359449386597,75.74809,5.6589875,5.575801202207804,24,0.60821205,7.228492,0.17733328,51571,28.44,600000,6000
0.1624274,33.10920977592468,0.24231857061386108,377.5595,5.658399,6.40188996270299,25,0.69906795,4.6989374,0.18564615,52945,32.63,625000,6250
0.1278474,34.02502751350403,0.2959742546081543,394.76117,5.657607,5.63384529620409,26,0.652944,4.28092,0.18154156,49727,28.73,650000,6500
0.056158178,35.008009910583496,0.3435317277908325,1.1824613,5.655862,5.059407767951488,27,0.380944,4.23787,0.18188904,50868,25.81,675000,6750
0.14059445,35.97659373283386,0.23894667625427246,386.74457,5.65402,5.016145783662796,28,0.58564,4.8733015,0.18215959,50705,25.58,700000,7000
0.102061175,36.998629331588745,0.39358168840408325,59.790905,5.6534386,5.7392248703539375,29,0.65399206,3.6704311,0.18116921,36726,29.25,725000,7250
0.10127894,38.17982459068298,0.1869465708732605,4.398999,5.653199,6.461264440715313,30,0.535388,4.8143845,0.1853094,51573,32.92,750000,7500
0.12046268,39.10975408554077,0.236500084400177,64.21369,5.652336,5.464971596598625,31,0.66840804,4.3573475,0.18423635,50198,27.86,775000,7750
0.05350872,40.08985233306885,0.22898638248443604,0.17720722,5.6505895,5.7695513035357,32,0.370732,3.6328926,0.18558945,51294,29.41,800000,8000
0.15683445,41.04563117027283,0.13416796922683716,654.43854,5.6490593,5.91868730276823,33,0.729068,5.0663457,0.18563193,51618,30.17,825000,8250
0.0839053,41.97121500968933,0.143845796585083,0.6847092,5.6481004,5.430042501538992,34,0.417628,4.447702,0.18467925,51016,27.69,850000,8500
0.13650733,42.92467451095581,0.16526693105697632,71.051674,5.646164,5.726885351538658,35,0.724732,5.3206644,0.18641795,52328,29.2,875000,8750
0.08363917,43.83511018753052,0.06233227252960205,0.7472218,5.644518,6.450049619376659,36,0.488316,6.3496847,0.18825197,51086,32.86,900000,9000
0.042608738,44.76196312904358,0.14070063829421997,0.102572545,5.6437173,6.07468359425664,37,0.34878,7.5631094,0.18842119,50432,30.96,925000,9250
0.1667958,45.68897819519043,0.3291192650794983,3065.1992,5.6428,6.346018218994141,38,0.76312006,3.9711106,0.18841568,50623,32.34,950000,9500
0.1419023,46.617034912109375,0.17685222625732422,428.8772,5.6409655,5.99306742221117,39,0.80093604,5.0209527,0.18869875,50897,30.56,975000,9750
0.05574747,47.526198387145996,0.29342061281204224,2.7429595,5.638942,6.7616403804719445,40,0.45831996,5.455826,0.18530159,51248,34.48,1000000,10000
0.075994514,48.4559428691864,0.20092231035232544,2.11646,5.63746,5.663287342488766,41,0.446232,4.9356446,0.18643638,46960,28.89,1025000,10250
