serial_timesteps,approxkl,time_elapsed,clipfrac,total_timesteps,policy_entropy,n_updates,ep_len_mean,explained_variance,policy_loss,true_reward,ep_reward_mean,value_loss,fps
250,373676.75,0.00013709068298339844,0.8584,250,5.6758184,1,0.99,-383954943.0,0.057757437,-0.021700641,-0.021504899952560663,4150.561,87
500,5156.741,3.0422606468200684,0.89519995,500,5.675729,2,0.99,-1788086.875,0.08557374,-0.021878721,-0.021504899952560663,239.62827,2096
750,151509.47,3.2003602981567383,0.8959999,750,5.6754045,3,0.99,-3270297.25,0.03490943,-0.021704815,-0.021504899952560663,10.607039,2265
1000,55604.637,3.3506128787994385,0.8959999,1000,5.67475,4,0.99,-7038508.5,0.048543505,-0.0219157,-0.021504899952560663,16.40189,2219
1250,852.5753,3.502974271774292,0.89159995,1250,5.674389,5,0.99,-952359.375,0.050965518,-0.021823917,-0.021504899952560663,1.4560171,1647
1500,13955.214,3.693899393081665,0.89519995,1500,5.6740212,6,0.99,-410014.90625,0.03730447,-0.021738693,-0.021504899952560663,3.1549938,1481
1750,21400.775,3.902247905731201,0.8959999,1750,5.673833,7,0.99,-3911687.0,-0.005877731,-0.021723354,-0.021504899952560663,7.049765,2226
2000,84611.6,4.054004669189453,0.8872,2000,5.673773,8,0.99,-752710.3125,0.040795103,-0.021799816,-0.021504899952560663,1.0157757,2200
2250,568776.1,4.206126928329468,0.89239997,2250,5.673741,9,0.99,-669249.875,0.0023587255,-0.021707222,-0.021504899952560663,1.0463414,2145
2500,144602.55,4.361237049102783,0.8984,2500,5.6734014,10,0.99,-757892.6875,0.05069126,-0.021770336,-0.021504899952560663,2.451759,2276
2750,27070.178,4.508769750595093,0.8948,2750,5.672783,11,0.99,-1154287.75,0.03555122,-0.021835098,-0.021504899952560663,2.9883552,1811
3000,49519.207,4.6818320751190186,0.88839996,3000,5.6717257,12,0.99,-1246917.125,0.056420196,-0.021702692,-0.021504899952560663,3.8146489,2144
3250,199931.66,4.834079027175903,0.89400005,3250,5.67196,13,0.99,-1963081.125,-0.014405119,-0.021732144,-0.021504899952560663,5.9889054,2121
3500,22787.379,4.9881298542022705,0.89439994,3500,5.6725607,14,0.99,-32902641.0,0.05996077,-0.021818962,-0.021504899952560663,20.865654,2213
