total_timesteps,policy_loss,n_updates,explained_variance,fps,serial_timesteps,ep_len_mean,policy_entropy,time_elapsed,ep_reward_mean,clipfrac,approxkl,true_reward,value_loss
250,0.36457482,1,-51888569450495.0,85,250,0.99,5.678295,0.00013065338134765625,-0.5037464314699173,0.9532,5.8285995e+19,-0.50807285,61794090000.0
500,0.35934505,2,-36482467233791.0,2249,500,0.99,5.685661,3.0846309661865234,-0.5037464314699173,0.9188,7.794892e+18,-0.50989664,6915255300.0
750,0.35888937,3,-3139762913279.0,2218,750,0.99,5.6875253,3.2334201335906982,-0.5037464314699173,0.92719996,4.9114514e+17,-0.50792253,411737470.0
1000,0.325141,4,-52480478019583.0,2247,1000,0.99,5.688375,3.3840157985687256,-0.5037464314699173,0.9323999,2.8331891e+17,-0.50896823,170008000.0
1250,0.2869323,5,-271335260159.0,2273,1250,0.99,5.6889324,3.533193826675415,-0.5037464314699173,0.932,1.4712331e+17,-0.5077311,159143140.0
1500,0.17602223,6,-26958118911.0,2253,1500,0.99,5.689143,3.6812405586242676,-0.5037464314699173,0.92840004,6.796591e+17,-0.5044934,131061590.0
1750,0.15925968,7,-2454837247.0,2242,1750,0.99,5.686967,3.8306691646575928,-0.5037464314699173,0.932,1.6403942e+19,-0.5078095,27696900.0
2000,0.34529638,8,-12825960447.0,2175,2000,0.99,5.687001,3.9797797203063965,-0.5012875169515609,0.91639996,4.8222436e+17,-0.5078887,746592640.0
2250,0.3605798,9,-6645350399.0,2268,2250,0.99,5.686534,4.132737636566162,-0.5062644135951996,0.91639996,6.4194565e+16,-0.50952196,505156770.0
2500,0.3566069,10,-1171639039.0,2280,2500,0.99,5.684556,4.280412673950195,-0.5062644135951996,0.90559995,8318560000000000.0,-0.508774,71208210.0
2750,0.11790188,11,-880358207.0,2163,2750,0.99,5.683814,4.427076816558838,-0.5012875169515609,0.9292,31435279000000.0,-0.4998088,122143700.0
3000,0.2733244,12,-1470301951.0,2268,3000,0.99,5.683595,4.577145099639893,-0.5062644135951996,0.9088,480059750000.0,-0.50431204,71564260.0
3250,0.32079425,13,-764569471.0,2248,3250,0.99,5.683516,4.7211692333221436,-0.5012875169515609,0.9012,14783428000.0,-0.5079739,42743856.0
3500,0.25942755,14,-15378920.0,2209,3500,0.99,5.68349,4.866263151168823,-0.5062644135951996,0.9224,61099836000000.0,-0.5088128,20578996.0
3750,0.31993312,15,-11324823.0,1924,3750,0.99,5.6834855,5.013331890106201,-0.5062644135951996,0.91919994,1056010700000.0,-0.5073048,28770410.0
4000,0.36196142,16,-490180799.0,2251,4000,0.99,5.683482,5.177292585372925,-0.5012875169515609,0.9168,25997472000.0,-0.5064928,38141136.0
4250,0.2984876,17,-301066623.0,2145,4250,0.99,5.6836195,5.322540998458862,-0.5062644135951996,0.9196,2305433800000000.0,-0.5049158,18215344.0
4500,0.03970425,18,-407447839.0,2167,4500,0.99,5.6840115,5.47346305847168,-0.5012875169515609,0.9168,516058570000000.0,-0.5045877,44099724.0
4750,0.35371262,19,-777327295.0,2062,4750,0.99,5.682541,5.623488664627075,-0.5062644135951996,0.94039994,1.7981039e+17,-0.508305,157285260.0
5000,0.35771483,20,-895060863.0,2181,5000,0.99,5.674548,5.778815984725952,-0.5012875169515609,0.9064,6.851134e+17,-0.5070911,152518700.0
5250,0.35507002,21,-1444562303.0,2089,5250,0.99,5.6716394,5.92837929725647,-0.5062644135951996,0.904,4.309127e+16,-0.50807106,83560296.0
5500,0.35381788,22,-1013589951.0,2054,5500,0.99,5.6711354,6.083446502685547,-0.5012875169515609,0.90599996,634693760000000.0,-0.50275177,37316940.0
5750,0.070096105,23,-104726407.0,2252,5750,0.99,5.670939,6.239866018295288,-0.5062644135951996,0.9032,9660531000000.0,-0.5072553,25301458.0
6000,0.35803178,24,-203409071.0,2188,6000,0.99,5.6708655,6.385403871536255,-0.5062644135951996,0.90999997,78783890000.0,-0.5084518,25438858.0
6250,0.35406935,25,-1422560255.0,2227,6250,0.99,5.6708612,6.534701824188232,-0.5062644135951996,0.91279995,288403060000.0,-0.5081877,65404296.0
6500,0.20487964,26,-1654832127.0,2195,6500,0.99,5.6708174,6.682129383087158,-0.5062644135951996,0.91519994,3.4702627e+16,-0.50845075,78862560.0
6750,0.35707027,27,-37763875.0,2154,6750,0.99,5.669045,6.831523895263672,-0.5062644135951996,0.91239995,1.7764065e+17,-0.50881594,7456162.5
7000,0.28289914,28,-399152031.0,2171,7000,0.99,5.6680665,6.982104301452637,-0.5062644135951996,0.92399997,4072060600000000.0,-0.5062093,14398194.0
7250,0.060805954,29,-1133963007.0,2175,7250,0.99,5.6681623,7.131217956542969,-0.5062644135951996,0.9032,540213030000000.0,-0.50781345,43131020.0
7500,0.35417303,30,-159092559.0,2219,7500,0.99,5.668356,7.280277729034424,-0.5062644135951996,0.89799994,13390436000000.0,-0.50888175,14603139.0
7750,0.22083719,31,-732978815.0,2280,7750,0.99,5.668427,7.427000522613525,-0.5062644135951996,0.9144,246549940000.0,-0.50833845,46848440.0
8000,0.04352934,32,-1010965759.0,2193,8000,0.99,5.6684675,7.570541143417358,-0.5062644135951996,0.9132,870793340000000.0,-0.50860244,78035416.0
8250,0.269856,33,-2834299903.0,2208,8250,0.99,5.6683064,7.7192182540893555,-0.5062644135951996,0.9012,1.3657256e+17,-0.50851923,254407890.0
8500,0.35714936,34,-3117191935.0,2263,8500,0.99,5.66804,7.866578102111816,-0.5062644135951996,0.92199993,2.172197e+16,-0.50940156,115361090.0
