clipfrac,ep_len_mean,explained_variance,approxkl,true_reward,policy_loss,n_updates,policy_entropy,fps,value_loss,time_elapsed,serial_timesteps,ep_reward_mean,total_timesteps
0.976,0.99,-916090821541887.0,7.672947e+22,-0.25584757,0.06973084,1,5.6784554,86,1313866100000.0,0.00012564659118652344,250,-0.25304689675569536,250
0.98759997,0.99,-4.114837226599219e+16,2.090084e+22,-0.50453496,0.40038222,2,5.6873994,2087,601448100000.0,3.13212513923645,500,-0.49972517251968385,500
0.9844,0.99,-160957355524095.0,1.255116e+21,-0.5056313,0.39766666,3,5.6909647,2217,30385269000.0,3.290361166000366,750,-0.49972517251968385,750
0.9848,0.99,-18240612859903.0,3.1052528e+21,-0.25509053,0.006964399,4,5.6936445,2141,106056010000.0,3.4414889812469482,1000,-0.25304689675569536,1000
0.98719996,0.99,-5670037046165503.0,8.980919e+21,-0.5044691,0.41066146,5,5.6965218,2084,257297650000.0,3.5964486598968506,1250,-0.49972517251968385,1250
0.9827999,0.99,-1446668599820287.0,6.5098885e+21,-0.5050065,0.38342303,6,5.6967688,2030,100049210000.0,3.7542996406555176,1500,-0.49972517251968385,1500
0.98759997,0.99,-455108995317759.0,4.775784e+21,-0.5041198,0.4075312,7,5.696543,2078,35486620000.0,3.917041778564453,1750,-0.49972517251968385,1750
0.98719996,0.99,-834725937151.0,1.1772263e+22,-0.25628632,-0.014327583,8,5.6945767,2109,11126744000.0,4.074956893920898,2000,-0.25304689675569536,2000
0.98239994,0.99,-6.382685615082701e+17,6.205701e+22,-0.5047231,0.36984515,9,5.68729,1783,82890240000.0,4.232081651687622,2250,-0.49972517251968385,2250
0.9896,0.99,-194344042495.0,6.842255e+20,-0.25687024,0.046633422,10,5.683757,2083,2149992200.0,4.410754680633545,2500,-0.25304689675569536,2500
0.9811999,0.99,-32621447167.0,3.5985703e+20,-0.25756654,0.017279651,11,5.683526,2153,732318850.0,4.56740665435791,2750,-0.25304689675569536,2750
0.9908,0.99,-839577698303.0,6.36828e+18,-0.25670803,0.052593987,12,5.6836715,2084,639233150.0,4.719081163406372,3000,-0.25304689675569536,3000
0.9879999,0.99,-281864634367.0,8.251312e+21,-0.25657567,-0.002823362,13,5.6833034,2056,3275498200.0,4.8749871253967285,3250,-0.25304689675569536,3250
0.98999995,0.99,-4056725848063.0,5.743852e+21,-0.25801048,0.049143802,14,5.6817613,2109,2457444000.0,5.031553030014038,3500,-0.25304689675569536,3500
0.9848,0.99,-2469128306687.0,1.9086787e+20,-0.25666046,0.048771244,15,5.6810584,2069,2865581800.0,5.18440580368042,3750,-0.25304689675569536,3750
0.9892,0.99,-1940321075199.0,1.9781502e+20,-0.25733104,0.050763972,16,5.680785,2179,2376570000.0,5.339000940322876,4000,-0.25304689675569536,4000
0.9892,0.99,-68783087615.0,3.9175336e+22,-0.2571015,0.034547202,17,5.6822624,2104,2523259600.0,5.488545179367065,4250,-0.25304689675569536,4250
0.8976,0.99,-7090347180031.0,7.333118e+21,-0.2567624,0.058230598,18,5.6853237,1742,1987412600.0,5.6415557861328125,4500,-0.25304689675569536,4500
0.9771999,0.99,-44260497817599.0,3.5108814e+20,-0.25575858,0.053019267,19,5.686465,2164,735397500.0,5.818857669830322,4750,-0.25304689675569536,4750
0.98919994,0.99,-161544683519.0,3.6907273e+20,-0.25734988,0.046806984,20,5.687073,2051,854513600.0,5.969366788864136,5000,-0.25304689675569536,5000
0.9776,0.99,-6092710477823.0,8.248012e+20,-0.2560161,0.051981676,21,5.688197,2065,1428158700.0,6.126197099685669,5250,-0.25304689675569536,5250
0.9908,0.99,-1519413132001279.0,1.1990125e+19,-0.2556298,0.055407465,22,5.688683,2067,3819660000.0,6.281609773635864,5500,-0.25304689675569536,5500
0.9896,0.99,-14712273108991.0,3.194187e+23,-0.25588483,0.050355714,23,5.6890807,2105,1997657500.0,6.436367034912109,5750,-0.25304689675569536,5750
0.98039997,0.99,-9474523791359.0,4.8608567e+21,-0.25543398,0.046155613,24,5.6908007,2122,988501100.0,6.589585065841675,6000,-0.25304689675569536,6000
0.984,0.99,-548128522239.0,4.431707e+20,-0.25807953,0.066585265,25,5.692408,2143,441651000.0,6.741564750671387,6250,-0.25304689675569536,6250
0.984,0.99,-18549231845375.0,3.5151524e+18,-0.2557341,0.0447972,26,5.6932073,2128,194172450.0,6.892389535903931,6500,-0.25304689675569536,6500
0.98719996,0.99,-18535852031.0,2.83994e+22,-0.25689438,-0.007195833,27,5.6947603,2087,485699680.0,7.043983459472656,6750,-0.25304689675569536,6750
0.9915999,0.99,-55760117563391.0,1.7586965e+21,-0.25637284,0.049654845,28,5.6969976,2088,4198320000.0,7.197888374328613,7000,-0.25304689675569536,7000
0.9896,0.99,-2868677443583.0,2.6550138e+19,-0.25787452,0.041051622,29,5.697845,2018,1452684900.0,7.351610898971558,7250,-0.25304689675569536,7250
0.98759997,0.99,-704795443199.0,4.9352042e+20,-0.25581452,0.042792153,30,5.6983767,2121,1029680800.0,7.5089898109436035,7500,-0.25304689675569536,7500
0.99039996,0.99,-2345203662847.0,8.011662e+21,-0.25584996,0.042833056,31,5.6993876,2060,2880521500.0,7.661475658416748,7750,-0.25304689675569536,7750
0.9936,0.99,-331555930111.0,2.57209e+21,-0.2586256,0.0651809,32,5.700991,2118,413365250.0,7.817420482635498,8000,-0.25304689675569536,8000
0.9627999,0.99,-216938971135.0,3.5726568e+19,-0.26013842,0.07963679,33,5.701665,2016,2955527400.0,7.969283580780029,8250,-0.25304689675569536,8250
0.9884,0.99,-32243307249663.0,2.6642415e+18,-0.2555021,0.02994001,34,5.7018957,2033,12012572000.0,8.129979610443115,8500,-0.25304689675569536,8500
0.9828,0.99,-370446432206847.0,1.1638068e+24,-0.25562355,0.049409796,35,5.701978,2055,8654782000.0,8.287326097488403,8750,-0.25304689675569536,8750
0.96919996,0.99,-3182657273855.0,1.3682624e+22,-0.2585672,0.047194257,36,5.701912,2111,8993561000.0,8.443878889083862,9000,-0.25304689675569536,9000
0.98600006,0.99,-11385729712127.0,6.300916e+23,-0.5046273,0.117144786,37,5.7013927,2095,7212075500.0,8.596720457077026,9250,-0.49972517251968385,9250
0.98520005,0.99,-420973903871.0,9.071613e+20,-0.62894577,0.3893569,38,5.70101,2097,7660582400.0,8.750501155853271,9500,-0.6243618226051331,9500
0.98120004,0.99,-197786370047.0,1.6483196e+22,-0.25639617,-0.013576987,39,5.6979322,2103,3796122400.0,8.904197454452515,9750,-0.25304689675569536,9750
0.978,0.99,-703314395135.0,2.0170083e+21,-0.6274099,0.39596257,40,5.6897373,2124,6687617500.0,9.057594299316406,10000,-0.621869089603424,10000
0.95360005,0.99,-11642270719.0,1.3230042e+21,-0.25720832,0.0011572493,41,5.6847334,2113,1219269400.0,9.209557294845581,10250,-0.25304689675569536,10250
0.9788,0.99,-6863248687103.0,8.0939937e+21,-0.62861276,0.3800489,42,5.6746273,2106,107659490000.0,9.361830949783325,10500,-0.6243618226051331,10500
0.96680003,0.99,-22217916153855.0,1.6739162e+20,-0.75415856,0.046334676,43,5.668916,2066,291223580.0,9.514132976531982,10750,-0.7465057396888732,10750
0.9856,0.99,-2321745707007.0,2.3483574e+19,-0.75264853,0.04550953,44,5.667109,2042,1202801300.0,9.669739723205566,11000,-0.7465057396888732,11000
0.978,0.99,-679510999039.0,1.0379493e+17,-0.7512257,0.06082316,45,5.666486,2092,930277760.0,9.82677960395813,11250,-0.7465057396888732,11250
0.98719996,0.99,-202281467903.0,7.3073367e+18,-0.75251013,0.081193455,46,5.6663837,2094,1639273700.0,9.980970859527588,11500,-0.7465057396888732,11500
0.954,0.99,-141264762699775.0,1.7584083e+18,-0.75380933,0.057239123,47,5.666301,2133,6363504000.0,10.135308742523193,11750,-0.7465057396888732,11750
0.9656,0.99,-3053103874047.0,5.642198e+16,-0.75216454,0.045814335,48,5.6666937,2137,2285917700.0,10.286725282669067,12000,-0.7465057396888732,12000
0.96879995,0.99,-125718413311.0,5.2093373e+21,-0.75341517,-0.016194249,49,5.6639767,2051,1710171900.0,10.438775062561035,12250,-0.7465057396888732,12250
0.96999997,0.99,-6995648184319.0,5.9115994e+21,-0.7528225,0.06769534,50,5.6539516,2067,1710999900.0,10.594404458999634,12500,-0.7465057396888732,12500
0.9808,0.99,-83858989055.0,2.9864185e+20,-0.752389,0.063551046,51,5.648928,2158,1708429600.0,10.749465942382812,12750,-0.7465057396888732,12750
0.97839993,0.99,-8296526847.0,2.347422e+20,-0.75236684,0.052336354,52,5.6460977,2168,520426140.0,10.899362325668335,13000,-0.7465057396888732,13000
0.9676,0.99,-1112944279551.0,3.0270512e+20,-0.75456643,0.0628626,53,5.6448274,2037,1245379200.0,11.049797058105469,13250,-0.7465057396888732,13250
0.97599995,0.99,-46793056321535.0,4.751141e+21,-0.75394714,0.054038394,54,5.644535,2074,561953600.0,11.20663595199585,13500,-0.7465057396888732,13500
0.9771999,0.99,-196285978116095.0,1.8294005e+20,-0.7538513,0.05035488,55,5.644956,2140,2416619000.0,11.362215280532837,13750,-0.7465057396888732,13750
0.982,0.99,-66294444031.0,1.1785136e+21,-0.75201064,0.027685199,56,5.64572,2047,647897800.0,11.514235734939575,14000,-0.7465057396888732,14000
0.9884,0.99,-2846455758847.0,2.6296991e+20,-0.75183266,0.06482984,57,5.6460195,2058,1230409100.0,11.670911312103271,14250,-0.7465057396888732,14250
0.9828,0.99,-36502134783.0,4.5802812e+18,-0.75111157,0.06785038,58,5.6461143,2087,818281500.0,11.826632976531982,14500,-0.7465057396888732,14500
0.9848,0.99,-118364381183.0,1.3007467e+19,-0.75213504,0.07329286,59,5.6463823,2087,554336300.0,11.981640100479126,14750,-0.7465057396888732,14750
0.97360003,0.99,-6181757124607.0,2.0631874e+17,-0.75216025,0.046045076,60,5.6469617,2067,2284758500.0,12.136558055877686,15000,-0.7465057396888732,15000
