total_timesteps,ep_reward_mean,serial_timesteps,policy_entropy,explained_variance,time_elapsed,value_loss,fps,ep_len_mean,true_reward,clipfrac,policy_loss,n_updates,approxkl
250,-0.011220840224996208,250,5.675777,-260337848811519.0,0.00012445449829101562,61777.5,86,0.99,-0.011333966,0.89559996,0.35984135,1,72256680.0
500,-0.011220830120146274,500,5.675313,-2233166500724735.0,3.0576648712158203,7125.956,2192,0.99,-0.011334126,0.8964,0.3564387,2,987036.8
750,-0.011220840867608786,750,5.6733065,-1.6941232211099648e+16,3.2117276191711426,589.1522,2258,0.99,-0.011334185,0.89519995,0.33387077,3,8806240.0
1000,-0.011212144475430251,1000,5.6721506,-54941091627007.0,3.361514091491699,5962.5073,2146,0.99,-0.01132556,0.8964,0.33326644,4,568213.94
1250,-0.011212144475430251,1250,5.6716385,-17907276840959.0,3.5170505046844482,3062.0327,1850,0.99,-0.011325359,0.89519995,0.34457836,5,424519100.0
1500,-0.011212144475430251,1500,5.670259,-20083879444479.0,3.6917531490325928,2574.0503,2226,0.99,-0.011325401,0.8964,0.26259464,6,64010856.0
1750,-0.011212144475430251,1750,5.6695395,-11663629615103.0,3.8429152965545654,1300.925,2253,0.99,-0.011325403,0.89399993,0.3454273,7,1564264.0
2000,-0.011212144475430251,2000,5.670204,-4274035359743.0,3.9921159744262695,524.73663,1598,0.99,-0.011325363,0.88199997,0.24178533,8,28615.34
2250,-0.011212144475430251,2250,5.670603,-3755000201215.0,4.187700271606445,588.0156,2134,0.99,-0.011325363,0.89119995,0.28882658,9,1345112400.0
2500,-0.011212144475430251,2500,5.670508,-4004903911423.0,4.344456911087036,346.1848,2114,0.99,-0.011325407,0.8964,0.20933422,10,53959380.0
2750,-0.011212144475430251,2750,5.6705036,-555289280511.0,4.5007781982421875,73.03936,2205,0.99,-0.011325405,0.89399993,0.3577619,11,521552.25
3000,-0.011194751691073179,3000,5.6706624,-38198717710335.0,4.651637077331543,432.77182,1471,0.99,-0.011307951,0.8964,0.04468563,12,8833198.0
3250,-0.011194751691073179,3250,5.670729,-3356535554047.0,4.8798534870147705,1319.9667,1953,0.99,-0.011308201,0.8959999,0.064089775,13,142117.1
3500,-0.011220840867608786,3500,5.6708913,-42131511050239.0,5.043696165084839,268.24844,2170,0.99,-0.011334093,0.86679995,0.04670333,14,88280580.0
3750,-0.011194751691073179,3750,5.672135,-116300877660159.0,5.194509506225586,49784.08,2151,0.99,-0.011308368,0.8984,0.038368553,15,377266430.0
4000,-0.0112064419221133,4000,5.674411,-118221734674431.0,5.347276210784912,28388.145,2222,0.99,-0.011320229,0.8967999,0.33280748,16,138063970.0
4250,-0.011212144475430251,4250,5.673304,-23689338814463.0,5.495464324951172,5462.557,2138,0.99,-0.011325565,0.8964,0.3060385,17,6634672.0
4500,-0.011212144475430251,4500,5.6726456,-11342303985663.0,5.648236036300659,2276.2788,1781,0.99,-0.011325399,0.89559996,0.29920822,18,13254818.0
4750,-0.011212144475430251,4750,5.6724715,-10094188167167.0,5.825336933135986,1465.9236,2158,0.99,-0.011325397,0.8964,0.32990524,19,13913016.0
5000,-0.011212144475430251,5000,5.6728063,-3168502808575.0,5.9785425662994385,941.2047,1559,0.99,-0.011325554,0.8959999,0.32524243,20,846189.5
5250,-0.011220840867608786,5250,5.6719465,-125343444762623.0,6.175061941146851,107.96509,2102,0.99,-0.011334152,0.8959999,0.050474774,21,201918600.0
5500,-0.011239432394504548,5500,5.6713285,-1986498789375.0,6.329792261123657,1602.5757,2079,0.99,-0.011352615,0.8964,0.35790512,22,5231332.0
5750,-0.011239432394504548,5750,5.671182,-3201048510463.0,6.485448598861694,970.6296,2222,0.99,-0.011352787,0.8964,0.3599938,23,112511.46
6000,-0.011239060563966632,6000,5.6713147,-396848529407.0,6.634036302566528,126.774086,2030,0.99,-0.011352255,0.8959999,0.32236606,24,4264712.0
6250,-0.011239432394504548,6250,5.67141,-1193429303295.0,6.792733192443848,221.64226,2157,0.99,-0.011352541,0.89239997,0.36751524,25,103269850.0
